Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",60,260,234,69,41,14,3,11,40,36,21,2,44,2,2,0,,14,4,0.295728,0.0811178,0.168506,0.481394,0.356394,0.524033,0.375242,0.880427,0.228305,7.2568,0.319738,1.48963,0.964197,43.3176,12.2972,139.154,2.45383,2.34166,14.374735355377197,5.1259167194366455,2.9106,3.0999999046325684,,,,,,,397.9,6.631666666,397.9,6.631666666,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",60,257,207,58,33,9,1,15,41,39,47,4,43,1,2,0,,8,2,0.280803,0.181871,0.168366,1.08021,0.413457,0.556168,0.412711,0.969625,0.275365,4.6652,0.284403,-0.185926,0.223766,50.6958,19.9952,165.802,0.03784,-2.49242,20.603082790970802,-5.554152488708496,2.36977,4.650000095367432,,,,,,,444.2,7.403333333,444.2,7.403333333,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",60,257,234,63,40,11,1,12,36,35,19,1,56,3,1,0,,10,2,0.270835,0.0734953,0.218386,0.336538,0.332514,0.476403,0.348999,0.808916,0.205568,5.94993,0.308895,0.583571,0.791572,37.3906,6.68996,130.67,1.37514,1.5608,10.616738677024841,2.249691426753998,2.22973,9.489999771118164,,,,,,,348.6,5.81,348.6,5.81,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",60,257,228,60,36,12,2,10,37,32,25,1,55,3,2,0,,8,2,0.264221,0.0958849,0.213708,0.448671,0.340533,0.469367,0.350384,0.8099,0.205146,5.96063,0.303044,0.815123,0.560738,37.6798,6.97918,126.46,1.37586,0.355564,9.348821640014648,3.1111191511154175,2.18861,12.510000228881836,,,,,,,341.8,5.696666666,341.8,5.696666666,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Shohei Ohtani","LAD",58,252,212,61,31,11,2,17,46,41,36,4,60,2,2,0,,8,2,0.285236,0.141944,0.239026,0.593845,0.390357,0.588802,0.411332,0.979159,0.303566,6.01847,0.319576,0.318439,0.29273,49.3576,19.2966,162.13,0.611169,0,19.624123752117157,-6.295679092407227,2.17805,1.2699999809265137,,,,,,,456.3,7.867241379,456.3,7.867241379,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Pete Crow-Armstrong","CHC",60,259,230,59,34,12,2,11,37,34,19,1,63,4,2,3,,14,3,0.255639,0.0733938,0.243145,0.301852,0.320183,0.468837,0.339635,0.78902,0.213197,7.0716,0.300923,1.31901,1.09299,35.6314,4.76055,115.486,2.41201,4.26876,7.278574466705322,5.1923670172691345,2.11364,32.939998626708984,,,,,,,337.2,5.62,337.2,5.62,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Yordan Alvarez","HOU",54,232,196,58,33,11,0,15,35,38,31,4,40,3,2,0,,1,0,0.298008,0.132968,0.170719,0.778875,0.397236,0.577845,0.411087,0.97508,0.279837,2.35311,0.304318,-0.684696,-0.253963,45.4157,17.7274,167.647,-0.938659,-0.117711,17.444968283176422,-5.615242421627045,2.03379,33.38999938964844,,,,,,,405.6,7.511111111,405.6,7.511111111,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Francisco Lindor","NYM",60,260,229,59,37,11,1,10,38,32,24,1,47,5,2,0,,9,2,0.259304,0.0921881,0.180478,0.510798,0.338812,0.450109,0.344193,0.788921,0.190805,5.58249,0.282513,0.172,0.471089,36.7658,5.74536,120.018,0.643089,1.62517,6.964459776878357,4.218075752258301,1.98742,25.350000381469727,,,,,,,331.5,5.525,331.5,5.525,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",61,264,232,64,40,12,1,10,38,31,27,1,52,3,2,1,,12,3,0.274334,0.102599,0.196466,0.522223,0.354341,0.466034,0.356514,0.820374,0.1917,5.83702,0.311783,0.931874,0.589771,40.0006,8.47984,128.682,1.52165,2.82019,10.725139260292053,0.10768747329711914,1.96585,14.010000228881836,,,,,,,365.3,5.98852459,365.3,5.98852459,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Junior Caminero","TBR",61,265,240,66,38,11,0,17,37,44,22,2,51,2,2,0,,2,1,0.273957,0.0844247,0.191692,0.440418,0.337504,0.529555,0.368812,0.867059,0.255598,3.1415,0.281762,-0.2729,-0.178,42.8677,11.1767,136.867,-0.4509,-1.88541,11.016206353902817,-1.2533148527145386,1.94567,16.479999542236328,,,,,,,394.3,6.463934426,394.3,6.463934426,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
