Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,8,2.70812,11,11,0,0,,69,270,54,22,21,7,12,,3,84,11.0423,1.51786,7.27494,0.861579,0.311643,0.0428379,0.2688054107129574,0.211917,0.959455,0.288531,0.76613,,,2.50679,2.29821,2.327,7.019999980926514,,,,,,,407.1,5.9,377,5.463768115942029,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",5,3,8,3.17995,12,12,0,0,,78,319,70,30,28,7,17,,2,80,9.21059,1.98161,4.64804,0.814195,0.250058,0.0537986,0.19625910371541977,0.23418,1.12065,0.29656,0.741046,,,2.97186,2.15114,2.06003,24.75,,,,,,,412.1,5.283333333333333,402,5.153846153846154,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",6,3,8,2.82556,12,12,0,0,,69,279,56,24,22,6,17,,3,80,10.4171,2.24841,4.6331,0.818731,0.287315,0.0620134,0.22530124709010124,0.214826,1.05256,0.28605,0.768813,,,2.84353,2.03357,2.11215,9.649999618530273,,,,,,,391.20000000000005,5.669565217391305,367,5.318840579710145,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Dylan Cease","TOR",5,3,7,3.28113,12,12,0,0,,67,278,52,26,24,6,27,,2,85,11.424,3.622,3.15407,0.863041,0.304717,0.096611,0.20810649544000626,0.209298,1.18459,0.289343,0.750537,,,3.09408,1.8193,1.68168,74.7699966430664,,,,,,,369.79999999999995,5.519402985074626,340,5.074626865671642,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Webb","SFG",5,3,7,3.30149,12,12,0,0,,74,306,70,29,27,6,16,,3,68,8.26742,1.99075,4.15292,0.707357,0.221975,0.0534503,0.1685246042907238,0.244212,1.16946,0.301366,0.727497,,,3.05083,1.80682,1.75632,57.189998626708984,,,,,,,370.80000000000007,5.010810810810812,371,5.013513513513513,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",6,3,8,3.09536,12,12,0,0,,67,275,58,25,23,6,17,,5,80,10.6722,2.31005,4.61989,0.849343,0.289186,0.0625958,0.22659000009298325,0.22971,1.12288,0.309888,0.756029,,,2.94433,1.79273,1.81479,39.36000061035156,,,,,,,365.2,5.450746268656716,351,5.2388059701492535,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Zack Wheeler","PHI",5,3,7,3.37699,12,12,0,0,,71,291,60,29,27,8,19,,3,78,9.86522,2.37834,4.14795,0.992033,0.26824,0.064668,0.20357155799865723,0.224058,1.11199,0.286169,0.735261,,,3.24957,1.76582,1.68046,110.48999786376953,,,,,,,361,5.084507042253521,341,4.802816901408451,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",5,4,7,3.72332,12,12,0,0,,72,298,63,32,30,8,22,,3,83,10.4087,2.78209,3.74132,1.0362,0.277993,0.0743035,0.20368944108486176,0.229146,1.18311,0.298474,0.7177,,,3.32237,1.73565,1.42349,70.58999633789062,,,,,,,361.6000000000001,5.022222222222223,347,4.819444444444445,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Greene","CIN",4,3,7,3.68903,12,12,0,0,,66,264,49,29,27,8,21,,6,78,10.7549,2.81926,3.81482,1.09912,0.296155,0.0776329,0.21852212399244308,0.204835,1.05771,0.268558,0.690371,,,3.49959,1.67036,1.43646,444.32000732421875,,,,,,,337.60000000000014,5.115151515151517,301,4.5606060606060606,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Yoshinobu Yamamoto","LAD",5,3,6,3.46741,11,11,0,0,,65,259,51,27,25,7,16,,2,68,9.44574,2.18754,4.31798,0.981629,0.261717,0.0606111,0.20110636949539185,0.212636,1.03801,0.26585,0.69946,,,3.23387,1.65959,1.42577,26.639999389648438,,,,,,,344.29999999999995,5.296923076923076,316,4.861538461538461,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
