Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",57.4,260.22,233.107,67.2437,40.319,14.9295,1.5286,10.4666,39.7016,34.2261,21.9105,2.6022,43.9641,2.342,1.7851,1.0748,,14.4408,4.5104,0.288466,0.0841999,0.16895,0.498373,0.353069,0.500328,0.364789,0.853397,0.211861,6.49777,0.314621,0.856,0.67595,41.2222,10.1059,131.528,1.53195,2.59,11.184500813484192,5.4599997997283936,2.61971,3.0999999046325684,,,,,,,375.7,6.59122807,375.7,6.59122807,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",57.4,258.5,204.219,56.327,32.5265,8.6747,0.9098,14.216,42.9628,37.4134,50.3558,4.653,42.1916,1.2925,1.8056,0.827,,7.0835,2.4373,0.275817,0.1948,0.163217,1.1935,0.41904,0.536039,0.407549,0.955079,0.260222,4.86911,0.281459,-0.29,-0.0296493,49.9406,19.03,162.675,-0.319649,-2.222,19.356870114803314,-5.490999937057495,2.25418,4.650000095367432,,,,,,,433.7,7.608771929,433.7,7.608771929,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",57.41,258.155,232.882,62.7635,39.2889,11.0345,0.6261,11.814,35.7202,35.1725,19.31,1.0326,55.2862,3.356,1.8067,0.8008,,8.4147,2.457,0.269508,0.0747999,0.214159,0.349273,0.331952,0.474456,0.347608,0.806408,0.204948,5.03524,0.304016,0.235,0.329786,37.2873,6.41788,129.329,0.564786,1.798,9.473037123680115,2.515999972820282,2.14186,9.489999771118164,,,,,,,345.8,6.066666666,345.8,6.066666666,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",59.26,261.642,233.596,63.7999,35.7911,10.8819,0.2423,16.8846,37.6809,44.2804,24.2281,2.6164,49.1019,1.5699,1.8672,0.3812,,2.0253,0.7265,0.273121,0.0926001,0.187668,0.493425,0.342944,0.538623,0.373288,0.881567,0.265502,3.08829,0.276825,-0.071,-0.218308,43.2563,11.9699,139.568,-0.289308,-0.814,11.890950113534927,-0.156000018119812,2.12875,16.479999542236328,,,,,,,395.1,6.696610169,395.1,6.696610169,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Yordan Alvarez","HOU",53.68,242.409,202.129,60.3678,34.1522,11.4357,0.3246,14.4553,40.1852,37.6245,34.5676,7.0299,41.4365,3.1513,1.6814,0.8797,,0.9461,0.3137,0.298659,0.1426,0.170936,0.834231,0.406107,0.572993,0.410494,0.979099,0.274333,2.74639,0.31039,-0.548,-0.294585,47.4127,18.4262,166.768,-0.842585,-0.083,18.199897408485413,-6.019999794661999,2.10439,33.38999938964844,,,,,,,413.4,7.655555555,413.4,7.655555555,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Gunnar Henderson","BAL",57.41,262.268,230.586,59.6585,35.9562,11.9391,1.5155,10.2477,37.2397,31.108,25.8858,1.0491,55.2253,2.8849,1.7024,1.2086,,7.5643,2.171,0.258726,0.0986999,0.210568,0.468731,0.338733,0.456974,0.345119,0.795706,0.198248,5.75087,0.296201,0.724,0.263542,37.3502,5.98903,122.451,0.987542,-0.462,7.915238857269287,2.407999873161316,1.98836,12.510000228881836,,,,,,,341.8,5.996491228,341.8,5.996491228,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Kevin McGonigle","DET",58.33,268.267,229.245,61.3217,40.4778,12.6424,1.5737,6.6278,36.8438,25.7379,33.748,0.5365,37.2981,2.1461,1.6706,1.4574,,5.5362,1.4805,0.267495,0.1258,0.139034,0.904818,0.364364,0.423107,0.348006,0.787471,0.155612,5.2475,0.292497,0.488,0.0786104,38.8346,6.75608,122.729,0.56661,-0.368,7.740420401096344,1.9210000336170197,1.94311,999,,,,,,,344.1,5.93275862,344.1,5.93275862,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Shohei Ohtani","LAD",57.4,266.034,221.869,60.8676,32.1479,10.271,2.0639,16.3848,47.3097,38.1327,38.8409,6.6508,63.2992,2.1283,1.606,1.5896,,6.6005,1.9383,0.27434,0.146,0.237937,0.613608,0.385098,0.560785,0.396501,0.945882,0.286445,6.08918,0.309357,0.074,0.152288,49.0054,17.1939,152.519,0.226288,0,17.194665804505348,-6.697000026702881,1.93871,1.2699999809265137,,,,,,,441.1,7.738596491,441.1,7.738596491,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Elly De La Cruz","CIN",59.26,268.413,236.43,62.0879,36.9852,11.9228,2.4958,10.684,38.0679,32.8591,27.2977,1.6105,69.2741,1.8789,1.7864,1.0201,,14.3079,4.1539,0.262605,0.1017,0.258087,0.394053,0.341312,0.469712,0.349672,0.811024,0.207107,7.08742,0.324809,0.972,0.78345,39.2196,7.12351,115.832,1.75545,0.677,6.916411519050598,3.328000009059906,1.92098,8.449999809265137,,,,,,,363.2,6.155932203,363.2,6.155932203,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Cal Raleigh","SEA",51.39,221.922,190.196,41.3417,21.187,7.3529,0.1314,12.6705,29.3014,31.0591,27.6737,2.2192,62.1371,1.9973,1.5178,0.5372,,2.4105,0.8164,0.217363,0.1247,0.279995,0.445365,0.320766,0.457259,0.334707,0.778025,0.239896,3.41381,0.245249,-0.546,-0.1223,29.7251,3.18837,120.41,-0.6683,0.589,4.660909831523895,3.01200008392334,1.89832,18.729999542236328,,,,,,,273.1,5.35490196,273.1,5.35490196,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
