Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Lane Thomas","KCR",45,195,174,43,27,9,1,6,24,23,17,0,45,2,1,1,,6,2,0.245676,0.0886448,0.228692,0.387616,0.318713,0.407097,0.318638,0.72581,0.161421,5.22533,0.296242,0.0424232,-0.0601499,23.5762,0.252822,99.6211,-0.0177267,-0.351435,-0.10468493960797787,-0.8974224030971527,0.601741,726.6699829101562,,,,,,,217.8,4.84,217.8,4.84,,,,,,,,,,,,,,,,,,,"Lane Thomas","16939",657041
"Anthony Volpe","NYY",31,134,120,28,17,6,1,4,17,15,12,0,30,1,1,1,,6,1,0.235669,0.0861059,0.226947,0.37941,0.307661,0.396793,0.309176,0.704453,0.161124,6.26671,0.281881,0.0892461,0.341175,15.1601,-0.85732,97.2816,0.430421,-0.241349,0.0020054876804351807,1.1747006922960281,0.601684,641.989990234375,,,,,,,145.1,4.680645161,145.1,4.680645161,,,,,,,,,,,,,,,,,,,"Anthony Volpe","27647",683011
"Cole Young","SEA",49,211,187,45,31,9,1,5,25,21,18,0,39,3,2,1,,3,1,0.240384,0.0866542,0.186386,0.464919,0.315902,0.373386,0.30571,0.689288,0.133002,4.56716,0.277996,0.00727719,-0.266079,23.2704,-1.94414,100.363,-0.258802,-2.15136,-0.1687815934419632,-1.3982762098312378,0.601656,704.2899780273438,,,,,,,209.7,4.279591836,209.7,4.279591836,,,,,,,,,,,,,,,,,,,"Cole Young","31680",702284
"Carson Benge","NYM",41,179,160,39,26,7,1,5,22,19,15,0,40,2,1,1,,5,1,0.24225,0.0845531,0.222951,0.379246,0.313543,0.390282,0.310041,0.703825,0.148032,5.71687,0.290078,0,0.290304,20.4113,-1.02105,97.3688,0.290304,2.21216,-0.28244510293006897,0.36709487438201904,0.60008,999,,,,,,,189.1,4.612195121,189.1,4.612195121,,,,,,,,,,,,,,,,,,,"Carson Benge","35177",701807
"Will Smith","LAD",23,90,77,20,12,4,0,4,12,12,10,0,17,2,1,0,,0,0,0.258291,0.110232,0.187877,0.586725,0.350984,0.455532,0.351626,0.806516,0.197241,3.24684,0.282334,-0.0949903,-0.0847825,13.237,2.52084,122.463,-0.179773,-0.7711,2.265108421444893,0.7444867491722107,0.599864,95.69000244140625,,,,,,,120.2,5.226086956,120.2,5.226086956,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Brett Baty","NYM",33,142,127,31,20,5,0,5,17,16,12,0,36,1,1,1,,2,0,0.2434,0.0869921,0.252177,0.344965,0.314187,0.401704,0.314325,0.71589,0.158303,3.79399,0.299867,-0.017995,-0.0565016,16.7049,-0.314846,100.238,-0.0744966,1.85251,-0.033340662717819214,1.3065223097801208,0.598389,292.9200134277344,,,,,,,150.9,4.572727272,150.9,4.572727272,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Vinnie Pasquantino","KCR",53,229,205,53,33,11,1,8,28,29,21,1,34,2,2,0,,1,0,0.25845,0.0899543,0.147497,0.609873,0.329294,0.434985,0.332864,0.764279,0.176535,3.40967,0.27282,-0.227775,-0.1264,30.3715,2.95071,109.456,-0.354175,-0.192887,2.197061240673065,-4.4760665744543084,0.596218,77.0999984741211,,,,,,,275.5,5.198113207,275.5,5.198113207,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
"Carlos Narváez","BOS",32,125,110,25,16,5,0,3,13,13,11,0,34,1,1,1,,1,0,0.222679,0.0915575,0.276366,0.331291,0.301711,0.355603,0.293534,0.657314,0.132925,2.85768,0.291436,-0.0501136,-0.099027,12.5243,-2.38434,81.0694,-0.149141,2.00673,-2.9260555058717728,4.32061505317688,0.590275,443.010009765625,,,,,,,110.6,3.45625,110.6,3.45625,,,,,,,,,,,,,,,,,,,"Carlos Narvaez","19722",665966
"Joe Mack","MIA",41,164,147,34,22,7,0,5,18,18,13,0,44,2,1,1,,1,0,0.231513,0.0816363,0.268786,0.303722,0.30015,0.384576,0.301518,0.684726,0.153064,2.97091,0.293026,0,-0.162149,17.5257,-2.06962,87.0758,-0.162149,0,-2.7343170791864395,3.2006173133850098,0.587941,999,,,,,,,157.6,3.843902439,157.6,3.843902439,,,,,,,,,,,,,,,,,,,"Joe Mack","29780",691788
"Kerry Carpenter","DET",45,196,178,44,26,8,1,9,26,26,13,1,48,3,1,0,,1,1,0.248274,0.067001,0.247051,0.271203,0.30809,0.453873,0.328589,0.761963,0.205598,4.01984,0.289226,-0.0372366,-0.287053,25.2218,1.83636,109.304,-0.324289,0.49768,1.8165897130966187,-3.0520111322402954,0.580035,236.22000122070312,,,,,,,229,5.088888888,229,5.088888888,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Alec Bohm","PHI",49,211,193,50,35,10,0,5,24,24,14,0,34,2,2,1,,1,0,0.2613,0.0651097,0.162563,0.400521,0.314682,0.400191,0.313154,0.714873,0.138891,3.26352,0.29077,-0.0512494,-0.192861,24.5472,-0.667296,94.603,-0.244111,-0.0322487,-1.6262247115373611,0.4384303279221058,0.575895,239.8699951171875,,,,,,,212.9,4.344897959,212.9,4.344897959,,,,,,,,,,,,,,,,,,,"Alec Bohm","21618",664761
"Nick Gonzales","PIT",51,221,201,52,36,11,1,4,27,22,15,0,46,3,2,1,,2,1,0.260207,0.0680779,0.207471,0.328132,0.31919,0.385036,0.310349,0.704226,0.124829,4.41353,0.317748,0.0416325,-0.358218,25.2694,-1.20581,92.4548,-0.316585,-0.000989891,-2.345461994409561,0.8085780375404283,0.575417,999,,,,,,,220.4,4.321568627,220.4,4.321568627,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Ozzie Albies","ATL",58,250,227,57,38,12,1,7,29,29,18,0,38,2,2,1,,4,1,0.25299,0.0724353,0.151557,0.477941,0.312051,0.39986,0.311937,0.711911,0.14687,4.18497,0.275104,0.0477692,-0.0332737,28.9069,-1.04044,94.9135,0.0144955,-1.90911,-1.5326215866953135,-1.0146653652191162,0.569153,150.5,,,,,,,263.3,4.539655172,263.3,4.539655172,,,,,,,,,,,,,,,,,,,"Ozzie Albies","16556",645277
"Jac Caglianone","KCR",51,221,201,51,31,10,1,9,28,29,16,1,54,3,2,1,,2,0,0.256025,0.0708746,0.24171,0.293222,0.316268,0.455987,0.333476,0.772255,0.199962,4.29005,0.301475,0.0097492,-0.147417,29.4345,2.95927,109.88,-0.137668,-1.84789,2.4359038174152374,-4.7096134424209595,0.568253,164.58999633789062,,,,,,,264.7,5.190196078,264.7,5.190196078,,,,,,,,,,,,,,,,,,,"Jac Caglianone","35041",695506
"Nolan Arenado","ARI",55,236,214,51,35,11,0,6,25,26,17,0,40,2,2,1,,2,1,0.241055,0.0720741,0.171412,0.420473,0.300979,0.37756,0.299148,0.678539,0.136505,2.82539,0.26907,-0.0487462,-0.182294,24.7587,-3.43197,85.8407,-0.23104,1.43101,-4.285111144185066,2.196444034576416,0.567008,638.0599975585938,,,,,,,217.9,3.961818181,217.9,3.961818181,,,,,,,,,,,,,,,,,,,"Nolan Arenado","9777",571448
"JJ Bleday","CIN",51,221,192,46,26,10,1,8,27,28,25,1,50,1,2,1,,2,1,0.23738,0.114475,0.227369,0.503478,0.327041,0.428605,0.330347,0.755647,0.191225,3.75114,0.27517,-0.0538939,-0.274898,28.7526,2.38588,102.889,-0.328792,0.355869,0.44486698508262634,-2.0844091176986694,0.56205,748.5800170898438,,,,,,,254.5,4.990196078,254.5,4.990196078,,,,,,,,,,,,,,,,,,,"JJ Bleday","26368",668709
"Michael Massey","KCR",45,192,178,45,30,9,0,5,20,22,10,0,34,2,2,1,,2,0,0.25092,0.0533754,0.175984,0.303297,0.295796,0.396102,0.302029,0.691898,0.145182,3.49177,0.280413,0.00639952,-0.0386179,20.6581,-2.35017,88.138,-0.0322184,0.897868,-2.717575039714575,1.3591330647468567,0.556236,999,,,,,,,186.9,4.153333333,186.9,4.153333333,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
