Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",6,2,8,2.74905,12,12,0,0,,72,283,57,24,22,7,12,,3,88,11.0334,1.55066,7.1153,0.880195,0.310905,0.0436953,0.26721013709902763,0.212483,0.965571,0.288623,0.764567,,,2.54917,2.35401,2.28917,7.019999980926514,,,,,,,429.50000000000006,5.965277777777779,400,5.555555555555555,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",5,3,8,3.17995,13,13,0,0,,82,334,73,31,29,7,18,,2,84,9.21059,1.98161,4.64804,0.814195,0.250058,0.0537986,0.19625913724303246,0.23418,1.12065,0.29656,0.741046,,,2.97206,2.26155,2.23834,24.75,,,,,,,438.90000000000003,5.352439024390244,427,5.2073170731707314,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",6,3,9,2.84674,13,13,0,0,,72,291,58,25,23,7,18,,3,84,10.4339,2.24511,4.64739,0.83598,0.287713,0.0619084,0.2258041761815548,0.215127,1.0534,0.286157,0.76849,,,2.86647,2.10469,2.21681,9.649999618530273,,,,,,,400.90000000000003,5.568055555555556,374,5.194444444444445,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",6,4,8,3.28242,13,13,0,0,,78,321,74,31,28,6,17,,2,71,8.26634,1.99543,4.14264,0.693404,0.221999,0.0535889,0.1684105545282364,0.243613,1.16848,0.300856,0.727926,,,3.01801,1.92863,1.81353,57.189998626708984,,,,,,,396.0000000000001,5.076923076923078,397,5.089743589743589,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",5,3,8,3.28113,13,13,0,0,,70,291,55,28,25,7,28,,2,89,11.424,3.622,3.15407,0.863041,0.304718,0.096611,0.20810652524232864,0.209298,1.18459,0.289343,0.750537,,,3.09428,1.89672,1.65472,74.7699966430664,,,,,,,376.9,5.384285714285714,347,4.957142857142857,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Zack Wheeler","PHI",5,3,7,3.37699,12,12,0,0,,75,305,63,30,28,8,20,,3,82,9.86522,2.37834,4.14795,0.992033,0.26824,0.064668,0.20357158780097961,0.224058,1.11199,0.286169,0.735261,,,3.24976,1.87031,1.86065,110.48999786376953,,,,,,,387.8,5.1706666666666665,366,4.88,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",6,3,8,3.13285,12,12,0,0,,70,288,61,27,24,7,18,,5,83,10.7076,2.3613,4.53464,0.868186,0.289697,0.0638853,0.2258114367723465,0.229895,1.12905,0.310109,0.755219,,,2.9858,1.82885,1.81026,39.36000061035156,,,,,,,370.29999999999995,5.289999999999999,356,5.085714285714285,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",5,4,7,3.70903,13,13,0,0,,75,313,66,34,31,9,23,,3,87,10.3583,2.76513,3.74603,1.023,0.276733,0.0738736,0.20285917073488235,0.229347,1.18201,0.298519,0.717642,,,3.31052,1.81616,1.42422,70.58999633789062,,,,,,,368.69999999999993,4.9159999999999995,354,4.72,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Greene","CIN",4,3,7,3.62936,12,12,0,0,,69,277,51,30,28,8,22,,6,82,10.7378,2.89768,3.70565,1.03932,0.295487,0.0797395,0.21574751287698746,0.20366,1.06043,0.268828,0.692181,,,3.45065,1.7769,1.54793,444.32000732421875,,,,,,,359.6,5.211594202898551,321,4.6521739130434785,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Ranger Suarez","BOS",5,3,7,3.33694,12,12,0,0,,69,289,66,28,25,5,20,,2,64,8.3583,2.63946,3.16667,0.717165,0.22002,0.0694801,0.15054012835025787,0.245386,1.25103,0.30334,0.74422,,,3.2327,1.70317,1.73341,183.97999572753906,,,,,,,339.5,4.920289855072464,342,4.956521739130435,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
