Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Jarren Duran,Sox,160,735,671,191,21,111,75,34,0.285,680776
Shohei Ohtani,Dodgers,159,731,636,197,54,134,130,59,0.31,660271
Gunnar Henderson,Orioles,159,719,630,177,37,118,92,21,0.281,683002
Marcus Semien,Rangers,159,718,650,154,23,101,74,8,0.237,543760
Juan Soto,Yankees,157,713,576,166,41,128,109,7,0.288,665742
Bobby Witt Jr.,Royals,161,709,636,211,32,125,109,31,0.332,677951
Aaron Judge,Yankees,158,704,559,180,58,122,144,10,0.322,592450
Vladimir Guerrero Jr.,Jays,159,697,616,199,30,98,103,2,0.323,665489
Elly De La Cruz,Reds,160,696,618,160,25,105,76,67,0.259,682829
Pete Alonso,Mets,162,695,608,146,34,91,88,3,0.24,624413
Ezequiel Tovar,Rockies,157,695,655,176,26,83,78,6,0.269,678662
Bryan Reynolds,Pirates,156,692,622,171,24,73,88,10,0.275,668804
Kyle Schwarber,Phillies,150,692,573,142,38,110,104,5,0.248,656941
Francisco Lindor,Mets,152,689,618,169,33,107,91,29,0.273,596019
Anthony Volpe,Yankees,160,689,637,155,12,90,60,28,0.243,683011
Willy Adames,Brewers,161,688,610,153,32,93,112,21,0.251,642715
Marcell Ozuna,Braves,162,688,606,183,39,96,104,1,0.302,542303
Matt Olson,Braves,162,685,600,148,29,78,98,0,0.247,621566
Corbin Carroll,Diamondbacks,158,684,589,136,22,121,74,35,0.231,682998
Jose Altuve,Astros,153,682,628,185,20,94,65,22,0.295,514888
José Ramírez,Guardians,158,682,620,173,39,114,118,41,0.279,608070
William Contreras,Brewers,155,679,595,167,23,99,92,9,0.281,661388
Luis Arraez,Padres,150,672,637,200,4,83,46,9,0.314,650333
Jurickson Profar,Padres,158,668,564,158,24,94,85,10,0.28,595777
Anthony Santander,Orioles,155,665,595,140,44,91,102,2,0.235,623993
Gleyber Torres,Yankees,154,665,587,151,15,80,63,4,0.257,650402
Brandon Nimmo,Mets,151,663,571,128,23,88,90,15,0.224,607043
Taylor Ward,Angels,156,663,585,144,25,73,75,6,0.246,621493
Nick Castellanos,Phillies,162,659,606,154,23,80,86,6,0.254,592206
Ian Happ,Cubs,153,657,569,138,25,89,86,13,0.243,664023
Jake Cronenworth,Padres,155,656,577,139,17,72,83,5,0.241,630105
Spencer Steer,Reds,158,656,574,129,20,74,92,25,0.225,668715
Paul Goldschmidt,Cardinals,154,654,599,147,22,70,65,11,0.245,502671
Brendan Donovan,Cardinals,153,652,587,163,14,65,73,5,0.278,680977
Teoscar Hernández,Dodgers,154,652,589,160,33,84,99,12,0.272,606192
Salvador Perez,Royals,158,652,590,160,27,58,104,0,0.271,521692
Jeremy Peña,Astros,157,650,602,160,15,78,70,20,0.266,665161
Randy Arozarena,Mariners,154,648,549,120,20,77,60,20,0.219,668227
Matt Chapman,Giants,154,647,575,142,27,98,78,15,0.247,656305
Ryan McMahon,Rockies,153,645,567,137,20,68,65,4,0.242,641857
Manny Machado,Padres,152,643,593,163,29,77,105,11,0.275,592518
JJ Bleday,Athletics,159,642,572,139,20,74,60,2,0.243,668709
Nico Hoerner,Cubs,151,641,582,159,7,86,48,31,0.273,663538
Isaac Paredes,Cubs,153,641,542,129,19,64,80,1,0.238,670623
Eugenio Suárez,Diamondbacks,158,640,571,146,30,90,101,2,0.256,553993
Freddie Freeman,Dodgers,147,638,542,153,22,81,89,9,0.282,518692
Adley Rutschman,Orioles,148,638,571,143,19,68,79,1,0.25,668939
Adolis García,Rangers,154,637,580,130,25,68,85,11,0.224,666969
Jonathan India,Reds,151,637,533,132,15,84,58,13,0.248,663697
Masyn Winn,Cardinals,150,637,587,157,15,85,57,11,0.267,691026
Yordan Alvarez,Astros,147,635,552,170,35,88,86,6,0.308,670541
Nolan Arenado,Cardinals,152,635,578,157,16,70,71,2,0.272,571448
Willi Castro,Twins,158,635,558,138,12,89,60,14,0.247,650489
Alex Bregman,Astros,145,634,581,151,26,79,75,3,0.26,608324
Andrés Giménez,Guardians,152,633,583,147,9,64,63,30,0.252,665926
Josh Naylor,Guardians,152,633,563,137,31,84,108,6,0.243,647304
Bryce Harper,Phillies,145,631,550,157,30,85,87,7,0.285,547180
Cal Raleigh,Mariners,153,628,546,120,34,73,100,6,0.22,663728
