Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Nate Pearson","CHC",0,1,0,11,0,14.2,4.295454731657493,6.136363902367847,1.2272727804735695,0.36363636363636365,0.59602649,0.350877192,0.074074074,97.66384475295608,9.204545853551771,6.0648617743978805,6.203318269390711,7.268792963267745,-0.1788475513458252,"Nate Pearson",20160,663878
"Valente Bellozo","MIA",1,4,0,32,6,81.1,5.975410069614554,2.5450820666876806,1.6598361304484872,0.2777777777777778,0.74725275,0.319391634,0.111940298,90.77510279605264,4.647541165255764,5.225300325454347,5.200710169431572,5.3432478985576,-0.1807246208190918,"Valente Bellozo",23899,678368
"José Ruiz","- - -",1,0,0,18,0,16.1,8.265308213701186,4.959184928220711,1.6530616427402371,0.38461538461538464,0.53956835,0.444444444,0.166666666,95.74361413043478,8.816328761281264,4.364106770206535,5.339218508527103,4.650522885274407,-0.18875464797019958,"Jose Ruiz",14552,614179
"Codi Heuer","- - -",0,0,0,3,0,4.2,9.642860427195831,3.8571441708783323,5.785716256317499,0.09090909090909091,1,0.5,0.5,94.6059820713141,5.785716256317499,4.645933577849645,10.635138872692433,4.260230106147286,-0.1890256144106388,"Codi Heuer",23293,676051
"Lance McCullers Jr.","HOU",2,5,0,16,13,55.1,9.92168697498935,6.3433736397472895,1.626506061473664,0.3248407643312102,0.66666667,0.463855421,0.163934426,91.7752490942029,6.506024245894656,5.333820075897547,5.7736905957085085,5.1239212711827715,-0.19096112390980124,"Lance McCullers Jr.",14120,621121
"Colin Poche","- - -",1,2,0,14,0,9.1,10.607147621487183,13.500006063710961,0.9642861474079257,0.4230769230769231,0.48780488,0.222222222,0.076923076,92.32161969866071,12.535719916303036,5.820606805243507,6.670852192035849,7.425418005137435,-0.19195498153567314,"Colin Poche",19403,621363
"Anthony Veneziano","- - -",0,0,0,26,1,25,9.000002746582869,3.9600012084964624,1.440000439453259,0.32,0.79096045,0.493506493,0.166666666,94.05964281735004,4.680001428223092,5.476673193434217,4.775136818695222,4.175206377813739,-0.19520746916532516,"Anthony Veneziano",27453,685107
"Eduarniel Núñez","- - -",1,0,0,10,0,12.2,7.815791631339925,7.815791631339925,1.4210530238799863,0.3333333333333333,0.70247934,0.2,0.125,97.97759261592742,7.105265119399932,5.520905458269816,6.766716268122307,6.6615448472498295,-0.19693053513765335,"Eduarniel Nunez",23162,674384
"Payton Tolle","BOS",0,1,0,7,3,16.1,10.46938795886503,4.408163351101065,2.7551020944381652,0.30952380952380953,0.73684211,0.340425531,0.277777777,96.61326622596154,6.061224607763964,4.678220989128211,6.257585358570042,3.9770531304888204,-0.19737689197063446,"Payton Tolle",35466,801139
"Anthony Misiewicz","MIN",0,0,0,5,0,4.2,9.64285845659235,7.714286765273879,3.8571433826369397,0.25,0.64516129,0.214285714,0.25,91.95558384486607,9.64285845659235,10.53388862538721,9.135137135642026,6.206689847749101,-0.197532057762146,"Anthony Misiewicz",18152,664948
"Rolddy Muñoz","ATL",0,0,0,3,0,3.2,12.272729400761241,12.272729400761241,2.454545880152248,0.375,0.625,0.555555555,0.5,,12.272729400761241,7.763110625727117,9.680591998612783,6.976085701370133,-0.19797134399414062,"Rolddy Munoz",27407,691548
"Anthony Maldonado","ATH",0,0,0,6,0,6,10.500001668930318,7.500001192093085,4.500000715255851,0.3888888888888889,0.64814815,0.19047619,0.3,92.44857295866936,12.000001907348937,7.191901936271473,9.801804044511751,5.871368944443485,-0.20052237808704376,"Anthony Maldonado",26034,687424
"Chris Murphy","BOS",3,0,0,23,0,34.2,7.788462109819713,5.192308073213143,1.0384616146426284,0.19101123595505617,0.84158416,0.54347826,0.137931034,94.29417990572625,3.1153848439278855,3.9976785053575377,5.0678287676805684,4.857552986746415,-0.2026168406009674,"Chris Murphy",26214,669684
"Max Lazar","PHI",1,1,1,36,0,41.1,5.661291019229399,2.6129035473366455,1.5241937359463766,0.272,0.69444444,0.369230769,0.142857142,94.32404318820225,4.790323170117184,5.9995997857929035,4.949652670523903,4.57574681221299,-0.20277881622314453,"Max Lazar",23426,676661
"Dan Altavilla","CHW",0,1,2,28,0,29,6.517242665240057,4.655173332314327,1.2413795552838205,0.19736842105263158,0.89506173,0.512820512,0.166666666,96.13321273053279,2.482759110567641,4.656948424936625,5.445481601651675,4.928300242883865,-0.20493334531784058,"Dan Altavilla",16507,656186
"Rich Hill","KCR",0,2,0,2,2,9,4,8,2,0.2413793103448276,0.70422535,0.483870967,0.181818181,88.5961681547619,5,6.815971015169925,7.801802984873454,6.797262147400114,-0.20495836436748505,"Rich Hill",4806,448179
"Paul Gervase","- - -",0,0,0,6,0,8.1,8.640001318359577,6.480000988769683,3.2400004943848413,0.22727272727272727,1,0.166666666,0.1875,93.68565673828125,4.320000659179788,4.139365232981559,8.055137068939324,6.335276290914912,-0.2114146649837494,"Paul Gervase",31571,801434
"Miguel Rojas","LAD",0,0,0,4,0,5,0,3.6,5.4,0.36363636363636365,0.71428571,0.36,0.3,57.46554432744565,12.6,12.68112774490943,12.735136318206788,8.018614947795868,-0.21338750422000885,"Miguel Rojas",7802,500743
"J.P. Feyereisen","- - -",0,2,0,4,0,4,9,2.25,4.5,0.5625,0.54347826,0.444444444,0.25,91.4081551688058,11.25,7.690239830625922,8.385136318206786,4.968614947795868,-0.21386248618364334,"J.P. Feyereisen",16610,656420
"Wander Suero","ATL",0,0,0,5,0,6.1,9.94736892034475,5.684210811625571,4.263158108719178,0.3888888888888889,0.6122449,0.333333333,0.23076923,,11.368421623251143,4.043753257210919,8.977241874599736,5.983969791567124,-0.21530979871749878,"Wander Suero",15855,593833
"Corbin Martin","BAL",1,0,2,17,0,18,11.500002437168215,4.500000953674519,2.0000004238553415,0.35294117647058826,0.65693431,0.442307692,0.25,95.78481079931973,6.000001271566025,4.87089857886581,5.3018034440500745,3.783349179842814,-0.2163078635931015,"Corbin Martin",19884,656686
"Jose Corniell","TEX",0,1,0,1,0,1.2,5.400002059937309,5.400002059937309,5.400002059937309,0.3333333333333333,0,0.428571428,0.25,95.91178588867187,16.20000617981193,9.668184899270829,11.535139522553713,7.435312314100646,-0.21688124537467957,"Jose Corniell",27984,692030
