checkpoint,model,target,stat,mae,n_players
2025-05-01,exponential_decay,ros,sb_per_pa,0.00975,131
2025-05-01,exponential_decay,ros,avg,0.021024,131
2025-05-01,exponential_decay,next_week,k_per_ip,0.374328,64
2025-05-01,exponential_decay,next_week,era,2.392573,64
2025-05-01,exponential_decay,next_week,whip,0.442923,64
2025-05-01,exponential_decay,next_week,w_per_gs,0.361516,64
2025-05-01,exponential_decay,next_week,sv_per_g,0.037589,64
2025-06-01,preseason,ros,k_per_ip,0.117664,81
2025-06-01,preseason,ros,era,0.972423,81
2025-06-01,preseason,ros,whip,0.160851,81
2025-06-01,preseason,ros,w_per_gs,0.1798,81
2025-06-01,preseason,ros,sv_per_g,0.04387,81
2025-06-01,preseason,next_week,hr_per_pa,0.032253,115
2025-06-01,preseason,next_week,r_per_pa,0.056357,115
2025-06-01,preseason,next_week,rbi_per_pa,0.063109,115
2025-06-01,preseason,next_week,sb_per_pa,0.025685,115
2025-06-01,preseason,next_week,avg,0.07885,115
2025-06-01,preseason,ros,hr_per_pa,0.009717,130
2025-06-01,preseason,ros,r_per_pa,0.015267,130
2025-06-01,preseason,ros,rbi_per_pa,0.021727,130
2025-06-01,preseason,ros,sb_per_pa,0.010055,130
2025-06-01,preseason,ros,avg,0.021479,130
2025-06-01,preseason,next_week,k_per_ip,0.305459,66
2025-06-01,preseason,next_week,era,2.285589,66
2025-06-01,preseason,next_week,whip,0.41356,66
2025-06-01,preseason,next_week,w_per_gs,0.466624,66
2025-06-01,preseason,next_week,sv_per_g,0.045772,66
2025-06-01,season_to_date,ros,k_per_ip,0.158957,81
2025-06-01,season_to_date,ros,era,1.291022,81
2025-06-01,season_to_date,ros,whip,0.245227,81
2025-06-01,season_to_date,ros,w_per_gs,0.119087,81
2025-06-01,season_to_date,ros,sv_per_g,0.050779,81
2025-06-01,season_to_date,next_week,hr_per_pa,0.031668,115
2025-06-01,season_to_date,next_week,r_per_pa,0.057844,115
2025-06-01,season_to_date,next_week,rbi_per_pa,0.066677,115
2025-06-01,season_to_date,next_week,sb_per_pa,0.025221,115
2025-06-01,season_to_date,next_week,avg,0.084848,115
2025-06-01,season_to_date,ros,hr_per_pa,0.013868,130
2025-06-01,season_to_date,ros,r_per_pa,0.02524,130
2025-06-01,season_to_date,ros,rbi_per_pa,0.031687,130
2025-06-01,season_to_date,ros,sb_per_pa,0.011224,130
2025-06-01,season_to_date,ros,avg,0.039491,130
2025-06-01,season_to_date,next_week,k_per_ip,0.297927,66
2025-06-01,season_to_date,next_week,era,2.472629,66
2025-06-01,season_to_date,next_week,whip,0.422402,66
2025-06-01,season_to_date,next_week,w_per_gs,0.306639,66
2025-06-01,season_to_date,next_week,sv_per_g,0.044241,66
2025-06-01,fixed_blend,ros,k_per_ip,0.106552,81
2025-06-01,fixed_blend,ros,era,0.998078,81
2025-06-01,fixed_blend,ros,whip,0.168191,81
2025-06-01,fixed_blend,ros,w_per_gs,0.159156,81
2025-06-01,fixed_blend,ros,sv_per_g,0.039129,81
2025-06-01,fixed_blend,next_week,hr_per_pa,0.031532,115
2025-06-01,fixed_blend,next_week,r_per_pa,0.056672,115
2025-06-01,fixed_blend,next_week,rbi_per_pa,0.063081,115
2025-06-01,fixed_blend,next_week,sb_per_pa,0.025898,115
2025-06-01,fixed_blend,next_week,avg,0.077445,115
2025-06-01,fixed_blend,ros,hr_per_pa,0.009744,130
2025-06-01,fixed_blend,ros,r_per_pa,0.016738,130
2025-06-01,fixed_blend,ros,rbi_per_pa,0.022355,130
2025-06-01,fixed_blend,ros,sb_per_pa,0.009744,130
2025-06-01,fixed_blend,ros,avg,0.026221,130
2025-06-01,fixed_blend,next_week,k_per_ip,0.293258,66
2025-06-01,fixed_blend,next_week,era,2.356064,66
2025-06-01,fixed_blend,next_week,whip,0.411837,66
2025-06-01,fixed_blend,next_week,w_per_gs,0.41088,66
2025-06-01,fixed_blend,next_week,sv_per_g,0.045855,66
2025-06-01,reliability_blend,ros,k_per_ip,0.102801,81
2025-06-01,reliability_blend,ros,era,0.908884,81
2025-06-01,reliability_blend,ros,whip,0.157944,81
2025-06-01,reliability_blend,ros,w_per_gs,0.173939,81
2025-06-01,reliability_blend,ros,sv_per_g,0.042625,81
2025-06-01,reliability_blend,next_week,hr_per_pa,0.031626,115
2025-06-01,reliability_blend,next_week,r_per_pa,0.056144,115
2025-06-01,reliability_blend,next_week,rbi_per_pa,0.062943,115
2025-06-01,reliability_blend,next_week,sb_per_pa,0.025514,115
2025-06-01,reliability_blend,next_week,avg,0.078792,115
2025-06-01,reliability_blend,ros,hr_per_pa,0.010003,130
2025-06-01,reliability_blend,ros,r_per_pa,0.01567,130
2025-06-01,reliability_blend,ros,rbi_per_pa,0.022478,130
2025-06-01,reliability_blend,ros,sb_per_pa,0.009498,130
2025-06-01,reliability_blend,ros,avg,0.023764,130
2025-06-01,reliability_blend,next_week,k_per_ip,0.294026,66
2025-06-01,reliability_blend,next_week,era,2.27926,66
2025-06-01,reliability_blend,next_week,whip,0.414758,66
2025-06-01,reliability_blend,next_week,w_per_gs,0.448436,66
2025-06-01,reliability_blend,next_week,sv_per_g,0.045323,66
2025-06-01,exponential_decay,ros,k_per_ip,0.120883,81
2025-06-01,exponential_decay,ros,era,1.026245,81
2025-06-01,exponential_decay,ros,whip,0.189313,81
2025-06-01,exponential_decay,ros,w_per_gs,0.179271,81
2025-06-01,exponential_decay,ros,sv_per_g,0.042671,81
2025-06-01,exponential_decay,next_week,hr_per_pa,0.031676,115
2025-06-01,exponential_decay,next_week,r_per_pa,0.057462,115
2025-06-01,exponential_decay,next_week,rbi_per_pa,0.064342,115
2025-06-01,exponential_decay,next_week,sb_per_pa,0.026095,115
2025-06-01,exponential_decay,next_week,avg,0.07917,115
2025-06-01,exponential_decay,ros,hr_per_pa,0.012443,130
2025-06-01,exponential_decay,ros,r_per_pa,0.019285,130
2025-06-01,exponential_decay,ros,rbi_per_pa,0.026053,130
2025-06-01,exponential_decay,ros,sb_per_pa,0.009764,130
