Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Marcus Semien,Rangers,162,753,670,185,29,122,100,14,0.276,543760
Ronald Acuña Jr.,Braves,159,735,643,217,41,149,106,73,0.337,660670
Freddie Freeman,Dodgers,161,730,637,211,29,131,102,23,0.331,518692
Alex Bregman,Astros,161,724,622,163,25,103,98,3,0.262,608324
Nathaniel Lowe,Rangers,161,724,623,163,17,89,82,1,0.262,663993
Matt Olson,Braves,162,720,608,172,54,127,139,1,0.283,621566
Kyle Schwarber,Phillies,160,720,585,115,47,108,104,0,0.197,656941
Steven Kwan,Guardians,158,718,638,171,5,93,54,21,0.268,680757
Austin Riley,Braves,159,715,636,179,37,117,97,3,0.281,663586
Julio Rodríguez,Mariners,155,714,654,180,32,102,103,37,0.275,677594
Juan Soto,Padres,162,708,568,156,35,97,109,12,0.275,665742
Eugenio Suárez,Mariners,162,694,598,139,22,68,96,2,0.232,553993
Bobby Witt Jr.,Royals,158,694,641,177,30,97,96,49,0.276,677951
Mookie Betts,Dodgers,152,693,584,179,39,126,107,14,0.307,605141
Ian Happ,Cubs,158,691,580,144,21,86,84,14,0.248,664023
José Ramírez,Guardians,156,691,611,172,24,87,80,28,0.282,608070
Trea Turner,Phillies,155,691,639,170,26,102,76,30,0.266,607208
Nico Hoerner,Cubs,150,688,619,175,9,98,68,43,0.283,663538
Paul Goldschmidt,Cardinals,154,687,593,159,25,89,80,11,0.268,502671
Francisco Lindor,Mets,160,687,602,153,31,108,98,31,0.254,596019
Adley Rutschman,Orioles,154,687,588,163,20,84,80,1,0.277,668939
Spencer Torkelson,Tigers,159,684,606,141,31,88,94,3,0.233,679529
George Springer,Jays,154,683,613,158,21,87,72,20,0.258,543807
Vladimir Guerrero Jr.,Jays,156,682,602,159,26,78,94,5,0.264,665489
Brandon Nimmo,Mets,152,682,592,162,24,89,68,3,0.274,607043
Lane Thomas,Nationals,157,682,628,168,28,101,86,20,0.268,657041
Teoscar Hernández,Mariners,160,678,625,161,26,70,93,7,0.258,606192
Kyle Tucker,Astros,157,674,574,163,29,97,112,30,0.284,663656
Gleyber Torres,Yankees,158,672,596,163,25,90,68,13,0.273,650402
Nick Castellanos,Phillies,157,671,626,170,29,79,106,11,0.272,592206
Xander Bogaerts,Padres,155,665,596,170,19,83,58,19,0.285,593428
Ty France,Mariners,158,665,587,147,12,79,58,1,0.25,664034
Spencer Steer,Reds,156,665,582,158,23,74,86,15,0.271,668715
Christian Walker,Diamondbacks,157,661,582,150,33,86,103,11,0.258,572233
Ozzie Albies,Braves,148,660,596,167,33,96,109,13,0.28,645277
Pete Alonso,Mets,154,658,568,123,46,92,118,4,0.217,624413
Joey Meneses,Nationals,154,657,611,168,13,71,89,0,0.275,608841
Rafael Devers,Sox,153,656,580,157,33,90,100,5,0.271,646240
Anthony Santander,Orioles,153,656,591,152,28,81,95,5,0.257,623993
Randy Arozarena,Rays,151,654,551,140,23,95,83,22,0.254,668227
Ketel Marte,Diamondbacks,150,650,569,157,25,94,82,8,0.276,606466
Jeff McNeil,Mets,156,648,585,158,10,75,55,10,0.27,643446
Corbin Carroll,Diamondbacks,155,645,565,161,25,116,76,54,0.285,682998
Bryan Reynolds,Pirates,145,640,574,151,24,85,84,12,0.263,668804
Bryson Stott,Phillies,151,640,585,164,15,78,62,31,0.28,681082
Willy Adames,Brewers,149,638,553,120,24,73,80,5,0.217,642715
J.P. Crawford,Mariners,145,638,534,142,19,94,65,2,0.266,641487
Dansby Swanson,Cubs,147,638,565,138,22,81,80,9,0.244,621020
Fernando Tatis Jr.,Padres,141,635,575,148,25,91,78,29,0.257,665487
Jeremy Peña,Astros,150,634,577,152,10,81,52,13,0.263,665161
Adolis García,Rangers,148,632,555,136,39,108,107,9,0.245,666969
Christian Yelich,Brewers,144,632,550,153,19,106,76,28,0.278,592885
Ryan McMahon,Rockies,152,627,555,133,23,80,70,5,0.24,641857
Bryan De La Cruz,Marlins,153,626,579,149,19,60,78,4,0.257,650559
Ha-Seong Kim,Padres,152,626,538,140,17,84,60,38,0.26,673490
Justin Turner,Sox,146,626,558,154,23,86,96,4,0.276,457759
Gunnar Henderson,Orioles,150,622,560,143,28,100,82,10,0.255,683002
Andrew Benintendi,Sox,151,621,562,147,5,72,45,13,0.262,643217
Carlos Santana,Brewers,146,619,550,132,23,78,86,6,0.24,467793
Luis Arraez,Marlins,147,617,574,203,10,71,69,3,0.354,650333
Josh Bell,Marlins,150,617,547,135,22,52,74,0,0.247,605137
Andrés Giménez,Guardians,153,616,557,140,15,76,62,30,0.251,665926
Ezequiel Tovar,Rockies,153,615,581,147,15,79,73,11,0.253,678662
Andrew Vaughn,Sox,152,615,566,146,21,67,80,0,0.258,683734
CJ Abrams,Nationals,151,614,563,138,18,83,64,47,0.245,682928
Nolan Arenado,Cardinals,144,612,560,149,26,71,93,3,0.266,571448
Alec Bohm,Phillies,145,611,558,153,20,74,97,4,0.274,664761
William Contreras,Brewers,141,611,540,156,17,86,78,6,0.289,661388
MJ Melendez,Royals,148,602,533,125,16,65,56,6,0.235,669004
Alex Verdugo,Sox,142,602,546,144,13,81,54,5,0.264,657077
Bo Bichette,Jays,135,601,571,175,20,69,73,5,0.306,666182
Manny Machado,Padres,138,601,543,140,30,75,91,3,0.258,592518
Anthony Volpe,Yankees,159,601,541,113,21,62,60,24,0.209,683011
Yandy Díaz,Rays,137,600,525,173,22,95,78,0,0.33,650490
Shohei Ohtani,Angels,135,599,497,151,44,102,95,20,0.304,660271
Luis Robert Jr.,Sox,145,595,546,144,38,90,80,20,0.264,673357
José Abreu,Astros,141,594,540,128,18,62,90,0,0.237,547989
Lourdes Gurriel Jr.,Diamondbacks,145,592,551,144,24,65,82,5,0.261,666971
Whit Merrifield,Jays,145,592,547,149,11,66,67,26,0.272,593160
Marcell Ozuna,Braves,144,592,530,145,40,84,100,0,0.274,542303
Dominic Smith,Nationals,153,586,527,134,12,57,46,1,0.254,642086
Seiya Suzuki,Cubs,138,583,515,147,20,75,74,6,0.285,673548
Matt Chapman,Jays,140,581,509,122,17,66,54,4,0.24,656305
Daulton Varsho,Jays,158,581,527,116,20,65,61,16,0.22,662139
Carlos Correa,Twins,135,580,514,118,18,60,65,0,0.23,621043
Salvador Perez,Royals,140,580,538,137,23,59,80,0,0.255,521692
Jorge Soler,Marlins,137,580,504,126,36,77,75,1,0.25,624585
Masataka Yoshida,Sox,140,580,537,155,15,71,72,8,0.289,807799
Max Muncy,Dodgers,135,579,482,102,36,95,105,1,0.212,571970
Jeimer Candelario,Cubs,140,576,505,127,22,77,70,8,0.251,600869
Isaac Paredes,Rays,143,571,492,123,31,71,98,1,0.25,670623
Cal Raleigh,Mariners,145,569,513,119,30,78,75,0,0.232,663728
James Outman,Dodgers,151,567,483,120,23,86,70,16,0.248,681546
Austin Hays,Orioles,144,566,520,143,16,76,67,5,0.275,669720
DJ LeMahieu,Yankees,136,562,497,121,15,55,44,2,0.243,518934
Keibert Ruiz,Nationals,136,562,523,136,18,55,67,1,0.26,660688
Cody Bellinger,Cubs,130,556,499,153,26,95,97,20,0.307,641355
TJ Friedl,Reds,138,556,488,136,18,73,66,27,0.279,670770
Trent Grisham,Padres,153,555,469,93,13,67,50,15,0.198,663757
Will Smith,Dodgers,126,554,464,121,19,80,76,3,0.261,669257
Leody Taveras,Rangers,143,554,511,136,14,67,67,14,0.266,665750
Hunter Renfroe,Reds,140,548,498,116,20,60,60,0,0.233,592669
Javier Báez,Tigers,136,547,510,113,9,58,59,12,0.222,595879
J.D. Davis,Giants,144,546,480,119,18,61,69,1,0.248,605204
Bryce Harper,Phillies,126,546,457,134,21,84,72,11,0.293,547180
Amed Rosario,Dodgers,142,545,510,134,6,70,58,15,0.263,642708
