Name,Team,W,L,SV,G,GS,IP,SO,ER,BB,H,ERA,WHIP,MLBAMID
Logan Gilbert,Mariners,9,12,0,33,33,208.7,220,75,37,148,3.23,0.89,669302
Seth Lugo,Royals,16,9,0,33,33,206.7,181,69,48,177,3.0,1.09,607625
Logan Webb,Giants,13,10,0,33,33,204.7,172,79,50,202,3.47,1.23,657277
Zack Wheeler,Phillies,16,7,0,32,32,200.0,224,57,52,139,2.56,0.95,554430
Aaron Nola,Phillies,14,8,0,33,33,199.3,197,79,50,189,3.57,1.2,605400
Corbin Burnes,Orioles,15,9,0,32,32,194.3,181,63,48,165,2.92,1.1,669203
José Berríos,Jays,16,11,0,32,32,192.3,153,77,54,168,3.6,1.15,621244
Tarik Skubal,Tigers,18,4,0,31,31,192.0,228,51,35,142,2.39,0.92,669373
George Kirby,Mariners,14,11,0,33,33,191.0,179,75,23,181,3.53,1.07,669923
Dylan Cease,Padres,14,11,0,33,33,189.3,224,73,65,137,3.47,1.07,656302
Jake Irvin,Nationals,10,14,0,33,33,187.7,156,92,52,173,4.41,1.2,663623
Cole Ragans,Royals,11,9,0,32,32,186.3,223,65,67,146,3.14,1.14,666142
Pablo López,Twins,15,10,0,32,32,185.3,198,84,41,180,4.08,1.19,641154
Kutter Crawford,Sox,9,16,0,33,33,183.7,175,89,51,155,4.36,1.12,676710
Luis Severino,Mets,11,7,0,31,31,182.0,161,79,60,166,3.91,1.24,622663
Sean Manaea,Mets,12,6,0,32,32,181.7,184,70,63,134,3.47,1.08,640455
Brandon Pfaadt,Diamondbacks,11,10,0,32,32,181.7,185,95,42,183,4.71,1.24,694297
Cristopher Sánchez,Phillies,11,9,0,31,31,181.7,153,67,44,182,3.32,1.24,650911
Kevin Gausman,Jays,14,11,0,31,31,181.0,162,77,56,165,3.83,1.22,592332
JP Sears,Athletics,11,13,0,32,32,180.7,137,88,49,172,4.38,1.22,676664
Bryce Miller,Mariners,12,8,0,31,31,180.3,171,59,45,131,2.94,0.98,682243
Brady Singer,Royals,9,13,0,32,32,179.7,170,74,54,175,3.71,1.27,663903
Tyler Anderson,Angels,10,15,0,31,31,179.3,142,76,73,158,3.81,1.29,542881
