Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Arraez","PHI",17,73,67,20,16,3,1,1,8,7,4,0,3,1,1,1,,1,0,0.299945,0.0520757,0.043262,1.20373,0.340469,0.389865,0.32113,0.730334,0.0899202,4.73774,0.305822,-0.00224141,-0.0365314,8.9329,0.282709,98.3928,-0.0387728,-0.5268,-0.18041245639324188,-0.26568880677223206,0.196268,280.04998779296875,,,,,,,85.7,5.04117647,85.7,5.04117647,,,,,,,,,,,,,,,,,,,"Luis Arraez","18568",650333
"Bryan Reynolds","PIT",17,72,63,16,11,3,0,2,9,8,7,0,17,1,1,0,,1,0,0.257388,0.103527,0.231977,0.446279,0.341463,0.401486,0.32905,0.74295,0.144099,3.93292,0.319917,-0.0415752,-0.0505973,9.30019,0.742024,103.904,-0.0921725,0.345145,0.24818944185972214,-0.6742996871471405,0.195733,204.72000122070312,,,,,,,80,4.705882352,80,4.705882352,,,,,,,,,,,,,,,,,,,"Bryan Reynolds","19326",668804
"Dustin Harris","SDP",10,43,39,9,7,2,0,1,5,4,3,0,9,0,0,0,,2,0,0.240526,0.0785878,0.217661,0.361057,0.308229,0.350738,0.294766,0.658967,0.110212,5.36599,0.296637,0.0894686,0.0741297,4.31649,-0.744797,88.2996,0.163598,1.40644,-0.43973013758659363,0.9592151939868927,0.194349,999,,,,,,,39.4,3.94,39.4,3.94,,,,,,,,,,,,,,,,,,,"Dustin Harris","25705",687957
"Colton Cowser","BAL",11,47,41,9,6,2,0,2,6,5,5,0,15,1,0,0,,1,0,0.221569,0.100293,0.311939,0.321514,0.310202,0.3951,0.312584,0.705302,0.173531,4.39105,0.293953,0.054427,0.0543953,5.41984,-0.142455,101.345,0.108822,-0.0634869,0.1821814700961113,0.041451334953308105,0.192143,251.72000122070312,,,,,,,53.9,4.9,53.9,4.9,,,,,,,,,,,,,,,,,,,"Colton Cowser","29591",681297
"Cam Smith","HOU",15,63,57,14,9,3,1,2,7,7,5,0,16,1,1,0,,1,0,0.239021,0.0799441,0.255039,0.313459,0.306953,0.400394,0.310433,0.707347,0.161373,5.63054,0.298137,0.0903482,0.0289961,7.15358,-0.300306,98.6574,0.119344,0.290332,0.02119395136833191,-0.38466787338256836,0.189928,341.8699951171875,,,,,,,74.5,4.966666666,74.5,4.966666666,,,,,,,,,,,,,,,,,,,"Cam Smith","35108",701358
"Carter Jensen","KCR",14,56,49,11,7,3,0,2,7,7,6,0,14,0,1,0,,1,0,0.233982,0.102589,0.254104,0.403729,0.312594,0.40586,0.315398,0.718454,0.171878,3.80099,0.285443,-0.00766161,-0.000777947,6.53077,-0.042177,98.6106,-0.00843956,-0.170499,-0.09800497069954872,-0.03407968580722809,0.186677,999,,,,,,,60,4.285714285,60,4.285714285,,,,,,,,,,,,,,,,,,,"Carter Jensen","29478",695600
"Brayan Rocchio","CLE",14,61,55,13,9,3,0,1,7,6,4,0,11,1,1,0,,2,1,0.240429,0.0693655,0.174521,0.397461,0.302482,0.35758,0.293316,0.660062,0.117152,4.67557,0.276109,-0.00281947,0.00381575,6.08075,-1.13286,86.2247,0.000996277,-0.0151745,-0.9735632094088942,0.6380662014707923,0.185462,999,,,,,,,51.9,3.707142857,51.9,3.707142857,,,,,,,,,,,,,,,,,,,"Brayan Rocchio","23690",677587
"Jackson Holliday","BAL",14,60,53,13,9,2,0,1,8,6,6,0,14,1,1,0,,1,1,0.239746,0.100332,0.228821,0.438475,0.320264,0.368755,0.306778,0.689019,0.12901,4.67563,0.294423,0.0103137,-0.00127812,6.66189,-0.464802,97.3061,0.00903557,-0.346403,-0.17925447598099709,-0.13127918541431427,0.185359,203.14999389648438,,,,,,,55.1,3.935714285,55.1,3.935714285,,,,,,,,,,,,,,,,,,,"Jackson Holliday","31781",702616
"Michael Massey","KCR",12,54,50,12,8,3,0,1,6,6,3,0,9,0,1,0,,0,0,0.248686,0.0494004,0.174385,0.283284,0.287737,0.396525,0.297736,0.684261,0.147838,3.51418,0.275215,-0.0505083,-0.00652489,5.53941,-0.805092,86.326,-0.0570332,0.698232,-0.9078666977584362,0.8267814964056015,0.184917,999,,,,,,,44.3,3.691666666,44.3,3.691666666,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Nick Gonzales","PIT",16,68,62,17,12,3,0,1,8,7,4,0,13,1,0,0,,1,0,0.273428,0.0656608,0.185869,0.353264,0.328955,0.387207,0.317353,0.716162,0.113779,4.09696,0.327359,-0.0498177,-0.0961447,8.06139,0.0553631,96.0721,-0.145962,0.107468,-0.4663473069667816,0.08246846124529839,0.184607,999,,,,,,,68.2,4.2625,68.2,4.2625,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Luis Campusano","SDP",11,44,39,9,6,2,0,1,5,5,4,0,10,0,0,0,,0,0,0.239784,0.0997771,0.229127,0.435467,0.318061,0.378861,0.310653,0.696921,0.139076,2.50237,0.291766,-0.0497165,-0.0486528,5.00397,-0.201919,98.9365,-0.0983693,0.362594,-0.15477757528424263,0.529260516166687,0.183618,999,,,,,,,38.6,3.509090909,38.6,3.509090909,,,,,,,,,,,,,,,,,,,"Luis Campusano","22217",669134
"Chase Meidroth","CHW",17,74,65,17,12,3,0,1,9,6,7,0,13,1,0,0,,1,0,0.256146,0.0983252,0.173135,0.567911,0.337651,0.356062,0.312971,0.693713,0.0999155,3.89956,0.301225,-0.0745753,-0.0407993,8.54135,-0.200863,99.5749,-0.115375,-0.948112,-0.1518223099410534,-0.6724945604801178,0.182208,646.8699951171875,,,,,,,74.2,4.364705882,74.2,4.364705882,,,,,,,,,,,,,,,,,,,"Chase Meidroth","31580",805367
"Jakob Marsee","MIA",13,54,47,11,7,2,1,1,7,5,6,0,12,1,0,1,,3,1,0.231005,0.115006,0.212821,0.540391,0.330608,0.361882,0.312035,0.69249,0.130878,6.94057,0.286124,0.129756,0.206416,6.24258,-0.188824,94.7033,0.336172,-0.160949,-0.010887503623962402,0.033186331391334534,0.181985,137.0800018310547,,,,,,,59.4,4.569230769,59.4,4.569230769,,,,,,,,,,,,,,,,,,,"Jakob Marsee","31370",805300
"Liam Hicks","TBR",13,52,45,11,8,2,0,1,6,6,5,0,7,1,1,0,,0,0,0.251611,0.0994654,0.133978,0.742402,0.3371,0.378852,0.319234,0.715953,0.127241,2.46376,0.268643,-0.15148,-0.069984,6.23475,0.120752,103.18,-0.221464,-0.725155,-0.03077748417854309,-0.033179640769958496,0.179643,748.5399780273438,,,,,,,49.8,3.83076923,49.8,3.83076923,,,,,,,,,,,,,,,,,,,"Liam Hicks","29844",689414
"Jacob Young","WSN",13,57,51,12,9,2,0,1,6,5,4,0,10,1,0,1,,2,1,0.245458,0.0700903,0.17841,0.392861,0.310526,0.338615,0.291833,0.649141,0.0931567,5.63633,0.293583,0.194414,0.105106,5.58623,-1.12125,80.2623,0.29952,0.761348,-1.049280822277069,0.9638172686100006,0.178722,746.0700073242188,,,,,,,47.4,3.646153846,47.4,3.646153846,,,,,,,,,,,,,,,,,,,"Jacob Young","29931",696285
"Nick Loftin","KCR",11,49,43,10,7,2,0,1,5,5,5,0,8,1,0,0,,1,0,0.237517,0.0942414,0.160917,0.585654,0.318971,0.353406,0.302386,0.672377,0.11589,3.92217,0.271003,-0.023292,-0.00712161,5.26881,-0.554227,89.5601,-0.0304136,0.73031,-0.6266227662563324,0.6384890377521515,0.178508,999,,,,,,,48.1,4.372727272,48.1,4.372727272,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Alex Call","LAD",5,20,18,4,3,1,0,0,2,2,2,0,4,0,0,0,,0,0,0.233487,0.113564,0.185018,0.613799,0.326592,0.331589,0.299713,0.65818,0.098102,3.75998,0.280482,-0.0197144,-0.0261224,2.12127,-0.27134,87.8363,-0.0458368,1.55984,-0.3423389010131359,1.4320599138736725,0.177869,999,,,,,,,13.3,2.66,13.3,2.66,,,,,,,,,,,,,,,,,,,"Alex Call","19296",669743
"Ceddanne Rafaela","BOS",10,44,41,11,7,2,0,1,5,5,2,0,9,1,0,0,,1,0,0.255692,0.0414967,0.211185,0.196495,0.292914,0.412469,0.306103,0.705383,0.156777,6.4044,0.301064,0.070283,0.0636536,4.85057,-0.364087,91.6608,0.133937,0.316171,-0.2925502508878708,0.4735787510871887,0.177217,125.02999877929688,,,,,,,46.7,4.67,46.7,4.67,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Brandon Valenzuela","TOR",8,31,28,6,4,1,0,1,3,4,3,0,8,0,0,0,,0,0,0.217375,0.0865024,0.258263,0.334939,0.286812,0.353511,0.284719,0.640323,0.136136,2.00101,0.272999,-0.0310608,-0.0422621,2.90774,-0.799631,80.6528,-0.0733229,1.01873,-0.7767803072929382,1.4017561674118042,0.17655,999,,,,,,,26.9,3.3625,26.9,3.3625,,,,,,,,,,,,,,,,,,,"Brandon Valenzuela","23813",678218
