Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",1.6491,0.8744,2.4383,2.8833,3.5556,3.5556,0,0,,21.9307,87.234,17.4657,7.6862,7.02587,2.47817,4.7723,,0.806,27.028,11.0918,1.95847,5.66352,1.017,0.309833,0.0547069,0.2551264427602291,0.213894,1.01401,0.287395,0.775328,,,2.86177,0.652448,0.606453,7.019999980926514,,,,,,,130,5.909090909090909,120,5.454545454545454,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",1.5593,0.9779,2.4526,2.91493,3.5556,3.5556,0,0,,22.0949,89.926,19.5587,8.018,7.15613,1.81424,5.6097,,0.7319,22.9194,9.33585,2.28502,4.08567,0.739,0.25487,0.0623813,0.19248825684189796,0.233999,1.1391,0.301516,0.757913,,,2.94841,0.614517,0.642937,24.75,,,,,,,111.20000000000002,5.054545454545456,109,4.954545454545454,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",1.3766,0.9788,2.0695,3.0249,3.42,3.42,0,0,,19.7257,80.711,16.2725,7.2686,6.62981,1.84764,5.5528,,0.8709,23.3758,10.6654,2.53351,4.20973,0.843,0.289623,0.0687986,0.22082491219043732,0.219048,1.10644,0.294002,0.75664,,,2.91908,0.57082,0.608697,9.649999618530273,,,,,,,106.80000000000001,5.340000000000001,99,4.95,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",1.3994,0.8865,2.1375,2.98007,3.24,3.24,0,0,,19.6775,79.473,15.8806,7.1283,6.5156,1.9284,4.8068,,1.1532,24.2621,11.0969,2.19851,5.04745,0.882,0.305287,0.0604834,0.24480389803647995,0.216024,1.05132,0.294832,0.753801,,,2.81122,0.569851,0.588273,39.36000061035156,,,,,,,111.80000000000001,5.590000000000001,104,5.2,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",1.4657,1.0291,2.2068,3.21651,3.5556,3.5556,0,0,,21.3088,87.547,17.6509,8.3122,7.61554,2.38895,6.7391,,0.8188,24.9547,10.5399,2.84633,3.70297,1.009,0.285043,0.0769769,0.20806653797626495,0.220666,1.1446,0.289901,0.763956,,,3.27385,0.5217,0.572726,70.58999633789062,,,,,,,110.00000000000001,5.238095238095239,105,5,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Zack Wheeler","PHI",1.401,0.986,2.087,3.21655,3.42,3.42,0,0,,20.277,83.034,16.8276,7.8976,7.24688,2.30031,5.7678,,0.9199,23.6189,10.4833,2.56005,4.09496,1.021,0.284449,0.0694631,0.2149854525923729,0.220411,1.11434,0.288085,0.758598,,,3.22915,0.513332,0.506945,110.48999786376953,,,,,,,106.2,5.3100000000000005,101,5.05,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto","LAD",1.4697,0.9581,2.1674,3.32197,3.42,3.42,0,0,,21.0154,86.805,18.6531,8.5352,7.75694,2.25332,6.0997,,0.7495,22.077,9.45464,2.61224,3.61936,0.965,0.254329,0.070269,0.18405967205762863,0.233293,1.17784,0.294825,0.750879,,,3.36514,0.500665,0.427528,26.639999389648438,,,,,,,104.4,4.9714285714285715,102,4.857142857142857,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Dylan Cease","TOR",1.3076,1.0231,1.9952,3.2433,3.358,3.358,0,0,,19.6383,81.69,15.2973,7.6998,7.07698,2.09912,7.6391,,0.5943,25.1886,11.5436,3.50091,3.29733,0.962,0.308344,0.0935133,0.2148304581642151,0.208249,1.16794,0.285868,0.76192,,,3.1766,0.494098,0.446882,74.7699966430664,,,,,,,107.4,5.37,97,4.85,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jacob deGrom","TEX",1.3019,1.0308,1.9074,3.26641,3.42,3.42,0,0,,19.2876,78.469,16.0346,7.57,7.00014,2.33166,4.8423,,0.4878,22.9273,10.6984,2.25952,4.7348,1.088,0.292183,0.0617097,0.23047317564487457,0.219235,1.0824,0.286194,0.755534,,,3.11773,0.493412,0.397474,50.0099983215332,,,,,,,105.4,5.5473684210526315,100,5.2631578947368425,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Tyler Glasnow","LAD",1.3796,0.9478,1.858,3.38395,3.42,3.42,0,0,,19.2558,79.405,15.6137,7.89,7.24008,2.12884,7.1108,,0.5182,23.3397,10.9088,3.32353,3.28229,0.995,0.293932,0.089551,0.20438134670257568,0.217534,1.18014,0.291203,0.751337,,,3.29617,0.458885,0.401904,113.73999786376953,,,,,,,96.4,5.0736842105263165,91,4.7894736842105265,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Jacob Misiorowski","MIL",1.2996,0.9508,1.9634,3.19926,3.23,3.23,0,0,,19.0659,78.85,14.6311,7.3759,6.77742,2.03793,7.3438,,1.1156,24.7203,11.6691,3.46662,3.36615,0.962,0.31351,0.0931363,0.22037413716316223,0.207856,1.15258,0.28862,0.763474,,,3.22203,0.451152,0.506116,114.13999938964844,,,,,,,103,5.421052631578948,95,5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Cam Schlittler","NYY",1.4271,1.0877,2.0836,3.46769,3.61,3.61,0,0,,21.283,88.532,18.1371,8.9262,8.20032,2.41444,7.1356,,0.9196,23.6299,9.99244,3.01745,3.31155,1.021,0.266908,0.0805991,0.18630891293287277,0.225371,1.18746,0.288847,0.746672,,,3.48422,0.435283,0.416126,116.62999725341797,,,,,,,108.00000000000001,5.142857142857143,103,4.904761904761905,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Blake Snell","LAD",1.3802,0.9528,1.8702,3.3931,3.42,3.42,0,0,,19.3523,81.38,15.3512,7.971,7.29604,2.05134,8.8065,,0.5487,23.9735,11.1491,4.09556,2.72225,0.954,0.294587,0.108215,0.1863725781440735,0.213138,1.24831,0.289128,0.760445,,,3.4452,0.426748,0.402081,178.41000366210938,,,,,,,95,5,87,4.578947368421052,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Drew Rasmussen","TBR",1.3103,1.1479,1.8983,3.50831,3.61,3.61,0,0,,20.2424,83.371,18.4424,8.5903,7.89074,2.34362,4.8249,,0.7875,20.4591,9.09635,2.14521,4.24032,1.042,0.245398,0.0578726,0.1875256411731243,0.237175,1.14943,0.29294,0.734356,,,3.41002,0.424606,0.363657,132.36000061035156,,,,,,,98.60000000000001,4.930000000000001,96,4.8,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Logan Webb","SFG",1.189,1.2066,2.0839,3.44516,3.358,3.358,0,0,,20.6424,86.442,20.0044,8.7673,7.90183,1.73626,5.6838,,0.7869,17.7342,7.73204,2.47811,3.12013,0.757,0.205157,0.0657528,0.13940444588661194,0.250145,1.24444,0.301949,0.727548,,,3.41016,0.422961,0.415048,57.189998626708984,,,,,,,93.80000000000001,4.466666666666667,94,4.476190476190476,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Max Fried","NYY",1.4329,1.0647,2.0869,3.34249,3.61,3.61,0,0,,20.9976,87.967,19.4638,8.6161,7.79826,2.0181,6.554,,0.8024,19.9246,8.54009,2.80918,3.04007,0.865,0.226501,0.0745052,0.15199562907218933,0.241455,1.23908,0.297364,0.750317,,,3.49723,0.42281,0.415629,50.04999923706055,,,,,,,97.4,4.6380952380952385,95,4.523809523809524,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Braxton Ashcraft","PIT",1.2523,1.1245,1.8809,3.64148,3.42,3.42,0,0,,19.9928,83.652,18.8898,8.8253,8.08926,2.13479,5.547,,0.8616,19.2312,8.65716,2.49705,3.46695,0.961,0.229895,0.0663104,0.16358483582735062,0.244549,1.22228,0.299853,0.727873,,,3.52048,0.412645,0.385728,239.36000061035156,,,,,,,91,4.55,91,4.55,,,,,,,,,,,,,,,,,,,"Braxton Ashcraft","23793",677952
