Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",2.3347,0.357421,1.41203,2.79963,4,4,0,0,,21.86,86.5495,17.4031,7.31,6.8,1.92952,4.33622,0.0589011,0.629903,25.5731,10.5287,1.78527,5.89756,0.794404,0.295474,0.050101,0.24537289142608643,0.213316,0.994477,0.286119,0.757922,,,2.58383,0.754186,0.726669,7.019999980926514,,,,,,,131,5.954545454545454,121,5.5,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Blake Snell","LAD",2.39175,0.39112,1.60891,3.12084,4,4,0,0,,22.84,92.6182,16.7844,8.48,7.92,2.13807,8.20119,0.0853175,0.680044,29.0313,11.4397,3.23164,3.53989,0.842496,0.313452,0.0885483,0.22490333020687103,0.200442,1.09394,0.27862,0.750517,,,2.93587,0.693914,0.68027,178.41000366210938,,,,,,,132.40000000000003,5.756521739130436,120,5.217391304347826,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Chris Sale","ATL",1.84625,0.981957,1.71037,3.35994,4,4,0,0,,23.304,95.5338,19.8167,9.33,8.7,2.11431,5.83,0.0634098,1.59019,27.659,10.6819,2.25155,4.74425,0.816547,0.289521,0.0610256,0.22849521040916443,0.224899,1.10053,0.303433,0.71922,,,2.85547,0.689131,0.565099,39.36000061035156,,,,,,,125.60000000000002,5.460869565217393,121,5.260869565217392,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jacob Misiorowski","MIL",2.30921,0.404122,1.47982,3.02955,4,4,0,0,,22.132,89.9869,15.6879,7.99,7.45,2.47792,7.67997,0.059404,1.43307,31.9726,13.0017,3.12307,4.16312,1.00765,0.355303,0.0853454,0.2699574902653694,0.19398,1.05584,0.284555,0.772805,,,2.89605,0.661793,0.609146,114.13999938964844,,,,,,,133.60000000000002,6.072727272727274,121,5.5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Dylan Cease","TOR",2.38239,0.5446,1.88395,3.31991,4,4,0,0,,24.344,100.053,17.7043,9.6,8.98,2.72435,10.095,0.078401,0.681352,32.6387,12.0666,3.73215,3.23315,1.00719,0.326214,0.100897,0.22531714290380478,0.198308,1.14194,0.277851,0.758772,,,3.19593,0.646621,0.522164,74.7699966430664,,,,,,,126.90000000000002,5.2875000000000005,114,4.75,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Paul Skenes","PIT",1.78805,0.996149,1.63885,3.50009,4,4,0,0,,22.808,94.0839,19.1806,9.52,8.87,2.42777,6.72284,0.0538454,1.25549,25.2308,9.95602,2.65282,3.75299,0.957996,0.268173,0.0714558,0.1967172548174858,0.222757,1.13572,0.286633,0.728006,,,3.31528,0.617645,0.454467,9.649999618530273,,,,,,,122.20000000000002,5.31304347826087,115,5,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Yoshinobu Yamamoto","LAD",2.45402,0.389319,1.70804,3.12863,4,4,0,0,,23.416,94.5624,18.7501,8.73,8.14,2.26351,6.62438,0.066812,0.700139,25.0969,9.64604,2.5461,3.78856,0.869987,0.2654,0.070053,0.19534703344106674,0.214931,1.08364,0.275339,0.749564,,,3.14603,0.605437,0.565099,26.639999389648438,,,,,,,122.20000000000002,5.31304347826087,115,5,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cristopher Sánchez","PHI",2.07411,0.717511,1.61443,3.15016,4,4,0,0,,22.856,93.3382,20.7029,8.66,8,1.69689,5.74,0.0601191,0.799762,21.8142,8.58976,2.26024,3.80038,0.668183,0.233711,0.0614967,0.1722143478691578,0.238517,1.15694,0.300313,0.738884,,,3.00925,0.602231,0.565099,24.75,,,,,,,114.00000000000003,4.956521739130436,112,4.869565217391305,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Cam Schlittler","NYY",2.03329,0.725563,1.60816,3.50009,4,4,0,0,,22.628,93.0676,18.5374,9.41,8.8,2.61276,7.329,0.050027,0.746534,25.99,10.3372,2.91502,3.54619,1.03919,0.279259,0.0787492,0.20051003992557526,0.218107,1.14311,0.282405,0.740994,,,3.36909,0.563006,0.565099,116.62999725341797,,,,,,,111.9,4.865217391304348,104,4.521739130434782,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Jesús Luzardo","PHI",2.054,0.778579,1.74957,3.51143,4,4,0,0,,23.452,97.4222,20.1448,9.89,9.15,2.28809,7.37587,0.0646422,1.59725,25.4909,9.78244,2.83058,3.45598,0.878084,0.261653,0.0757103,0.1859431117773056,0.227755,1.17349,0.294324,0.725024,,,3.33686,0.557939,0.454467,70.58999633789062,,,,,,,116.60000000000002,5.069565217391306,112,4.869565217391305,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
