Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jakey Josepha","ARI",0.25,1,0.9184,0.1631,0.1242,0.0234,0.0027,0.0128,0.0792,0.0733,0.0618,0,0.3213,0.009,0.0073,0.0035,,0.0178,0.0053,0.177591,0.0618,0.3213,0.192344,0.234722,0.250762,0.219249,0.485484,0.0731707,4.61924,0.254057,0,0.000102232,0.0419957,-0.076162,34.7933,0.000102232,0,-0.07718126245890744,0.004000000189989805,-0.00408461,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jakey Josepha","sa3017481",699228
"Matthew Lugo","LAA",11.96,47.9248,44.3633,9.9301,6.1634,2.1231,0.279,1.3646,4.8059,5.1234,2.5304,0,14.7375,0.5272,0.3493,0.1546,,0.792,0.2515,0.223836,0.0527994,0.307513,0.171698,0.271879,0.37655,0.281544,0.648429,0.152714,5.01926,0.299383,-0.008,-0.00546765,4.43656,-1.22613,77.3105,-0.0134676,0.203,-1.2950858874246478,-0.39499999582767487,-0.00409834,999,,,,,,,41.1,3.425,41.1,3.425,,,,,,,,,,,,,,,,,,,"Matthew Lugo","25980",683090
"John Cristino","NYY",0.25,1,0.9328,0.1438,0.1039,0.022,0.0016,0.0162,0.0722,0.0715,0.0444,0.002,0.3854,0.012,0.0073,0.0035,,0.0101,0.003,0.15416,0.0444,0.3854,0.115205,0.200903,0.233169,0.193818,0.434072,0.0790094,4.0198,0.236955,0,-0.000253597,0.0213483,-0.0968094,19.1858,-0.000253597,0,-0.09550250487518497,0.020999999716877937,-0.00409997,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"John Cristino","sa3067467",701816
"Jay Thomason","MIN",0.25,1,0.8985,0.1637,0.1115,0.0259,0.0022,0.0241,0.0925,0.0882,0.0797,0,0.3159,0.011,0.0073,0.0035,,0.0221,0.0064,0.182193,0.0797,0.3159,0.252295,0.255294,0.296383,0.247323,0.551676,0.11419,4.82669,0.24673,0,0.000464231,0.0647893,-0.0533684,54.1573,0.000464231,0,-0.05356678753742017,-0.020999999716877937,-0.00410654,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jay Thomason","sa3025265",823295
"Luke Mann","ATH",0.25,1,0.9039,0.171,0.1107,0.0343,0.0033,0.0226,0.0934,0.0893,0.0743,0.001,0.3314,0.011,0.0073,0.0035,,0.0079,0.0023,0.18918,0.0743,0.3314,0.2242,0.2572,0.309326,0.251661,0.566526,0.120146,4.15028,0.266332,0,-0.000649216,0.0683115,-0.0498462,55.0842,-0.000649216,0,-0.0535877633956261,-0.020999999716877937,-0.00410869,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luke Mann","sa3022529",680996
"Yandel Ricardo","KCR",0.25,1,0.93,0.1681,0.1307,0.0274,0.0033,0.0067,0.0749,0.0665,0.0492,0.001,0.2594,0.01,0.0073,0.0035,,0.0211,0.0064,0.180753,0.0492,0.2594,0.189668,0.228098,0.238925,0.21001,0.467023,0.0581721,4.87724,0.240465,0,0.000352033,0.0344949,-0.0836628,26.1951,0.000352033,0,-0.08663560412242077,0.012000000104308128,-0.00411358,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yandel Ricardo","sa3024305",815902
"Julio Zayas","NYM",0.25,1,0.9241,0.1407,0.1095,0.0166,0.0015,0.0131,0.0706,0.0669,0.0541,0,0.2881,0.011,0.0073,0.0035,,0.0076,0.0023,0.152256,0.0541,0.2881,0.187782,0.206523,0.215994,0.192501,0.422517,0.0637377,3.65258,0.202475,0,-0.000574542,0.0202789,-0.0978788,20.7553,-0.000574542,0,-0.0944959502085112,0.020999999716877937,-0.0041168,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Julio Zayas","sa3021234",808289
"Quincy Scott","TEX",0.25,1,0.9061,0.1698,0.1294,0.0264,0.0018,0.0122,0.0825,0.0732,0.0721,0,0.3059,0.011,0.0073,0.0035,,0.0162,0.0049,0.187397,0.0721,0.3059,0.235698,0.253788,0.260898,0.233561,0.514687,0.0735018,4.17852,0.26474,0,-0.000169491,0.0536164,-0.0645413,46.841,-0.000169491,0,-0.06282361327612307,-0.012000000104308128,-0.00413282,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Quincy Scott","sa3022656",701701
"Ricardo Gonzalez","TBR",0.25,1,0.9134,0.1576,0.1283,0.0233,0.002,0.0041,0.07,0.0592,0.0678,0,0.2459,0.008,0.0073,0.0035,,0.0161,0.005,0.172542,0.0678,0.2459,0.275722,0.23422,0.216006,0.207292,0.450226,0.043464,4.1274,0.228865,0,-0.000174988,0.0322878,-0.0858699,26.457,-0.000174988,0,-0.08685395499924198,0.012000000104308128,-0.00413592,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ricardo Gonzalez","sa3018529",800357
"Elaineiker Coronado","TOR",0.25,1,0.8875,0.1507,0.1275,0.0176,0.0014,0.0042,0.0744,0.0579,0.0917,0.002,0.2623,0.01,0.0073,0.0035,,0.0077,0.0023,0.169803,0.0917,0.2623,0.3496,0.253287,0.206986,0.215752,0.460272,0.0371831,3.16053,0.233169,0,-0.00090179,0.0391572,-0.0790005,33.7712,-0.00090179,0,-0.07896012993296608,0.004000000189989805,-0.00414679,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Elaineiker Coronado","sa3067843",830398
"Yeison Morrobel","TEX",0.25,1,0.9191,0.1727,0.1245,0.0287,0.0017,0.0178,0.0848,0.0822,0.0611,0.001,0.2464,0.009,0.0073,0.0035,,0.0099,0.0031,0.187901,0.0611,0.2464,0.247971,0.243653,0.280927,0.23386,0.52458,0.0930258,3.77913,0.233917,0,-0.000567588,0.0538591,-0.0642986,47.0469,-0.000567588,0,-0.06297901162179187,-0.012000000104308128,-0.00414872,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yeison Morrobel","sa3015720",694218
"Modeifi Marte","ARI",0.25,1,0.9263,0.1997,0.1493,0.0349,0.0024,0.0131,0.0881,0.0844,0.0539,0.001,0.2139,0.009,0.0073,0.0035,,0.0105,0.0032,0.215589,0.0539,0.2139,0.251987,0.263522,0.300874,0.250134,0.564397,0.0852855,3.8066,0.264082,0,-0.000604729,0.0670715,-0.0510862,55.9505,-0.000604729,0,-0.052812455978710204,-0.020999999716877937,-0.00414919,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Modeifi Marte","sa3018445",800029
"Alberth Palma","TBR",0.25,1,0.9144,0.1668,0.1354,0.023,0.0026,0.0058,0.0734,0.0638,0.0648,0,0.2169,0.01,0.0073,0.0035,,0.0158,0.0048,0.182415,0.0648,0.2169,0.298755,0.242449,0.232283,0.216999,0.474732,0.0498688,4.11489,0.230329,0,-0.000193355,0.0401697,-0.077988,33.1444,-0.000193355,0,-0.07899048707622569,0.004000000189989805,-0.00414989,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Alberth Palma","sa3022924",808285
"Junior Tilien","DET",0.25,1,0.9227,0.1827,0.1343,0.0339,0.0022,0.0123,0.0817,0.0775,0.0585,0,0.219,0.008,0.0073,0.0035,,0.0066,0.002,0.198006,0.0585,0.219,0.267123,0.250075,0.279506,0.236551,0.529581,0.0814999,3.38606,0.243881,0,-0.000824651,0.0560439,-0.0621138,47.2444,-0.000824651,0,-0.06300329987425357,-0.012000000104308128,-0.00415121,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Junior Tilien","sa3015187",691708
"Titus Dumitru","PIT",0.25,1,0.9159,0.1787,0.131,0.0291,0.0026,0.016,0.0853,0.0813,0.0633,0.002,0.2805,0.01,0.0073,0.0035,,0.0168,0.0052,0.195109,0.0633,0.2805,0.225668,0.252885,0.284966,0.239673,0.537851,0.089857,4.48086,0.259614,0,-0.000105009,0.0585788,-0.0595789,47.8856,-0.000105009,0,-0.061871327823610045,-0.012000000104308128,-0.00415521,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Titus Dumitru","sa3025225",828335
"Jack Costello","SDP",0.25,1,0.9232,0.1811,0.1296,0.0287,0.0015,0.0213,0.0879,0.0885,0.05,0,0.2234,0.016,0.0073,0.0035,,0.0098,0.0029,0.196166,0.05,0.2234,0.223814,0.247968,0.299718,0.243045,0.547686,0.103553,3.59568,0.233013,0,-0.000518888,0.061316,-0.0568417,55.8173,-0.000518888,0,-0.05288449994986877,-0.020999999716877937,-0.00415656,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jack Costello","sa3025242",694320
"Angel Feliz","WSN",0.25,1,0.928,0.1688,0.1295,0.0249,0.0025,0.0119,0.0751,0.0711,0.0532,0,0.272,0.008,0.0073,0.0035,,0.0165,0.0051,0.181897,0.0532,0.272,0.195588,0.230808,0.252586,0.216976,0.483394,0.0706897,4.21452,0.240866,0,-0.0000474777,0.0401503,-0.0780075,34.2405,-0.0000474777,0,-0.077986146126932,0.004000000189989805,-0.00416696,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Angel Feliz","sa3023892",815906
"Arturo Disla","TEX",0.25,1,0.9251,0.1833,0.1277,0.032,0.0013,0.0223,0.0894,0.0908,0.0541,0.002,0.2638,0.01,0.0073,0.0035,,0.0079,0.0024,0.198141,0.0541,0.2638,0.20508,0.248269,0.307859,0.244834,0.556128,0.109718,3.36103,0.24911,0,-0.000655839,0.062769,-0.0553887,54.6065,-0.000655839,0,-0.054157408187165856,-0.020999999716877937,-0.00416697,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Arturo Disla","sa3022618",815697
"Carlos Colmenarez","TBR",0.25,1,0.8973,0.1476,0.1119,0.0229,0.0022,0.0106,0.075,0.0652,0.0799,0,0.3601,0.012,0.0073,0.0035,,0.0128,0.0042,0.164493,0.0799,0.3601,0.221883,0.240341,0.230358,0.21717,0.470699,0.0658643,4.14861,0.256602,0,-0.000505394,0.0403083,-0.0778494,33.262,-0.000505394,0,-0.07916389277670532,0.004000000189989805,-0.00416763,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Carlos Colmenarez","sa3017480",694181
"Jorge Lara","ARI",0.25,1,0.9034,0.1598,0.1294,0.0216,0.0023,0.0065,0.0766,0.0643,0.0738,0,0.2542,0.012,0.0073,0.0035,,0.0142,0.0042,0.176887,0.0738,0.2542,0.290323,0.246463,0.227474,0.218577,0.473937,0.0505867,4.07183,0.235846,0,-0.000300653,0.0414503,-0.0767074,34.333,-0.000300653,0,-0.07812960413866676,0.004000000189989805,-0.00418164,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jorge Lara","sa3021327",814278
