Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
BAL,Orioles,132,479,546,123,77,28,1,17,64,63,60,2,87,3,3,0,,1,0,0.256886,0.341668,0.42747,0.769137,0.334992,0.110772,0.159144,0.696049,0.170584,2.43236,0.279502,0,,74.2413,9.72514,6.48854,-0.721719,-0.721719,4.64271,10.058911263942719,16.51972198486328,116.752,647.4,4.904545454,647.4,4.904545454,148.92999267578125,0.19148936,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ARI,Diamondbacks,149,564,646,144,79,26,13,26,110,90,67,3,142,10,4,2,,34,6,0.255077,0.341752,0.485317,0.827069,0.3534,0.103362,0.21939,0.471136,0.230241,8.50548,0.294008,0,,97.5638,21.1766,7.03654,3.39286,3.39286,4.63024,23.844370126724243,-0.08962011337280273,126.691,915.1,6.141610738,915.1,6.141610738,14.100000381469727,0.02040816,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
TEX,Rangers,143,521,595,137,80,28,3,26,85,85,66,3,134,5,3,0,,19,5,0.263345,0.349319,0.478885,0.828205,0.355772,0.110623,0.224351,0.493078,0.215541,5.74264,0.304484,0,,90.9855,20.6461,8.3439,0.914359,0.914359,4.60015,22.683834671974182,1.7819437980651855,131.027,824.0,5.762237762,824.0,5.762237762,37.75,0.0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
CIN,Reds,149,574,642,152,90,31,7,24,99,89,60,5,174,3,4,1,,39,9,0.263957,0.335172,0.466718,0.80189,0.342809,0.0941892,0.2716,0.346795,0.202761,7.6775,0.336208,0,,91.3871,15.5124,0.407308,3.19884,3.19884,4.48829,15.025979042053223,7.485653758049011,115.54,870.5,5.842281879,870.5,5.842281879,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
TOR,Blue Jays,123,409,462,109,78,17,0,13,42,59,46,2,58,4,3,0,,1,0,0.266781,0.344735,0.406842,0.751577,0.329413,0.100048,0.125202,0.799087,0.14006,1.53407,0.281359,0,,60.7235,6.13583,13.4613,-0.642093,-0.642093,4.47964,5.929026246070862,21.94876194000244,112.068,524.8,4.266666666,524.8,4.266666666,160.25,0.05511811,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
ARI,Diamondbacks,149,494,585,133,91,25,4,13,85,66,72,1,78,7,3,10,,21,6,0.268593,0.366809,0.415552,0.782361,0.344841,0.122503,0.133188,0.919774,0.146959,6.00306,0.29407,0,,84.2198,15.0973,1.61778,0.827964,0.827964,4.37812,15.269148528575897,8.06621515750885,120.828,728.4,4.888590604,728.4,4.888590604,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
LAD,Dodgers,137,523,600,142,91,28,2,21,89,83,69,3,71,5,3,0,,9,2,0.271212,0.35953,0.45303,0.81256,0.352327,0.115689,0.118915,0.972873,0.181818,4.60541,0.278352,0,,90.0904,19.1446,-3.64045,-0.118841,-0.118841,4.33423,19.415120780467987,2.9780843257904053,127.449,795.7,5.808029197,795.7,5.808029197,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
ATL,Braves,117,437,524,124,76,20,2,25,99,69,78,3,110,6,3,0,,24,5,0.282753,0.396105,0.510767,0.906872,0.390006,0.149106,0.209051,0.713253,0.228014,6.34218,0.322433,0,,94.7105,32.758,-4.0345,1.82061,1.82061,4.29033,34.309587240219116,-9.814042091369629,152.281,845.4,7.225641025,845.4,7.225641025,5.260000228881836,0.04081633,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
LAD,Dodgers,136,489,573,129,74,25,2,28,86,91,77,5,83,3,3,1,,21,3,0.264266,0.365472,0.49541,0.860882,0.368436,0.134266,0.145174,0.924868,0.231143,5.47607,0.265515,0,,93.4836,25.7685,0.997555,1.97997,1.97997,4.28287,28.1201331615448,-5.319583714008331,138.485,852.0,6.264705882,852.0,6.264705882,13.130000114440918,0.13868613,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
TOR,Blue Jays,149,564,648,166,105,33,0,28,89,97,74,9,85,6,4,0,,5,2,0.293521,0.379391,0.501327,0.880718,0.375646,0.114959,0.131537,0.873967,0.207806,2.68,0.30251,0,,109.479,32.9247,-1.16213,-0.982518,-0.982518,4.2761,32.55266922712326,-13.065051794052124,143.916,968.4,6.499328859,968.4,6.499328859,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TEX,Rangers,113,425,487,112,68,21,0,23,66,67,55,8,93,4,3,0,,2,0,0.26403,0.350585,0.476289,0.826874,0.351896,0.112223,0.190653,0.588626,0.212259,2.56213,0.285424,0,,72.9271,15.3632,3.17035,-0.396678,-0.396678,4.21525,15.8859304189682,8.54048228263855,128.357,660.1,5.84159292,660.1,5.84159292,95.08999633789062,0.04761905,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ARI,Diamondbacks,130,483,554,130,77,26,3,24,80,76,61,5,92,7,3,0,,5,1,0.269048,0.356658,0.483959,0.840617,0.36,0.109717,0.16696,0.657143,0.214911,4.31524,0.286671,0,,86.5244,21.1032,0.551861,-0.349954,-0.349954,4.20841,20.132235437631607,2.586240828037262,131.212,773.8,5.952307692,773.8,5.952307692,32.63999938964844,0.1640625,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
SFG,Giants,133,467,538,115,64,27,2,22,75,65,61,1,131,7,3,0,,7,2,0.246044,0.339825,0.45535,0.795176,0.344449,0.113657,0.243667,0.466443,0.209307,4.60016,0.292508,0,,77.333,13.7222,5.07964,-0.299887,-0.299887,4.08597,14.97361421585083,7.05772340297699,123.937,685.2,5.151879699,685.2,5.151879699,163.6199951171875,0.0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
TBR,Rays,149,568,621,152,91,27,1,34,80,109,45,1,116,4,4,0,,6,1,0.268569,0.324752,0.498837,0.823589,0.351468,0.0727819,0.187559,0.388048,0.230268,3.60645,0.281536,0,,92.6753,19.3531,-2.92277,-0.149291,-0.149291,4.03358,18.701731249690056,-0.6426904201507568,125.774,842.4,5.653691275,842.4,5.653691275,16.479999542236328,0.03797468,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
PHI,Phillies,135,546,595,152,104,28,4,16,86,69,41,1,110,5,4,0,,24,4,0.279445,0.333697,0.435624,0.769321,0.333232,0.0694893,0.184073,0.37751,0.156179,6.53769,0.321431,0,,80.1142,9.75501,1.83264,2.27009,2.27009,4.00206,10.915273904800415,8.396448254585266,112.25,732.0,5.422222222,732.0,5.422222222,26.780000686645508,0.00699301,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
NYY,Yankees,141,533,588,145,93,26,4,22,83,89,48,3,86,4,3,0,,12,3,0.272562,0.334993,0.460661,0.795654,0.341768,0.0814646,0.145708,0.559096,0.188099,5.38882,0.287022,0,,83.1712,13.7054,10.2874,0.196983,0.196983,3.97669,14.819745495915413,3.806915283203125,121.103,754.4,5.350354609,754.4,5.350354609,80.98999786376953,0.0,1B/OF,/players/cody-bellinger/15998/stats/batting,9,AL,Cody Bellinger,641355,15998,15998
CHC,Cubs,149,571,624,158,117,28,4,10,81,63,39,1,59,10,4,0,,27,6,0.277042,0.331985,0.390139,0.722123,0.31665,0.062785,0.0938248,0.669173,0.113097,6.11323,0.293174,0,,75.5514,1.82113,10.5779,1.85003,1.85003,3.95424,5.024726033210754,12.870699405670166,104.293,693.3,4.653020134,693.3,4.653020134,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17,NL,Nico Hoerner,663538,21479,21479
SDP,Padres,136,492,536,135,83,27,5,20,69,75,35,2,104,3,3,3,,6,3,0.274517,0.323931,0.472799,0.79673,0.340391,0.0645992,0.193798,0.333333,0.198282,4.98974,0.309159,0,,75.1732,11.8874,5.33065,-0.810541,-0.810541,3.94785,13.474220991134644,7.29862904548645,122.503,675.8,4.969117647,675.8,4.969117647,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
ATL,Braves,121,427,481,113,68,22,2,21,55,69,46,1,92,5,3,0,,0,0,0.265718,0.341774,0.472892,0.814666,0.350907,0.0956087,0.192316,0.497143,0.207174,2.07738,0.292764,0,,71.568,14.7724,-0.0968439,-0.781147,-0.781147,3.93545,13.74458122253418,8.733917102217674,125.497,631.4,5.218181818,631.4,5.218181818,78.62999725341797,0.11607143,C,/players/drake-baldwin/31539/stats/batting,16,NL,Drake Baldwin,686948,31539,31539
LAA,Angels,143,518,585,130,73,31,1,25,86,82,45,4,144,17,3,2,,24,9,0.251765,0.329708,0.462689,0.792397,0.340454,0.0763181,0.245765,0.310533,0.210924,5.6625,0.298329,0,,82.2025,13.0239,-0.945847,0.342781,0.342781,3.92413,12.688811957836151,5.507821798324585,117.891,747.0,5.223776223,747.0,5.223776223,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
ATH,Athletics,136,489,537,128,68,27,1,32,73,98,41,1,121,4,3,0,,4,1,0.262248,0.322825,0.518912,0.841737,0.357401,0.0770192,0.225158,0.342067,0.256664,3.4286,0.283423,0,,82.8239,19.3434,-7.36013,-0.362885,-0.362885,3.92128,17.319173395633698,2.5100197792053223,127.924,752.4,5.532352941,752.4,5.532352941,54.04999923706055,0.1328125,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
NYM,Mets,137,546,591,157,107,32,1,16,70,78,38,1,102,3,4,0,,6,4,0.286658,0.33365,0.439091,0.772741,0.334125,0.0638713,0.171664,0.372073,0.152433,3.08712,0.323931,0,,79.9859,10.1156,4.67115,-1.39428,-1.39428,3.84409,11.0614755153656,6.843881368637085,117.772,705.3,5.148175182,705.3,5.148175182,92.86000061035156,0.04929577,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
ATL,Braves,149,557,592,155,101,29,5,20,72,79,24,1,114,5,4,2,,20,5,0.278103,0.31195,0.45581,0.767761,0.328815,0.0409313,0.192303,0.212848,0.177708,6.1532,0.315893,0,,77.4592,7.56858,6.91915,1.23301,1.23301,3.81247,8.498047709465027,9.092519044876099,110.363,722.6,4.849664429,722.6,4.849664429,99.06999969482422,0.0,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
