Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
SEA,Mariners,13,10,30,30,0,0,,178,720,163,78,71,22,174,34,,7,3.61878,1.10587,8.8031,1.70509,5.16284,1.09806,0.241215,0.0467214,0.19449340924620628,,0.239567,0.291508,0.71527,3.454,847.8,4.762921348314607,829,4.657303370786517,3.33218,2.64178,17,64.58000183105469,11,AL,George Kirby,669923,25436,25436
BAL,Orioles,9,8,27,27,0,0,,151,624,130,66,61,17,163,48,,7,3.61552,1.1826,9.71658,2.87181,3.38343,1.02435,0.260911,0.0771142,0.18379643559455872,,0.228834,0.29057,0.728988,3.54866,731.3000000000002,4.843046357615895,695,4.602649006622516,3.322,2.64818,15,72.95999908447266,2,AL,Kyle Bradish,680694,24586,24586
TEX,Rangers,12,9,29,29,0,0,,170,691,149,75,69,19,165,41,,7,3.66292,1.12305,8.72891,2.19088,3.98421,1.03261,0.238052,0.0597489,0.17830314487218857,,0.232112,0.282765,0.707244,3.54077,822.9,4.840588235294118,789,4.641176470588236,3.31423,2.90939,16,132.50999450683594,13,AL,Nathan Eovaldi,543135,9132,9132
MIN,Twins,11,10,29,29,0,0,,172,699,150,79,73,25,190,39,,8,3.82167,1.10105,9.90858,2.06132,4.80692,1.33196,0.271186,0.0564158,0.21477020904421806,,0.230569,0.285828,0.715434,3.69044,814.3,4.734302325581395,774,4.5,3.27828,2.78829,16,78.52999877929688,8,AL,Joe Ryan,657746,21390,21390
TOR,Blue Jays,12,10,30,30,0,0,,186,768,170,88,81,25,182,53,,4,3.91578,1.19772,8.82031,2.57509,3.42525,1.19128,0.23734,0.0692914,0.168048694729805,,0.238539,0.287625,0.715916,3.81874,819.9000000000001,4.408064516129032,798,4.290322580645161,3.23936,2.61825,16,112.94999694824219,14,AL,Kevin Gausman,592332,14107,14107
TBR,Rays,10,8,30,30,0,0,,163,667,146,71,66,18,149,42,,5,3.62057,1.15236,8.23443,2.29921,3.58142,1.01476,0.2234,0.0623774,0.16102226451039314,,0.235598,0.282147,0.719042,3.63688,762.1999999999999,4.676073619631901,738,4.52760736196319,3.11122,3.06466,17,132.36000061035156,12,AL,Drew Rasmussen,656876,25385,25385
MIL,Brewers,11,8,27,27,0,0,,157,640,134,71,65,22,166,42,,6,3.74197,1.12526,9.54315,2.43073,3.92604,1.28273,0.260216,0.0662794,0.19393642246723175,,0.227128,0.27813,0.727356,3.7964,730.7999999999998,4.654777070063694,687,4.375796178343949,3.02009,2.74642,15,143.82000732421875,23,NL,Brandon Woodruff,605540,16162,16162
TBR,Rays,9,7,24,24,0,0,,140,573,122,62,57,17,149,42,,3,3.67512,1.17553,9.57362,2.72603,3.51193,1.1148,0.259396,0.0738616,0.1855347901582718,,0.231265,0.28958,0.73013,3.60036,672.7,4.805000000000001,642,4.585714285714285,2.83025,2.52399,14,182.99000549316406,12,AL,Shane McClanahan,663556,21483,21483
NYM,Mets,12,9,29,29,0,0,,165,686,136,75,69,22,184,61,,8,3.76277,1.19256,10.0281,3.31783,3.02248,1.18717,0.268613,0.0888714,0.1797410547733307,,0.220658,0.278164,0.732343,3.86403,757.8000000000001,4.592727272727273,700,4.242424242424242,2.82013,2.6335,16,56.36000061035156,25,NL,Freddy Peralta,642547,18679,18679
PHI,Phillies,11,11,30,30,0,0,,182,759,175,91,84,28,179,50,,6,4.16077,1.2337,8.86454,2.45523,3.61047,1.36394,0.236057,0.0653813,0.17067594826221466,,0.248414,0.296289,0.715779,4.04858,737.4000000000001,4.051648351648352,736,4.043956043956044,2.81495,2.49127,15,205.52999877929688,26,NL,Aaron Nola,605400,16149,16149
