Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
ATH,Athletics,9.5021,10.5886,28.62,28.62,0.0,0.0,,169.046,728.961,172.548,90.6728,84.3391,24.5492,139.751,56.2824,,9.6157,4.49021,1.35366,7.44031,2.99647,2.48302,1.307,0.191712,0.0772091,0.11450297385454178,,0.260229,0.296732,0.710463,4.53909,575.3000000000002,3.4041420118343204,602,3.562130177514793,1.77535,1.62028,13.3511,642.52001953125,10.0,AL,Luis Severino,622663.0,15890,15890
CHW,White Sox,8.7972,10.9039,28.62,28.62,0.0,0.0,,161.912,696.994,155.032,84.1276,78.2797,22.5597,150.288,64.0322,,9.1766,4.35124,1.35298,8.35388,3.55928,2.34707,1.254,0.215623,0.0918691,0.12375399470329285,,0.248534,0.29377,0.719736,4.44651,593.9,3.666049382716049,592,3.654320987654321,1.73794,1.63645,12.6287,245.5399932861328,4.0,AL,Shane Smith,681343.0,31687,31687
ATL,Braves,8.931,8.5566,23.85,33.6648,0.0,0.6276,,147.473,626.368,139.203,72.4393,67.4042,19.2861,148.485,52.3854,,4.7893,4.11356,1.29915,9.0618,3.19699,2.83448,1.177,0.237057,0.0836336,0.1534237265586853,,0.244562,0.29873,0.723924,3.98461,621.6999999999999,4.229251700680272,617,4.197278911564626,1.7172,1.97132,11.4709,302.9100036621094,16.0,NL,Reynaldo López,625643.0,16400,16400
ATH,Athletics,9.1509,10.58,28.62,28.62,0.0,0.0,,162.717,703.491,166.26,89.3085,83.742,26.993,139.611,53.9697,,4.9793,4.63182,1.35345,7.72194,2.9851,2.58683,1.493,0.198454,0.076717,0.12173689156770706,,0.257951,0.291392,0.717615,4.66254,545.5,3.3466257668711656,567,3.478527607361963,1.71489,1.44442,11.8763,722.25,10.0,AL,Jeffrey Springs,605488.0,17677,17677
PIT,Pirates,6.3967,6.1903,17.49,23.3789,0.0,0.6351,,104.941,441.36,93.9962,47.7535,44.2961,13.0243,112.131,36.0373,,4.4247,3.79896,1.23912,9.61669,3.09066,3.11153,1.117,0.254058,0.0816506,0.17240780591964722,,0.234464,0.29365,0.73596,3.76825,480.70000000000005,4.578095238095239,464,4.419047619047619,1.71214,1.85092,8.7238,714.77001953125,27.0,NL,Jared Jones,683003.0,27863,27863
PIT,Pirates,8.2513,8.8908,22.26,43.8526,0.0,0.6351,,142.787,608.967,141.759,69.7501,64.2265,16.1191,123.455,47.7268,,5.988,4.04825,1.32705,7.78151,3.00826,2.58671,1.016,0.202729,0.0783734,0.1243559941649437,,0.255306,0.302254,0.717329,4.00203,580.2,4.057342657342658,595,4.160839160839161,1.70721,1.89988,9.544,239.36000061035156,27.0,NL,Braxton Ashcraft,677952.0,23793,23793
NYY,Yankees,7.8927,7.2541,22.26,22.26,0.0,0.0,,123.886,526.728,111.965,58.3955,53.8358,15.7198,123.251,47.534,,5.5138,3.91102,1.28746,8.95385,3.45321,2.59291,1.142,0.233994,0.0902439,0.14375007152557373,,0.236372,0.287547,0.735344,4.07954,513.5999999999999,4.141935483870967,496,4.0,1.70063,1.68454,10.5677,116.62999725341797,9.0,AL,Cam Schlittler,693645.0,32095,32095
HOU,Astros,8.6547,9.0156,25.28,33.0825,0.0,0.6445,,142.908,611.001,136.284,72.4119,67.3749,21.0234,140.605,49.9451,,5.6585,4.2431,1.30313,8.85491,3.14541,2.81518,1.324,0.230122,0.0817431,0.1483786553144455,,0.24538,0.29271,0.725891,4.24708,564.3000000000001,3.946153846153847,560,3.9160839160839163,1.65832,1.49392,10.0524,237.9499969482422,21.0,AL,Mike Burrows,681347.0,24728,24728
SFG,Giants,9.9124,11.1598,30.21,30.21,0.0,0.0,,176.082,757.34,162.426,87.2989,81.4722,24.9058,184.987,67.5631,,7.0069,4.16426,1.30615,9.45518,3.45333,2.73799,1.273,0.244259,0.0892111,0.15504804998636246,,0.237892,0.290815,0.73129,4.14325,718.7,4.083522727272728,700,3.977272727272727,1.65527,1.93364,14.7928,166.44000244140625,30.0,NL,Robbie Ray,592662.0,11486,11486
NYM,Mets,8.5758,7.872,22.26,36.0007,0.0,0.6968,,136.796,586.981,123.113,64.201,59.1086,16.142,139.754,59.521,,5.0674,3.88883,1.33508,9.19459,3.91596,2.34798,1.062,0.23809,0.101402,0.13668788224458694,,0.235671,0.291874,0.740043,4.04234,586.2000000000003,4.278832116788323,566,4.131386861313868,1.64359,1.81568,10.3116,223.52000427246094,25.0,NL,Kodai Senga,673540.0,31838,31838
