column,estimator,mean_error,err_2022,err_2023,err_2024,mean_zips_pt,mean_actual_pt,mean_residual,mean_target_minus_base,frac_non_survivors
ip,k=0,3335.341313358125,3189.7716184890232,3696.358820141864,3119.8935014434865,,,,,
ip,k=1,3189.541732227993,3197.500322997416,3247.4588419405322,3123.6660317460314,,,,,
ip,fitted-k,3001.4206021862897,2960.0555111350623,3170.3167735828297,2873.889521840976,,,,,
ip,fitted-k+c,2477.284116288912,2463.8822022448485,2651.6086638280867,2316.3614827938004,,,,,
ip,levels,,,,,94.07445212837852,97.04639339053065,2.971941262152144,-20.995011391168475,0.10676835081029552
