column,estimator,mean_error,err_2022,err_2023,err_2024
pa,k=0,58984.74848153073,59403.76344086022,60019.29257641921,57531.18942731278
pa,k=1,34851.837346156106,33562.30107526882,32883.305676855896,38109.905286343615
pa,fitted-k,36519.406796798525,36301.850552505486,36198.650554035885,37057.71928385422
pa,fitted-k+c,29611.332685304267,28937.057807377696,28239.437467434447,31657.502781100662
