Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ryan Watson","BOS",1.3389,1.4037,0,4.34319,28,0,0,0.676,,28,121.055,28.5167,14.5861,13.5121,3.52178,10.2883,0.7346,1.0494,23.4371,7.53335,3.30695,2.27803,1.132,0.193607,0.0849886,0.10861839354038239,0.259911,1.38589,0.302023,0.714959,0.449914,,4.31092,0.0416606,0.00698094,999,,,,,,,99.6,3.557142857142857,105,3.75,7.6,6.21,5.37,4.74,4.22,3.75,3.31,2.86,2.34,5.5,5.19,4.98,4.81,4.65,4.5,4.34,4.16,3.93,"Ryan Watson","sa3015070",670245
"Derek Law","ARI",0.8444,0.8209,0,4.11581,17,0,0,0.6469,,17,73.15,17.1266,8.4258,7.77431,1.87378,6.0749,0.3513,0.6507,14.8257,7.8489,3.21612,2.44048,0.992,0.202675,0.0830472,0.11962814629077911,0.257836,1.36479,0.306744,0.718026,0.457234,,4.0107,0.0415388,0.106622,999,,,,,,,70.00000000000001,4.11764705882353,72,4.235294117647059,7.72,6.08,5.12,4.42,3.85,3.35,2.89,2.44,1.92,5.24,4.95,4.74,4.57,4.42,4.27,4.12,3.95,3.73,"Derek Law","13133",571882
"Carlos Lagrange","NYY",0.5135,0.4661,0,3.83461,10,0,0,0.691,,10,42.955,8.5832,4.6026,4.26068,1.23444,4.5207,0.2607,0.5141,10.9416,9.84744,4.06863,2.42033,1.111,0.254722,0.105243,0.14947966486215591,0.226349,1.31039,0.285453,0.747322,0.403155,,4.06203,0.0412212,0.00191289,999,,,,,,,46.300000000000004,4.630000000000001,45,4.5,8.14,5.87,4.64,3.8,3.15,2.61,2.14,1.69,1.22,4.91,4.62,4.42,4.25,4.1,3.96,3.81,3.65,3.43,"Carlos Lagrange","sa3019390",801739
"Joel Payamps","ATL",2.7461,2.6417,0,4.14227,55,0,0,9.778,,55,235.244,54.2504,27.2517,25.3139,7.26611,18.0653,1.6505,2.3204,50.4029,8.24775,2.95614,2.79004,1.189,0.214258,0.0767939,0.13746407628059387,0.252494,1.31483,0.298903,0.725164,0.412556,,4.1317,0.0410372,0.22315,999,,,,,,,260.5,4.736363636363636,264,4.8,6.6,5.65,5.04,4.58,4.19,3.83,3.48,3.1,2.66,5.2,4.92,4.73,4.57,4.42,4.28,4.14,3.98,3.76,"Joel Payamps","14332",606303
"Mitch Farris","LAA",0.4585,0.6543,0.6334,4.73435,1.62,1.62,0,0,,9.0841,39.965,9.2028,5.1179,4.77859,1.41308,4.0579,0.0353,0.3319,7.6354,7.56471,4.02033,1.88161,1.4,0.191052,0.101536,0.08951582759618759,0.258686,1.45977,0.293656,0.721727,0.397213,,4.92603,0.0406097,0.063168,999,,,,,,,34.90000000000001,3.877777777777779,36,4,9.71,7.15,5.73,4.75,3.98,3.34,2.76,2.22,1.63,5.84,5.55,5.35,5.19,5.04,4.89,4.74,4.57,4.34,"Mitch Farris","33628",815083
"Matt Festa","CLE",2.8274,3.0493,0,4.16938,60,0,0,12.6411,,60,257.069,56.4469,29.8613,27.7959,8.09333,22.5087,1.5121,2.8733,57.128,8.5692,3.3763,2.53804,1.214,0.222228,0.087559,0.13466929644346237,0.243634,1.31593,0.290472,0.725979,0.397624,,4.25353,0.0401925,0.0384736,999,,,,,,,288,4.8,284,4.733333333333333,6.55,5.63,5.05,4.61,4.22,3.87,3.53,3.17,2.73,5.23,4.94,4.75,4.59,4.44,4.3,4.16,3.99,3.78,"Matt Festa","19330",670036
"Henry Baez","ATH",0.4987,0.4809,0,4.09983,10,0,0,0.6351,,10,42.937,10.1347,4.9576,4.55537,1.14556,3.41,0.2605,0.509,8.1089,7.29801,3.069,2.37798,1.031,0.188856,0.0794187,0.10943708568811417,0.259744,1.35447,0.302019,0.719132,0.489468,,4.17828,0.0394197,0.0343172,999,,,,,,,43.7,4.37,45,4.5,8.64,6.31,5.03,4.14,3.46,2.88,2.38,1.9,1.38,5.19,4.92,4.73,4.57,4.43,4.29,4.15,3.99,3.78,"Henry Baez","sa3016584",692013
"Pete Hansen","STL",0.4895,0.6306,0.6969,4.51478,1.62,1.62,0,0,,9.234,40.27,9.9754,5.0113,4.63216,1.26301,3.0719,0.0369,0.3733,5.8049,5.6578,2.99405,1.88968,1.231,0.144149,0.0762826,0.06786690652370453,0.270888,1.41296,0.292786,0.712469,0.442646,,4.77526,0.039181,0.0529311,999,,,,,,,31.30000000000001,3.477777777777779,35,3.888888888888889,9.4,6.89,5.51,4.56,3.81,3.19,2.64,2.11,1.55,5.62,5.34,5.15,5,4.85,4.71,4.57,4.41,4.19,"Pete Hansen","sa3020798",677337
"Zack Thompson","STL",0.5984,0.5771,0,3.7354,12,0,0,0.6663,,12,51.37,10.8848,5.4151,4.98053,1.34667,4.998,0.2654,0.5116,11.8913,8.91848,3.7485,2.37921,1.01,0.231483,0.0972941,0.13418922573328018,0.237346,1.32357,0.29238,0.747828,0.430656,,3.98954,0.0388691,0.122732,999,,,,,,,57.90000000000001,4.825000000000001,57,4.75,7.78,5.73,4.59,3.8,3.19,2.67,2.21,1.77,1.31,4.78,4.51,4.32,4.16,4.02,3.89,3.75,3.59,3.39,"Zack Thompson","25918",668868
"Keegan Thompson","COL",2.4689,2.9171,0,4.81772,55,0,0,9.2154,,55,241.652,56.9473,31.4097,29.4416,8.18278,22.3975,1.3214,2.9474,51.3617,8.40464,3.66505,2.29319,1.339,0.212544,0.0926849,0.11985913664102554,0.263271,1.44263,0.311072,0.706081,0.409415,,4.584,0.0388541,0.191116,999,,,,,,,223.40000000000003,4.061818181818182,234,4.254545454545455,7.4,6.42,5.79,5.3,4.88,4.49,4.11,3.71,3.21,5.92,5.63,5.43,5.26,5.11,4.96,4.81,4.64,4.41,"Keegan Thompson","19795",624522
