Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"JJ Bleday","CIN",74,319,281,67,36,15,1,15,42,46,35,1,71,1,2,0,,2,1,0.239389,0.109919,0.22168,0.495847,0.32395,0.460129,0.342532,0.784079,0.22074,3.45801,0.264911,0,-0.482094,44.0948,6.54118,112.95,-0.482094,-3.38808,4.377450913190842,-6.869566440582275,0.778271,748.5800170898438,,,,,,,393.4,5.316216216,393.4,5.316216216,,,,,,,,,,,,,,,,,,,"JJ Bleday","26368",668709
"Sean Murphy","ATL",35,141,124,27,15,6,0,6,15,17,13,0,39,3,1,0,,0,0,0.217236,0.095411,0.276595,0.344948,0.309363,0.40804,0.318399,0.717402,0.190804,1.20269,0.262925,0,-0.164054,16.7864,0.170173,100.97,-0.164054,1.5759,-0.0030612200498580933,3.0566147565841675,0.769526,746.0599975585938,,,,,,,149,4.257142857,149,4.257142857,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Joc Pederson","TEX",61,265,227,52,31,9,1,12,32,32,32,1,61,5,2,0,,1,1,0.23103,0.118745,0.22862,0.519398,0.334876,0.43493,0.339145,0.769806,0.2039,3.53897,0.260621,0,-0.344167,35.9321,4.71869,116.406,-0.344167,0,4.779326438903809,-6.6370368003845215,0.765024,999,,,,,,,318.9,5.227868852,318.9,5.227868852,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Chase DeLauter","CLE",68,293,262,66,43,15,1,8,32,37,29,0,45,0,2,0,,2,1,0.252787,0.0985821,0.153556,0.641994,0.324741,0.400311,0.322459,0.725052,0.147524,2.86594,0.277534,0,-0.535316,35.7947,1.30455,104.857,-0.535316,-0.576209,1.1405590772628784,-4.006301760673523,0.762169,999,,,,,,,320,4.705882352,320,4.705882352,,,,,,,,,,,,,,,,,,,"Chase DeLauter","32127",800050
"Dominic Canzone","SEA",54,232,211,54,33,11,0,9,30,32,17,1,51,2,2,0,,2,1,0.256126,0.0744528,0.221914,0.335503,0.315461,0.446501,0.332453,0.761962,0.190375,3.51369,0.294237,0,-0.33457,30.0979,2.8776,116.973,-0.33457,-0.19287,4.287874907255173,-4.994412884116173,0.760604,477.1600036621094,,,,,,,265.9,4.924074074,265.9,4.924074074,,,,,,,,,,,,,,,,,,,"Dominic Canzone","26438",686527
"Jordan Lawlar","ARI",46,199,176,42,26,10,1,5,26,23,18,0,54,3,1,1,,8,2,0.237995,0.0884093,0.270209,0.327189,0.316064,0.392364,0.314973,0.708427,0.154369,6.61067,0.312185,0,0.537764,23.105,-0.305081,98.1253,0.537764,1.54835,0.09921523928642273,1.0150179266929626,0.758058,261.6499938964844,,,,,,,213.5,4.641304347,213.5,4.641304347,,,,,,,,,,,,,,,,,,,"Jordan Lawlar","29976",691783
"Daniel Susac","SFG",50,197,182,45,32,7,1,4,16,24,11,0,53,3,1,0,,2,1,0.244787,0.0537586,0.270913,0.198435,0.294102,0.367181,0.294082,0.661283,0.122394,3.57277,0.320881,0,-0.364977,19.555,-3.58566,87.3137,-0.364977,0.637062,-3.298567622900009,4.481197953224182,0.757643,999,,,,,,,176.6,3.532,176.6,3.532,,,,,,,,,,,,,,,,,,,"Daniel Susac","31441",691740
"Jake Mangum","PIT",43,185,171,48,37,9,1,2,20,17,9,0,31,2,1,1,,9,2,0.282585,0.0512338,0.167736,0.305444,0.325052,0.373677,0.311041,0.698728,0.0910916,5.82979,0.334521,0,0.663089,20.8552,-0.863084,94.5499,0.663089,3.14709,-0.5197274684906006,2.047556519508362,0.753822,672.4199829101562,,,,,,,192.9,4.486046511,192.9,4.486046511,,,,,,,,,,,,,,,,,,,"Jake Mangum","26202",663968
"Colt Keith","DET",66,283,257,67,45,14,1,6,36,31,23,0,63,2,2,0,,1,0,0.259477,0.0827685,0.223954,0.369578,0.323413,0.400242,0.320894,0.723655,0.140764,3.97703,0.319446,0,-0.238451,34.207,0.905632,102.363,-0.238451,-0.143624,0.5489195436239243,-3.2076670676469803,0.74697,502.489990234375,,,,,,,297.8,4.512121212,297.8,4.512121212,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
"Kyle Karros","COL",56,242,214,54,37,12,1,3,30,24,24,1,56,3,2,0,,3,0,0.252848,0.0972497,0.230653,0.421628,0.331546,0.368671,0.314233,0.700217,0.115823,4.77697,0.323937,0,0.0796365,27.9609,-0.514224,84.9055,0.0796365,2.98956,-4.2154350727796555,3.766562044620514,0.737512,999,,,,,,,243.8,4.353571428,243.8,4.353571428,,,,,,,,,,,,,,,,,,,"Kyle Karros","33252",691720
