Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",8,3,12,2.96579,19,19,0,0,,120,489,105,43,40,9,27,,3,125,9.36257,2.00556,4.66832,0.688376,0.255291,0.054686,0.2006053887307644,0.229981,1.10248,0.296578,0.747733,,,2.76628,3.47077,3.37325,24.75,,,,,,,664.3,5.535833333333333,643,5.358333333333333,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Tarik Skubal","DET",8,2,11,2.56389,16,16,0,0,,99,389,78,31,28,8,17,,3,120,10.874,1.5643,6.95134,0.730767,0.307115,0.0441807,0.2629343904554844,0.210093,0.957245,0.287853,0.767685,,,2.35681,3.45368,3.33486,7.019999980926514,,,,,,,611.4000000000001,6.175757575757577,571,5.767676767676767,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",8,4,13,2.77434,19,19,0,0,,105,424,84,35,33,9,26,,4,121,10.3697,2.22632,4.65777,0.782882,0.28634,0.0614757,0.22486407682299614,0.214188,1.04809,0.285581,0.76975,,,2.78511,3.04129,3.2528,9.649999618530273,,,,,,,599.9,5.713333333333333,560,5.333333333333333,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",8,5,11,3.17843,18,18,0,0,,110,456,103,42,39,8,24,,4,104,8.44394,1.99362,4.23549,0.651314,0.227454,0.0537019,0.17375196143984795,0.241244,1.15546,0.301168,0.731961,,,2.92715,2.68651,2.59298,57.189998626708984,,,,,,,571.8,5.198181818181817,570,5.181818181818182,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",7,4,10,3.40677,18,18,0,0,,99,412,79,41,37,10,38,,3,123,11.1939,3.46568,3.22992,0.949344,0.298488,0.0924132,0.2060743123292923,0.2136,1.18672,0.289613,0.746142,,,3.22777,2.47169,2.12318,74.7699966430664,,,,,,,527.2,5.325252525252526,488,4.929292929292929,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Chris Sale","ATL",8,4,10,3.17077,17,17,0,0,,100,413,87,38,35,10,27,,7,120,10.7479,2.40138,4.47573,0.890608,0.290411,0.0648859,0.22552558779716492,0.230018,1.13415,0.310136,0.754519,,,3.02466,2.44425,2.50424,39.36000061035156,,,,,,,528.8,5.287999999999999,508,5.08,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",8,5,11,3.32698,18,18,0,0,,106,422,88,42,39,12,21,,5,107,9.12507,1.79479,5.08421,1.0013,0.253516,0.0498634,0.203652735799551,0.220722,1.02851,0.272826,0.718074,,,3.25016,2.4228,2.19231,34.77000045776367,,,,,,,544,5.132075471698113,510,4.811320754716981,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Hunter Brown","HOU",8,4,11,3.03177,17,17,0,0,,98,403,79,36,33,8,33,,3,108,9.9738,3.07793,3.24043,0.77773,0.268449,0.0828437,0.18560539186000824,0.216163,1.15295,0.283359,0.76242,,,3.13904,2.34197,2.62444,36.189998626708984,,,,,,,529.4000000000001,5.402040816326531,494,5.040816326530612,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Jesús Luzardo","PHI",7,6,10,3.9191,19,19,0,0,,109,456,99,52,48,14,33,,4,121,9.95993,2.68766,3.7058,1.12144,0.264888,0.0714793,0.19340859353542328,0.235085,1.20223,0.298185,0.709206,,,3.51125,2.23638,1.63183,70.58999633789062,,,,,,,507.9999999999999,4.660550458715595,494,4.532110091743119,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Jacob Misiorowski","MIL",7,4,9,3.31211,22,17,0,0,,95,391,70,38,35,9,37,,8,125,11.8258,3.46329,3.4146,0.88729,0.320387,0.0938287,0.22655873745679855,0.202087,1.11924,0.286201,0.732995,,,3.15697,2.23383,2.07614,114.13999938964844,,,,,,,525.3,5.529473684210526,473,4.978947368421053,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
