Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",0.3663,0.1957,0.5374,2.95235,0.7901,0.7901,0,0,,4.8829,19.477,3.9463,1.75,1.60178,0.570214,1.0691,,0.1772,5.9398,10.948,1.97053,5.55589,1.051,0.304965,0.0548904,0.25007445365190506,0.216465,1.02714,0.288045,0.774324,,,2.94699,0.143619,0.118604,7.019999980926514,,,,,,,23.300000000000004,4.660000000000001,21,4.2,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Chris Sale","ATL",0.3281,0.209,0.4994,3.01569,0.76,0.76,0,0,,4.6219,18.705,3.7554,1.692,1.54869,0.461676,1.1205,,0.2806,5.6551,11.0119,2.18189,5.04694,0.899,0.302331,0.0599038,0.24242714419960976,0.217026,1.05496,0.294421,0.752775,,,2.85696,0.138733,0.118025,39.36000061035156,,,,,,,35.6,7.12,34,6.8,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cristopher Sánchez","PHI",0.3461,0.2182,0.5398,2.9753,0.7901,0.7901,0,0,,4.9102,20.001,4.4031,1.8153,1.62326,0.417913,1.2143,,0.1659,4.9947,9.15488,2.22571,4.11323,0.766,0.249723,0.060712,0.18901055678725243,0.236461,1.14403,0.301721,0.755536,,,3.01135,0.136013,0.126625,24.75,,,,,,,33.6,6.720000000000001,32,6.4,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Zack Wheeler","PHI",0.3294,0.2261,0.4929,3.21525,0.7901,0.7901,0,0,,4.7499,19.419,3.9405,1.8499,1.6969,0.538322,1.3304,,0.2119,5.5294,10.477,2.52081,4.15619,1.02,0.284742,0.0685102,0.21623151004314423,0.220427,1.10969,0.288101,0.757319,,,3.21528,0.128793,0.126681,110.48999786376953,,,,,,,23.300000000000004,4.660000000000001,21,4.2,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto","LAD",0.3435,0.2187,0.5037,3.32109,0.7901,0.7901,0,0,,4.8731,20.12,4.3362,1.9774,1.79822,0.525753,1.3906,,0.177,5.1293,9.47317,2.56826,3.68855,0.971,0.254935,0.0691153,0.1858200803399086,0.233727,1.17519,0.295444,0.751271,,,3.35852,0.120509,0.118847,26.639999389648438,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Paul Skenes","PIT",0.3079,0.2167,0.4573,3.08562,0.76,0.76,0,0,,4.3989,18.014,3.6567,1.6497,1.50815,0.43207,1.2215,,0.1985,5.2349,10.7104,2.49915,4.28563,0.884,0.290602,0.0678084,0.22279338538646698,0.220363,1.10896,0.295106,0.755505,,,2.96128,0.110864,0.0569429,9.649999618530273,,,,,,,26.200000000000003,6.550000000000001,27,6.75,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cam Schlittler","NYY",0.3086,0.2433,0.4674,3.37075,0.7901,0.7901,0,0,,4.6761,19.347,3.918,1.9088,1.75133,0.534634,1.5202,,0.1975,5.2958,10.1927,2.9259,3.48362,1.029,0.273727,0.0785755,0.19515171647071838,0.222244,1.16298,0.286753,0.752584,,,3.41935,0.105885,0.112959,116.62999725341797,,,,,,,18.299999999999997,3.6599999999999993,16,3.2,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Jacob Misiorowski","MIL",0.3071,0.2199,0.4661,3.06086,0.76,0.76,0,0,,4.4401,18.235,3.3201,1.6475,1.51006,0.453384,1.6867,,0.2545,5.8711,11.9006,3.41891,3.48082,0.919,0.321969,0.0924979,0.22947079688310623,0.203765,1.12763,0.287554,0.768356,,,3.09052,0.102759,0.0509594,114.13999938964844,,,,,,,27.8,6.95,26,6.5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Hunter Brown","HOU",0.2989,0.2481,0.4369,3.55507,0.7901,0.7901,0,0,,4.5872,19.298,3.9893,1.9844,1.81198,0.480637,1.7393,,0.1835,5.1793,10.1617,3.41247,2.97781,0.943,0.268385,0.0901285,0.1782568097114563,0.229597,1.24882,0.299495,0.740589,,,3.45752,0.0993763,0.114901,36.189998626708984,,,,,,,30.6,6.12,29,5.8,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Jacob deGrom","TEX",0.2981,0.24,0.4344,3.30414,0.7901,0.7901,0,0,,4.4374,18.06,3.6765,1.7594,1.62909,0.564536,1.1269,,0.1241,5.3241,10.7984,2.2856,4.72455,1.145,0.294801,0.0623976,0.23240310698747635,0.218722,1.08248,0.284969,0.758525,,,3.19607,0.0991013,0.0495237,50.0099983215332,,,,,,,13.9,3.475,14,3.5,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Tyler Glasnow","LAD",0.3231,0.2174,0.4354,3.39496,0.7901,0.7901,0,0,,4.4926,18.549,3.633,1.8445,1.69469,0.50367,1.6767,,0.1273,5.5108,11.0398,3.35892,3.28669,1.009,0.297094,0.090393,0.2067011520266533,0.21696,1.18188,0.291629,0.752558,,,3.30488,0.0958915,0.052424,113.73999786376953,,,,,,,12.9,3.225,13,3.25,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Logan Gilbert","SEA",0.299,0.254,0.4632,3.44293,0.7901,0.7901,0,0,,4.6888,19.177,4.0368,1.9396,1.79369,0.609544,1.1774,,0.1742,5.1349,9.85627,2.25998,4.36122,1.17,0.267763,0.0613965,0.20636700093746185,0.226463,1.11205,0.283691,0.750911,,,3.46056,0.0934844,0.0991642,37.150001525878906,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Bryan Woo","SEA",0.2829,0.247,0.4063,3.47879,1.0163,0.72,0,0.0169,,4.5137,18.491,4.0148,1.8877,1.74469,0.589289,1.0062,,0.1834,4.5819,9.13599,2.00629,4.55367,1.175,0.247791,0.0544157,0.19337516650557518,0.232051,1.11239,0.282395,0.746736,,,3.55372,0.0924844,0.0992505,34.77000045776367,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jared Jones","PIT",0.2731,0.2332,0.3474,3.56255,0.9669,0.72,0,0.016,,4.141,17.239,3.5501,1.7688,1.63917,0.490018,1.3795,,0.1668,4.7164,10.2506,2.99819,3.41892,1.065,0.273589,0.080022,0.1935669109225273,0.226226,1.19044,0.291818,0.744844,,,3.47673,0.0912747,0.0570456,714.77001953125,,,,,,,26.200000000000003,6.550000000000001,27,6.75,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Parker Messick","CLE",0.2818,0.2518,0.4363,3.60091,0.76,0.76,0,0,,4.5345,19.052,4.1901,1.9782,1.81426,0.523987,1.379,,0.188,4.5664,9.06331,2.73702,3.31139,1.04,0.239681,0.0723808,0.1673000231385231,0.23964,1.22816,0.295783,0.742609,,,3.62093,0.088927,0.111271,294.17999267578125,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Parker Messick","31986",800048
"Drew Rasmussen","TBR",0.2927,0.2465,0.4216,3.47779,0.7901,0.7901,0,0,,4.4518,18.35,4.0804,1.8763,1.72027,0.48673,1.0651,,0.1705,4.4879,9.07298,2.15326,4.21359,0.984,0.244572,0.0580436,0.18652860075235367,0.238419,1.15582,0.296025,0.732335,,,3.33383,0.0870869,0.0511715,132.36000061035156,,,,,,,24.200000000000003,6.050000000000001,25,6.25,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
