Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",0,0,1,2.94171,1,1,0,0,,5,20,4,2,2,0,1,,0,5,9.61218,2.19759,4.37397,0.752654,0.260493,0.0595552,0.200937632471323,0.22766,1.1124,0.294735,0.758953,,,2.90611,0.144311,0.126354,24.75,,,,,,,33.6,6.720000000000001,32,6.4,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Tarik Skubal","LAD",0,0,1,2.80062,1,1,0,0,,5,20,4,2,2,1,1,,0,6,10.6182,1.91973,5.53106,0.998375,0.298682,0.054001,0.24468149989843369,0.211041,0.993486,0.278148,0.779794,,,2.93808,0.14104,0.116064,7.019999980926514,,,,,,,23.300000000000004,4.660000000000001,21,4.2,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jacob Misiorowski","MIL",0,0,1,2.4677,1,1,0,0,,4,17,3,1,1,0,2,,0,6,13.5976,3.63577,3.73994,0.907276,0.352269,0.0941909,0.2580777630209923,0.183564,1.10812,0.271247,0.836251,,,2.74373,0.118947,0.161583,114.13999938964844,,,,,,,27.8,6.95,26,6.5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Zack Wheeler","PHI",0,0,1,3.38307,1,1,0,0,,5,20,4,2,2,1,1,,0,6,10.4199,2.64004,3.94687,1.10645,0.284904,0.072185,0.21271947771310806,0.221989,1.12067,0.287954,0.748621,,,3.3891,0.118701,0.126411,110.48999786376953,,,,,,,23.300000000000004,4.660000000000001,21,4.2,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto","LAD",0,0,1,3.34024,1,1,0,0,,5,19,4,2,2,1,1,,0,5,9.64513,2.64147,3.65143,0.994487,0.264929,0.0725549,0.1923743411898613,0.224997,1.12787,0.286547,0.742424,,,3.39958,0.11565,0.118536,26.639999389648438,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chris Sale","ATL",0,0,1,2.81776,1,1,0,0,,4,18,4,2,1,0,1,,0,6,11.1623,2.34428,4.76148,0.924918,0.302724,0.0635777,0.23914635926485062,0.212816,1.06787,0.287504,0.785625,,,2.86091,0.111858,0.051899,39.36000061035156,,,,,,,28.200000000000003,7.050000000000001,29,7.25,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jacob deGrom","TEX",0,0,1,3.28266,1,1,0,0,,5,19,4,2,2,1,1,,0,5,10.3296,2.50805,4.11859,1.13048,0.285666,0.0693602,0.21630584448575974,0.217117,1.08125,0.279374,0.754225,,,3.39728,0.108851,0.113309,50.0099983215332,,,,,,,21.299999999999997,4.26,19,3.8,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Paul Skenes","PIT",0,0,1,3.10645,1,1,0,0,,4,18,4,2,2,0,1,,0,5,10.109,2.45267,4.12162,0.894496,0.27896,0.0676821,0.21127763390541077,0.223526,1.10213,0.293395,0.753012,,,3.0866,0.103855,0.0583437,9.649999618530273,,,,,,,26.200000000000003,6.550000000000001,27,6.75,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Hunter Brown","HOU",0,0,1,3.37503,1,1,0,0,,5,20,4,2,2,0,2,,0,5,10.0335,3.35816,2.9878,0.885573,0.268794,0.0899639,0.17883019894361496,0.224371,1.2095,0.2935,0.746369,,,3.40528,0.10223,0.115302,36.189998626708984,,,,,,,30.6,6.12,29,5.8,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",0,0,1,3.4696,1,1,0,0,,5,19,4,2,2,0,1,,0,4,8.58141,2.80914,3.05482,0.902801,0.231334,0.0757278,0.15560663491487503,0.232437,1.18725,0.285782,0.731925,,,3.56317,0.0985751,0.114954,50.04999923706055,,,,,,,31.6,6.32,30,6,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
