Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",4.63,20.9883,18.6846,5.3724,3.3,1.166,0.1017,0.8047,3.1595,2.6763,1.8784,0.3148,3.5482,0.1889,0.1438,0.0925,,1.1841,0.3617,0.287531,0.0894977,0.169056,0.529395,0.35604,0.490024,0.362068,0.846064,0.202493,6.20879,0.315547,0.078,0.0587706,3.25671,0.773986,130.919,0.136771,0.255,0.8888113796710968,0.4860000014305115,0.21574,3.0999999046325684,,,,,,,29.2,5.84,29.2,5.84,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Pete Crow-Armstrong","CHC",4.63,20.6844,18.3876,4.7215,2.6345,0.8621,0.184,1.041,3.1156,2.7314,1.7582,0.1448,5.1338,0.2896,0.1313,0.1178,,1.0833,0.281,0.256776,0.0850012,0.248196,0.342475,0.329139,0.493523,0.352558,0.822662,0.236747,7.19496,0.298159,0.053,0.0747953,3.05078,0.603999,124.74,0.127795,0.503,0.7451367676258087,0.5800000205636024,0.203588,32.939998626708984,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Yordan Alvarez","HOU",4.55,20.5716,16.9482,5.1254,2.95,0.9876,0.0409,1.1469,3.4337,3.0795,3.1104,0.8229,3.4659,0.288,0.1421,0.0828,,0.0591,0.0194,0.302416,0.151199,0.16848,0.897429,0.416024,0.568526,0.411752,0.984551,0.266111,2.84014,0.318854,-0.049,-0.0281133,4.01702,1.58359,169.477,-0.0771133,-0.004,1.579216592013836,-0.5179999987594783,0.182284,33.38999938964844,,,,,,,32.3,6.46,32.3,6.46,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Elly De La Cruz","CIN",4.63,20.9688,18.3768,4.9424,2.9232,0.9668,0.1794,0.873,3.0542,2.623,2.2374,0.1048,5.4561,0.1258,0.1411,0.0878,,1.08,0.3118,0.268948,0.106701,0.260201,0.410073,0.349867,0.483599,0.360038,0.833465,0.214651,6.76148,0.333864,0.071,0.0577372,3.21933,0.738908,125.744,0.128737,0.07,0.7799849510192871,0.2679999992251396,0.176289,8.449999809265137,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Juan Soto","NYM",4.5,20.2813,16.089,4.4684,2.6038,0.6776,0.073,1.1141,3.3757,2.9076,3.8737,0.4259,3.2403,0.1014,0.1408,0.0764,,0.5263,0.1773,0.27773,0.190998,0.159768,1.19548,0.417894,0.536665,0.407306,0.954558,0.258935,4.84576,0.282458,-0.022,-0.00327515,3.88756,1.48846,161.314,-0.0252752,-0.119,1.4749092645943165,-0.4610000103712082,0.170538,4.650000095367432,,,,,,,32.6,8.15,32.6,8.15,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",4.63,20.6628,18.0925,4.6473,2.7937,0.8988,0.1571,0.7977,2.6904,2.5437,2.1427,0.1033,4.3675,0.2273,0.1457,0.0546,,0.501,0.1522,0.256863,0.103698,0.21137,0.490601,0.34051,0.456178,0.346164,0.796688,0.199315,5.52707,0.294469,0.063,0.00831093,2.94096,0.496733,124.882,0.0713109,-0.015,0.6671289727091789,0.21600000653415918,0.164466,12.510000228881836,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",4.63,21.3782,18.689,5.2358,3.2759,0.9508,0.0761,0.933,3.2875,2.55,2.2126,0.171,3.9901,0.2138,0.1305,0.1322,,1.045,0.2645,0.280154,0.103498,0.186643,0.554522,0.360644,0.48894,0.366922,0.849584,0.208786,5.82261,0.309634,0.027,0.0681783,3.40097,0.872119,136.478,0.0951783,0.094,1.035975843667984,-0.11800000071525574,0.164399,14.010000228881836,,,,,,,29.2,5.84,29.2,5.84,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Junior Caminero","TBR",4.63,20.433,18.2003,4.9798,2.8359,0.829,0.0338,1.281,2.9203,3.4378,1.9166,0.2452,3.8111,0.143,0.1473,0.0258,,0.1493,0.0541,0.273611,0.0937991,0.186517,0.502899,0.344947,0.534019,0.37315,0.878966,0.260408,3.28442,0.279039,-0.011,-0.0192911,3.35332,0.936273,140.936,-0.0302911,-0.107,0.9390438869595528,-0.049000002443790436,0.164342,16.479999542236328,,,,,,,28.3,5.66,28.3,5.66,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Julio Rodríguez","SEA",4.63,20.2345,18.2845,4.8761,3.1228,0.8627,0.0373,0.8533,2.5906,2.7075,1.4933,0.1012,4.4084,0.263,0.1479,0.0458,,0.6677,0.1883,0.266679,0.0737997,0.217866,0.33874,0.32852,0.457945,0.340626,0.786466,0.191266,4.90164,0.305436,0.025,0.0284298,2.78953,0.395978,125.684,0.0534298,0.136,0.6557030752301216,0.21300000697374344,0.161452,9.489999771118164,,,,,,,27.2,5.44,27.2,5.44,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gabriel Moreno","ARI",4.18,18.1228,15.9387,4.6339,3.1645,0.9328,0.0437,0.4928,2.2453,2.295,1.883,0.0362,2.8227,0.145,0.1298,0.0264,,0.2113,0.0781,0.290733,0.103902,0.155754,0.667092,0.368132,0.447489,0.358258,0.815621,0.156757,3.56251,0.324716,0.008,-0.0196926,2.75633,0.612574,125.863,-0.0116926,0.08,0.5537488460540771,0.29899999499320984,0.155185,181.22000122070312,,,,,,,20.9,5.225,20.9,5.225,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Mookie Betts","LAD",4.63,20.5462,18.0194,4.9029,3.064,0.9852,0.0569,0.7968,2.8812,2.7234,2.1738,0.1027,2.3497,0.1438,0.1422,0.0671,,0.2125,0.066,0.27209,0.105801,0.114362,0.925139,0.352577,0.465737,0.355663,0.818314,0.193647,3.81457,0.273465,-0.005,-0.0151825,3.08189,0.651463,125.037,-0.0201825,0.003,0.6004141122102737,0.2340000062249601,0.153126,60.58000183105469,,,,,,,28.3,5.66,28.3,5.66,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Cal Raleigh","SEA",4.37,18.8396,16.1375,3.4732,1.7821,0.6138,0.0086,1.0687,2.4312,2.6779,2.3681,0.1507,5.3625,0.1696,0.1284,0.036,,0.1567,0.0545,0.215225,0.125698,0.28464,0.441604,0.319667,0.453001,0.334463,0.772668,0.237775,2.87562,0.244491,-0.044,-0.0151932,2.50351,0.27496,121.391,-0.0591932,0.007,0.4078407362103462,0.23100000713020563,0.148959,18.729999542236328,,,,,,,19.1,4.775,19.1,4.775,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",4.63,21.4631,17.9643,4.8927,2.6135,0.8372,0.1618,1.2802,3.7281,3.0005,3.0606,0.558,5.1917,0.1717,0.1293,0.1371,,0.54,0.155,0.272357,0.142599,0.24189,0.589518,0.380992,0.550765,0.391943,0.931757,0.278408,6.09112,0.310841,0.01,0.0136439,3.84792,1.30904,149.311,0.0236439,0,1.3004417549818754,-0.5400000214576721,0.148628,1.2699999809265137,,,,,,,33.2,6.64,33.2,6.64,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Francisco Lindor","NYM",4.63,21.2385,18.6487,4.7217,2.9288,0.8183,0.1019,0.8727,2.9895,2.4757,2.0007,0.0212,3.9647,0.3398,0.1326,0.1167,,0.4915,0.126,0.253192,0.0942015,0.186675,0.504628,0.334356,0.44839,0.342296,0.782746,0.195199,5.35443,0.276035,-0.017,0.0161065,2.95659,0.444263,117.818,-0.000893526,0.048,0.4556426776689477,0.2640000060200691,0.143726,25.350000381469727,,,,,,,27.3,5.46,27.3,5.46,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"José Ramírez","CLE",4.63,20.7166,18.2654,4.8849,2.9695,1.0635,0.0438,0.8081,2.8908,2.6984,2.1048,0.435,2.5462,0.145,0.1473,0.0542,,1.1584,0.2806,0.26744,0.1016,0.122906,0.826644,0.345297,0.463187,0.345311,0.808484,0.195747,5.63698,0.270733,0.007,0.0885528,2.93434,0.483757,122.387,0.0955528,0.001,0.6330162361264229,0.011999999987892807,0.140397,6.28000020980835,,,,,,,30.2,6.04,30.2,6.04,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Geraldo Perdomo","ARI",4.63,20.3024,17.2698,4.5904,3.2565,0.7592,0.181,0.3937,2.5679,2.1285,2.6149,0,2.6509,0.2233,0.1364,0.058,,0.6786,0.2323,0.265805,0.128798,0.130571,0.98642,0.366946,0.399119,0.342933,0.766065,0.133314,5.67507,0.292217,0.01,0.0048903,2.8367,0.435111,115.609,0.0148903,0.087,0.3972002165392041,0.318000003695488,0.140171,76.7699966430664,,,,,,,24.8,4.96,24.8,4.96,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Isaac Paredes","HOU",4.63,20.4161,17.4195,4.4053,2.6929,0.8184,0.0399,0.8542,2.6465,2.7248,2.3315,0,3.0972,0.49,0.1474,0.0277,,0.0249,0.0093,0.252895,0.114199,0.151703,0.752777,0.354456,0.451574,0.35467,0.806031,0.19868,2.40477,0.260813,-0.018,-0.0307331,3.04602,0.630974,129.72,-0.0487331,-0.055,0.6544284969568253,-0.009999997913837433,0.139254,243.60000610351562,,,,,,,23.7,4.74,23.7,4.74,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Ketel Marte","ARI",4.6,20.8566,18.2911,5.027,3.0601,1.0197,0.0889,0.8583,3.0137,2.6783,2.1044,0.1669,3.168,0.2294,0.1357,0.0959,,0.1591,0.0475,0.274833,0.100898,0.151894,0.664268,0.354556,0.481076,0.360964,0.835632,0.206242,4.16373,0.289483,0,-0.01795,3.2177,0.750546,127.674,-0.01795,-0.015,0.6783539988100529,-0.004999999888241291,0.137744,32.63999938964844,,,,,,,28.3,5.66,28.3,5.66,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Kevin McGonigle","DET",3.7,16.9913,14.593,4.0074,2.6377,0.7541,0.1183,0.4973,2.3736,1.7849,2.0984,0.017,2.3903,0.1019,0.1072,0.0906,,0.3149,0.0946,0.274611,0.123499,0.140678,0.877881,0.367309,0.444734,0.357534,0.812042,0.170123,5.05582,0.297149,0.022,-0.00382325,2.57431,0.564403,129.944,0.0181767,0.036,0.6078068166971207,0.1339999958872795,0.136832,999,,,,,,,16.3,4.075,16.3,4.075,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Ronald Acuña Jr.","ATL",4.55,20.7411,17.5619,4.827,3.0604,0.8056,0.0565,0.9045,3.2035,2.5817,2.7129,0.1037,4.3325,0.2282,0.1364,0.1017,,0.8842,0.2552,0.274856,0.130798,0.208885,0.626174,0.376372,0.481673,0.373732,0.858046,0.206817,5.45286,0.314775,0.039,0.0377258,3.41361,0.960133,136.823,0.0767258,-0.093,0.9981146529316902,-0.34700001031160355,0.135095,5.260000228881836,,,,,,,33.2,6.64,33.2,6.64,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"JJ Wetherholt","STL",4.5,20.7919,18.0081,4.6637,3.2367,0.7925,0.0276,0.6068,2.7614,1.973,2.1291,0.0624,3.544,0.395,0.1251,0.1345,,0.4484,0.1052,0.258978,0.1024,0.170451,0.600762,0.347954,0.407133,0.335103,0.755088,0.148156,4.41789,0.290143,0.019,0.0134416,2.77371,0.314209,112.717,0.0324416,0.202,0.3514153063297272,0.27900000661611557,0.133154,999,,,,,,,28.3,7.075,28.3,7.075,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","34985",802139
"William Contreras","MIL",4.32,18.8155,16.4064,4.473,2.9601,0.8656,0.0308,0.6165,2.3224,2.4164,2.1205,0.1505,3.2074,0.1317,0.1287,0.0282,,0.122,0.0449,0.272637,0.1127,0.170466,0.661127,0.357965,0.441882,0.349464,0.799848,0.169245,3.10206,0.303394,-0.023,-0.0233449,2.72813,0.502432,121.584,-0.0463449,0.035,0.4435852952301502,0.2749999947845936,0.132653,56.560001373291016,,,,,,,24.7,6.175,24.7,6.175,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Vladimir Guerrero Jr.","TOR",4.63,20.7157,18.009,5.2258,3.385,1.0034,0.0123,0.8252,2.8572,2.787,2.2994,0.2279,2.768,0.2072,0.1474,0.0527,,0.2208,0.0833,0.290177,0.110998,0.133618,0.830708,0.374215,0.48473,0.371395,0.858945,0.194553,3.06825,0.302173,-0.016,-0.0228663,3.37036,0.919876,140.78,-0.0388663,-0.014,0.9401448369026184,-0.40099999494850636,0.129606,18.049999237060547,,,,,,,28.3,5.66,28.3,5.66,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corbin Carroll","ARI",4.63,20.228,17.5052,4.3979,2.3933,0.7914,0.399,0.8142,2.8992,2.6576,2.2433,0.1011,4.3413,0.263,0.1406,0.0759,,0.8219,0.2004,0.251234,0.110901,0.214618,0.516735,0.342605,0.481566,0.355289,0.82417,0.230332,7.45617,0.286919,0.106,0.0541718,3.02805,0.635258,123.876,0.160172,0.102,0.7428224384784698,-0.1290000081062317,0.129594,14.100000381469727,,,,,,,24.6,4.92,24.6,4.92,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Jackson Merrill","SDP",4.63,19.643,18.01,4.679,2.8798,0.8652,0.1607,0.7733,2.3936,2.6147,1.3023,0.0786,4.3242,0.1375,0.147,0.0462,,0.5301,0.1674,0.2598,0.0662986,0.22014,0.301166,0.312235,0.454497,0.330613,0.766732,0.194697,5.6682,0.29907,0.055,0.0126144,2.54922,0.225642,112.185,0.0676144,0.193,0.35635995119810104,0.2640000060200691,0.128321,70.79000091552734,,,,,,,27.2,5.44,27.2,5.44,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
