Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",4,17,15,4,2,1,0,1,3,2,1,0,4,0,0,0,,1,0,0.266612,0.0806257,0.250827,0.32144,0.336118,0.512612,0.363284,0.84873,0.245999,7.60311,0.313211,0,0.0741269,2.59092,0.628164,131.916,0.0741269,0.421322,0.7129945233464241,0.4805808290839195,0.176619,32.939998626708984,,,,,,,24.6,6.15,24.6,6.15,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Bobby Witt Jr.","KCR",4,17,15,4,3,1,0,1,3,2,1,0,3,0,0,0,,1,0,0.286661,0.0881632,0.172773,0.510282,0.353066,0.486293,0.359991,0.839358,0.199632,6.85564,0.317939,0,0.0764476,2.57335,0.590155,129.472,0.0764476,0.280912,0.6490725502371788,0.46054181456565857,0.173496,3.0999999046325684,,,,,,,24.6,6.15,24.6,6.15,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",4,16,13,4,2,1,0,1,2,2,2,1,3,0,0,0,,0,0,0.302643,0.141455,0.173553,0.815057,0.408933,0.570944,0.410918,0.979878,0.268301,2.42284,0.320092,0,-0.0219682,3.0607,1.20017,168.896,-0.0219682,-0.00151696,1.2338191736489534,-0.38238115864805877,0.143451,33.38999938964844,,,,,,,27.7,6.925,27.7,6.925,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Elly De La Cruz","CIN",4,16,14,4,2,1,0,1,3,2,2,0,4,0,0,0,,1,0,0.273496,0.101519,0.27025,0.375648,0.348746,0.487649,0.360821,0.836395,0.214153,7.37968,0.346794,0,0.0665233,2.478,0.576584,126.268,0.0665233,0.0508048,0.575908862054348,0.19833563640713692,0.132172,8.449999809265137,,,,,,,28.6,7.15,28.6,7.15,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Fernando Tatis Jr.","SDP",4,17,15,4,3,1,0,1,2,2,2,0,3,0,0,0,,1,0,0.278387,0.103464,0.192712,0.536885,0.358087,0.474488,0.360731,0.832575,0.196101,5.53733,0.313174,0,0.0281535,2.58337,0.600169,132.337,0.0281535,0.195221,0.6821817476302385,0.030405864119529724,0.128181,14.010000228881836,,,,,,,27.6,6.9,27.6,6.9,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Wyatt Langford","TEX",4,17,14,4,2,1,0,1,2,2,2,0,4,0,0,0,,1,0,0.257464,0.114678,0.224399,0.511044,0.347726,0.466466,0.354328,0.814192,0.209002,5.57674,0.29901,0,0.033214,2.47097,0.508217,130.379,0.033214,0.209011,0.6173636242747307,0.04851767420768738,0.127658,37.75,,,,,,,28.6,7.15,28.6,7.15,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Shohei Ohtani","LAD",4,16,14,4,2,1,0,1,3,3,2,0,4,0,0,0,,1,0,0.281647,0.135489,0.242946,0.557692,0.38351,0.567091,0.399001,0.950601,0.285443,6.25375,0.321766,0,0.0412573,3.0373,1.09499,154.033,0.0412573,0,1.1115803122520447,-0.4104938209056854,0.125863,1.2699999809265137,,,,,,,28.6,7.15,28.6,7.15,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gabriel Moreno","ARI",4,14,12,4,3,1,0,0,2,2,1,0,2,0,0,0,,0,0,0.294441,0.103017,0.159635,0.645331,0.369637,0.45024,0.358816,0.819877,0.1558,3.2558,0.329683,0,-0.028211,2.17478,0.488327,126.237,-0.028211,0.158118,0.4230380579829216,0.3365126997232437,0.124651,181.22000122070312,,,,,,,16.3,4.075,16.3,4.075,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Juan Soto","NYM",4,16,13,3,2,0,0,1,2,2,3,0,3,0,0,0,,0,0,0.271626,0.181992,0.163294,1.11451,0.405145,0.525637,0.398343,0.930782,0.254011,4.9262,0.275891,0,0.0226613,2.86919,1.02911,155.318,0.0226613,-0.0945868,1.0607567988336086,-0.3476732298731804,0.124221,4.650000095367432,,,,,,,22.2,5.55,22.2,5.55,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Junior Caminero","TBR",4,17,15,4,2,1,0,1,2,3,1,0,3,0,0,0,,0,0,0.271435,0.0882936,0.185602,0.475716,0.338767,0.511489,0.363442,0.850256,0.240054,3.16376,0.282176,0,-0.0174137,2.62004,0.636846,134.174,-0.0174137,-0.107188,0.6465596128255129,-0.06212621554732323,0.119982,16.479999542236328,,,,,,,22.7,5.675,22.7,5.675,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
