Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andrew Sears","DET",0,0,0,5.08911,3,0,0,0,,4,18,4,3,2,1,2,,0,3,7.16308,3.42913,2.08889,1.29545,0.182141,0.0871953,0.09494601935148239,0.263235,1.40289,0.2984,0.656133,,,4.84569,-0.00420646,-0.0147524,999,,,,,,,6.9,1.725,7,1.75,,,,,,,,,,,,,,,,,,,"Andrew Sears","33664",808825
"Josh Fleming","STL",0,0,0,4.81139,2,0,0,0,,2,7,2,1,1,0,1,,0,1,4.3256,2.76239,1.56589,1.14564,0.108416,0.0692358,0.0391799658536911,0.286839,1.4765,0.300409,0.689688,,,4.86388,-0.00424085,0.0000260508,999,,,,,,,8.600000000000001,4.300000000000001,9,4.5,,,,,,,,,,,,,,,,,,,"Josh Fleming","20418",676596
"Hancel Rincon","STL",0,0,0,4.96174,2,0,0,0,,2,10,3,1,1,0,1,,0,2,6.26681,2.80183,2.23669,1.43407,0.159636,0.0713718,0.08826460689306259,0.272314,1.39854,0.295798,0.679984,,,4.89002,-0.00441766,0.0000260508,999,,,,,,,8,4,11,5.5,,,,,,,,,,,,,,,,,,,"Hancel Rincon","27144",684516
"Victor Mederos","ATL",0,0,0,4.77031,4,0,0,1,,5,21,5,3,3,1,2,,1,4,6.95266,3.72466,1.86666,1.08117,0.176086,0.094332,0.08175357431173325,0.260886,1.42102,0.298875,0.674387,,,4.69957,-0.00443606,0.0086781,999,,,,,,,14.7,2.94,15,3,,,,,,,,,,,,,,,,,,,"Victor Mederos","31533",682989
"Alec Gamboa","BOS",0,0,0,4.5496,4,0,0,1,,4,18,4,2,2,0,2,,0,3,6.02556,4.28587,1.40591,0.852565,0.148373,0.105535,0.04283799231052399,0.268239,1.54855,0.302341,0.705602,,,4.53949,-0.0044727,0.0111515,999,,,,,,,23.200000000000003,5.800000000000001,24,6,,,,,,,,,,,,,,,,,,,"Alec Gamboa","26227",687941
"Connor Brogdon","CLE",0,0,0,4.63569,4,0,0,0,,4,15,4,2,2,1,1,,0,4,9.43383,3.504,2.69231,1.62895,0.240795,0.0894382,0.15135690569877625,0.25213,1.37788,0.300029,0.727455,,,4.65661,-0.00457218,0.00357636,999,,,,,,,11.9,2.975,12,3,,,,,,,,,,,,,,,,,,,"Connor Brogdon","21205",641401
"Jefry Yan","NYM",0,0,0,5.24434,3,0,0,0,,3,15,3,2,2,0,2,,0,4,10.1772,6.14234,1.65689,1.08076,0.248024,0.149692,0.09833163022994995,0.237723,1.57933,0.308022,0.670316,,,4.76235,-0.00458171,-0.015362,999,,,,,,,16.400000000000002,5.466666666666668,17,5.666666666666667,,,,,,,,,,,,,,,,,,,"Jefry Yan","27902",642376
"Josh Simpson","SEA",0,0,0,5.01481,2,0,0,0,,2,8,2,1,1,0,1,,0,2,9.98254,4.65578,2.14412,1.49259,0.25069,0.11692,0.13377007842063904,0.242743,1.44654,0.299012,0.692452,,,4.83008,-0.00458232,-0.00172725,999,,,,,,,10.600000000000001,5.300000000000001,11,5.5,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
"Brendan Cellucci","TOR",0,0,0,4.98845,2,0,0,0,,2,10,2,1,1,0,1,,0,2,8.31409,5.40416,1.53846,1.24711,0.201005,0.130653,0.07035176455974579,0.242604,1.54734,0.284553,0.699659,,,5.13552,-0.00458785,0.000322879,999,,,,,,,10.600000000000001,5.300000000000001,11,5.5,,,,,,,,,,,,,,,,,,,"Brendan Cellucci","sa3011710",676454
"Hunter Parks","CIN",0,0,0,6.31879,1,0,0,0,,1,7,1,1,1,0,1,,0,1,7.17268,5.97723,1.2,1.537,0.167331,0.139442,0.027888447046279907,0.258373,1.6888,0.28481,0.641361,,,6.12026,-0.00466021,-0.013838,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Hunter Parks","sa3017640",688609
