Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",89.59,406.111,364.123,105.006,62.8653,23.2327,2.6044,16.3038,61.7442,53.6135,33.7884,4.0611,69.6203,3.655,2.8493,1.6955,,22.4571,7.0917,0.288381,0.0831999,0.171432,0.485324,0.352235,0.500817,0.368052,0.853053,0.212437,6.48928,0.315613,1.336,1.0848,64.3824,16.7142,131.843,2.4208,3.781,17.617652893066406,8.260999917984009,4.11188,3.0999999046325684,,,,,,,594.4,6.604444444,594.4,6.604444444,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",90.37,404.199,320.303,87.4207,50.2224,13.9004,1.1943,22.1037,64.883,59.5627,78.0103,6.4672,68.8011,2.021,2.9411,0.9233,,12.6418,4.3727,0.272931,0.193,0.170216,1.13385,0.41523,0.530813,0.408339,0.946043,0.257882,4.66522,0.281128,-0.388,0.0877464,77.0648,29.6211,166.346,-0.300254,-3.558,31.128445863723755,-8.829999923706055,3.60031,4.650000095367432,,,,,,,673.8,7.486666666,673.8,7.486666666,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",89.77,403.41,364.271,98.8664,61.3734,17.9862,1.0629,18.4438,56.0353,55.8857,30.175,2.017,86.0043,4.8409,2.8925,1.2305,,13.7376,4.0803,0.271409,0.0747999,0.213194,0.350855,0.332892,0.478517,0.352513,0.811409,0.207108,5.32218,0.306121,0.319,0.581666,58.9553,11.6043,130.811,0.900666,2.916,15.50752067565918,4.289999842643738,3.47898,9.489999771118164,,,,,,,537.9,5.976666666,537.9,5.976666666,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",93.61,417.437,373.252,101.892,58.1713,17.89,0.507,25.3237,60.5427,66.4472,37.5276,1.6697,74.837,2.5046,2.9689,1.1844,,3.1372,1.1486,0.272985,0.0899,0.179277,0.501458,0.340957,0.52717,0.37416,0.868127,0.254185,3.16306,0.277361,-0.054,-0.35153,68.2112,19.2136,138.114,-0.40553,-0.872,18.291674554347992,0.1679999828338623,3.39231,16.479999542236328,,,,,,,617,6.563829787,617,6.563829787,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Yordan Alvarez","HOU",83.44,376.192,313.783,93.1539,53.2061,18.177,0.6554,21.1155,61.1279,57.1806,52.7798,8.6524,63.5411,5.6429,2.6801,1.3064,,1.8939,0.6381,0.296873,0.1403,0.168906,0.83064,0.404327,0.56086,0.411366,0.965187,0.263986,3.15769,0.310769,-0.688,-0.425534,72.6333,28.4769,164.814,-1.11353,-0.121,27.539981245994568,-9.407999701797962,3.21046,33.38999938964844,,,,,,,640.1,7.712048192,640.1,7.712048192,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Gunnar Henderson","BAL",89.61,406.848,357.04,92.29,55.2358,18.557,2.2114,16.2858,57.798,50.0955,41.2543,1.6274,88.2245,4.0685,2.792,1.693,,12.7365,3.8475,0.258487,0.1014,0.216849,0.467606,0.339655,0.459689,0.349781,0.799344,0.201202,5.78061,0.29768,1.164,0.452538,58.5714,10.8168,123.889,1.61654,-0.802,13.038277983665466,3.678000032901764,3.17558,12.510000228881836,,,,,,,523.6,5.817777777,523.6,5.817777777,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Shohei Ohtani","LAD",89.61,415.467,345.41,93.9897,49.7966,16.3406,3.2416,24.6108,73.3907,58.2851,61.6553,9.9712,98.8909,3.3237,2.5622,2.5157,,11.8871,3.5307,0.272111,0.1484,0.238024,0.623468,0.384958,0.551941,0.397722,0.936898,0.27983,6.22549,0.309078,0.104,0.381148,75.6959,26.9296,156.318,0.485148,0,27.907017320394516,-10.454999923706055,3.14032,1.2699999809265137,,,,,,,686.5,7.627777777,686.5,7.627777777,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"José Ramírez","CLE",88.66,396.794,347.394,93.6636,55.7327,20.529,1.0148,16.3871,56.1432,53.1136,42.7744,9.1263,49.0868,2.7776,2.8914,0.9565,,22.4419,5.6808,0.269618,0.1078,0.123709,0.871403,0.351699,0.476069,0.3549,0.827768,0.206451,5.58193,0.271325,0.012,1.68003,58.7438,12.1692,127.104,1.69203,-0.085,14.330550789833069,0.4180000200867653,2.93779,6.28000020980835,,,,,,,559.4,6.285393258,559.4,6.285393258,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Fernando Tatis Jr.","SDP",91.71,420.7,365.532,98.57,63.2522,18.1708,1.3694,15.7776,60.9056,47.3041,45.9825,2.1035,82.9758,4.207,2.7186,2.2597,,18.7681,4.929,0.269662,0.1093,0.197233,0.554168,0.35551,0.456355,0.356704,0.811865,0.186693,5.62691,0.307211,0.332,1.15133,62.8882,13.5076,131.652,1.48333,1.797,17.089118719100952,-1.779999852180481,2.93775,14.010000228881836,,,,,,,568.8,6.182608695,568.8,6.182608695,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",89.87,405.921,349.296,89.9361,49.7455,16.7211,7.356,16.1135,61.1224,52.4449,46.9245,1.6237,83.831,5.277,2.8368,1.5868,,17.4352,4.4408,0.257478,0.1156,0.20652,0.559751,0.351535,0.485862,0.364247,0.837397,0.228384,7.56084,0.292728,1.997,1.14243,63.1206,15.4747,132.039,3.13943,1.401,18.381444692611694,-2.9619998931884766,2.90096,14.100000381469727,,,,,,,571.7,6.352222222,571.7,6.352222222,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Kevin McGonigle","DET",89.79,407.811,350.729,93.8608,62.1497,19.7304,3.1746,8.806,54.1706,40.3167,49.182,0,55.9764,3.2625,2.7589,1.8784,,8.9629,2.7533,0.267616,0.1206,0.137261,0.87862,0.360417,0.417297,0.347333,0.777714,0.149681,5.48492,0.294607,0.53,0.06239,57.9138,10.046,120.539,0.59239,-0.592,10.435398936271667,3.118000030517578,2.85492,999,,,,,,,499.8,5.553333333,499.8,5.553333333,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"William Contreras","MIL",87.05,382.742,332.548,89.9196,60.1021,17.6126,0.4189,11.786,47.2723,47.3734,44.5895,2.2965,66.044,2.2965,2.6766,0.6319,,3.2313,1.1891,0.270396,0.1165,0.172555,0.675148,0.358026,0.432203,0.349289,0.790229,0.161807,3.0612,0.303556,-0.471,-0.39232,54.9507,10.0255,123.608,-0.86332,0.53,9.72629588842392,5.5899999141693115,2.83696,56.560001373291016,,,,,,,479.9,5.516091954,479.9,5.516091954,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Ketel Marte","ARI",86.19,397.071,346.02,94.9394,57.5318,19.253,1.8492,16.3055,58.7076,47.8503,42.3277,2.3824,62.9756,3.9707,2.5182,2.2345,,2.9192,0.8427,0.274376,0.1066,0.1586,0.672129,0.357712,0.482075,0.36615,0.839787,0.207699,4.1804,0.292041,-0.036,-0.296033,62.347,15.7399,133.334,-0.332033,-0.63,15.180244326591492,-0.23800000548362732,2.82326,32.63999938964844,,,,,,,543.8,6.323255813,543.8,6.323255813,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Mookie Betts","LAD",87.35,386.82,337.348,89.6607,56.4026,17.6776,1.627,13.9535,53.4516,51.0364,43.1304,1.1605,46.2505,2.7077,2.6275,1.0061,,4.8054,1.5426,0.265781,0.1115,0.119566,0.932539,0.351202,0.451915,0.353423,0.803117,0.186134,4.4569,0.270603,-0.159,-0.202928,56.8114,11.4076,126.174,-0.361928,-0.954,11.503998160362244,3.4140000343322754,2.78743,60.58000183105469,,,,,,,504.1,5.794252873,504.1,5.794252873,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ronald Acuña Jr.","ATL",88.27,407.918,339.749,92.2789,59.3348,15.6194,1.4223,15.9024,63.9868,45.3344,58.781,2.8554,83.9859,4.4871,2.5368,2.3641,,20.0107,5.5132,0.271609,0.1441,0.205889,0.699891,0.383542,0.466374,0.374355,0.849916,0.194765,5.89945,0.315088,0.897,1.11668,66.7193,18.8391,139.433,2.01368,-1.797,20.865412712097168,-6.663000226020813,2.78274,5.260000228881836,,,,,,,587.9,6.680681818,587.9,6.680681818,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Elly De La Cruz","CIN",83.08,369.185,325.566,85.2962,50.5286,17.3879,2.9947,14.3849,50.1388,48.5435,37.583,2.5843,96.6281,2.5843,2.7104,0.7408,,20.0301,6.2217,0.261993,0.1018,0.261734,0.388945,0.340522,0.466351,0.351045,0.806873,0.204357,6.7134,0.326383,1.263,0.997942,53.5215,10.1876,119.143,2.26094,0.873,10.543447732925415,4.533000111579895,2.74628,8.449999809265137,,,,,,,492.2,5.930120481,492.2,5.930120481,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Nick Kurtz","ATH",89.17,398.917,329.239,85.6265,46.2847,16.5663,1.2797,21.4958,61.2221,57.3259,62.9092,5.1859,112.435,2.7924,2.8207,1.1562,,5.0646,1.6435,0.260074,0.1577,0.281851,0.559516,0.38045,0.514033,0.38629,0.894483,0.253959,4.32108,0.323682,-0.092,-0.22252,69.0438,22.22,144.416,-0.31452,-0.614,20.50719091296196,-8.04500025510788,2.71112,19.8700008392334,,,,,,,606.9,6.819101123,606.9,6.819101123,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Pete Crow-Armstrong","CHC",89.83,381.637,346.595,86.9912,52.176,16.9389,2.7625,15.1138,50.2813,47.7927,24.8446,1.1449,91.0157,5.7246,2.6686,1.8044,,19.9103,5.8803,0.250988,0.0651001,0.238488,0.27297,0.309506,0.446621,0.329695,0.756127,0.195633,6.82131,0.295629,0.752,1.14789,48.8289,4.03341,111.318,1.89989,5.875,6.962063431739807,7.371999979019165,2.71072,32.939998626708984,,,,,,,461.8,5.131111111,461.8,5.131111111,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Vladimir Guerrero Jr.","TOR",89.5,397.245,341.342,100.036,63.7939,19.459,0.3003,16.4827,55.0596,56.1471,48.4242,5.9587,50.9965,3.9724,2.96,0.5463,,3.9261,1.4669,0.293067,0.1219,0.128375,0.949559,0.384253,0.496697,0.381862,0.88095,0.20363,3.18285,0.30183,-0.338,-0.396147,67.3517,20.7242,144.821,-0.734147,-0.71,20.18970549106598,-8.261000096797943,2.65044,18.049999237060547,,,,,,,585.3,6.503333333,585.3,6.503333333,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Cal Raleigh","SEA",69.56,309.232,264.812,57.7155,30.0101,10.5651,0.2077,16.9326,41.7895,42.6399,38.5613,3.7108,84.6605,2.7831,2.2018,0.8737,,3.9694,1.373,0.217949,0.1247,0.273776,0.455482,0.321249,0.451239,0.335508,0.772488,0.233291,3.66115,0.24654,-0.773,-0.124331,40.9985,4.70166,119.272,-0.897331,0.769,6.105955362319946,3.8479999899864197,2.63658,18.729999542236328,,,,,,,382.3,5.461428571,382.3,5.461428571,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"JJ Wetherholt","STL",90.99,421.612,362.254,93.4865,63.1812,17.267,0.7373,12.301,57.5186,40.5086,45.7449,2.1081,72.8856,8.4322,2.5874,2.5931,,9.3343,2.3045,0.258069,0.1085,0.172874,0.627626,0.352403,0.411675,0.340601,0.764079,0.153606,4.72424,0.290306,0.308,0.316648,57.6102,8.1226,119.096,0.624648,0.524,10.060346007347107,2.106999933719635,2.61875,999,,,,,,,500.1,5.495604395,500.1,5.495604395,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","34985",802139
