Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",96,416.935,374.504,113.506,64.8681,20.2315,6.98121,21.4255,72.7391,64.2207,34.3534,3.53041,68.6411,3.93301,3.55573,0.58882,4.23145,23.124,5.51889,0.303084,0.082395,0.164632,0.500479,0.364583,0.56602,0.397176,0.930602,0.262936,8.09214,0.319732,,1.84323,75.7819,26.8432,151.606,1.84323,6.82,27.128618121147156,11.264444351196289,5.43325,3.0999999046325684,,,,,,,699.6,7.2875,699.6,7.2875,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",95,412.606,335.166,94.1676,51.6747,16.1961,0.305373,25.9915,69.5192,66.819,71.9547,5.38611,72.4444,2.40223,2.4946,0.588475,8.28537,10.3381,3.82975,0.280958,0.174391,0.175578,0.993239,0.409023,0.563748,0.417251,0.972771,0.282789,4.04203,0.284988,,-0.134493,81.6003,33.1698,172.411,-0.134493,-0.74,34.8805216550827,-5.871172666549683,4.31539,4.650000095367432,,,,,,,712,7.494736842,712,7.494736842,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",94,420.372,352.395,100.628,51.1599,20.7337,1.23379,27.501,75.8798,73.1881,60.8328,7.90351,97.7886,3.5674,2.31328,0.409382,6.07837,14.6934,4.93495,0.285555,0.144712,0.232624,0.622085,0.393761,0.585514,0.415581,0.979275,0.299959,5.30034,0.31875,,0.353381,82.5763,33.2343,168.469,0.353381,0,34.085753470659256,-8.78211498260498,3.9609,1.2699999809265137,,,,,,,752.9,8.009574468,752.9,8.009574468,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",84,368.649,310.164,92.7587,48.2811,18.8037,0.0302719,25.6437,59.1086,68.4707,49.642,6.29591,61.1062,5.32929,3.20611,0.307506,5.91992,1.84091,0.745453,0.299063,0.134659,0.165757,0.81239,0.401068,0.607916,0.427129,1.00898,0.308853,2.42141,0.296156,,-0.448238,75.811,32.54,175.511,-0.448238,-0.04,32.26477447152138,-8.696875609457493,3.74041,33.38999938964844,,,,,,,676.3,8.051190476,676.3,8.051190476,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",97,411.8,359.69,98.9095,62.2359,18.246,2.45915,15.9685,62.4006,52.3357,44.6406,1.87142,80.4497,3.95919,2.66558,0.844601,7.8878,17.4207,5.05922,0.274985,0.108404,0.195361,0.554888,0.358942,0.472571,0.363947,0.831513,0.197586,6.10735,0.311882,,0.84116,63.9364,15.6005,136.58,0.84116,5.93,18.495375335216522,2.4269134998321533,3.48402,14.010000228881836,,,,,,,573.7,5.914432989,573.7,5.914432989,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Shea Langeliers","ATH",84,339.315,306.204,86.6242,45.3136,16.1828,2.06087,23.0669,53.9943,59.8214,26.9521,0.929268,66.6868,3.05409,2.58695,0.518248,4.92608,2.69908,0.825771,0.282897,0.079431,0.196534,0.40416,0.344249,0.575204,0.392951,0.919453,0.292306,4.4863,0.290167,,-0.190333,60.5304,20.7026,148.936,-0.190333,-2.57,19.32284151017666,1.8984096050262451,3.39448,54.04999923706055,,,,,,,548.1,6.525,548.1,6.525,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Pete Crow-Armstrong","CHC",92,406.301,364.82,92.9913,53.5988,19.0137,2.53207,17.8468,61.5575,52.27,27.9017,1.4239,97.5418,5.91487,3.16272,4.50084,4.35474,21.4776,4.10991,0.254896,0.0686725,0.240073,0.286048,0.3156,0.467654,0.34004,0.783254,0.212758,7.15314,0.297491,,2.16179,55.3363,7.64588,118.357,2.16179,7.53,10.902915716171265,8.949753284454346,3.35651,32.939998626708984,,,,,,,527.9,5.738043478,527.9,5.738043478,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Gunnar Henderson","BAL",94,414.213,367.435,97.7337,57.7974,20.7374,1.93564,17.2633,61.1785,53.8368,39.408,1.37459,90.503,3.71614,3.32179,0.331237,7.45022,12.1267,3.09613,0.265989,0.0951396,0.218494,0.435433,0.340334,0.473912,0.35495,0.814246,0.207924,5.61756,0.305982,,0.634447,61.339,12.7199,127.397,0.634447,-0.43,13.97022920846939,3.921851933002472,3.32255,12.510000228881836,,,,,,,557.3,5.928723404,557.3,5.928723404,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Corbin Carroll","ARI",91,395.158,340.945,89.4961,49.4107,20.1101,3.76303,16.2123,62.8521,52.8796,44.6442,1.46963,79.5733,5.11098,2.64019,1.81702,5.61492,19.4229,3.72713,0.262494,0.112978,0.201371,0.561045,0.354022,0.486204,0.366198,0.840226,0.22371,7.22289,0.295738,,1.84554,62.0617,15.6792,133.367,1.84554,5.93,17.298176169395447,1.8391518592834473,3.24694,14.100000381469727,,,,,,,563.5,6.192307692,563.5,6.192307692,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Cal Raleigh","SEA",74,303.419,261.614,58.1023,27.9972,10.5126,0.194332,19.3982,40.8441,50.8291,36.5495,2.59046,85.7912,2.78951,2.2283,0.238322,3.09226,3.56388,1.33074,0.222092,0.120459,0.282748,0.426029,0.321397,0.486206,0.348677,0.807602,0.264114,3.40163,0.243955,,-0.172867,43.4142,7.79967,128.208,-0.172867,7.51,9.885161578655243,10.695510149002075,3.1998,18.729999542236328,,,,,,,398.1,5.379729729,398.1,5.379729729,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Julio Rodríguez","SEA",96,421.134,380.996,105.636,66.0826,17.7525,2.93304,18.8682,61.4817,58.5009,31.4722,2.29319,89.85,5.69672,2.54308,0.426055,7.40912,14.125,3.88919,0.277264,0.074732,0.213353,0.350275,0.33944,0.487826,0.359015,0.827266,0.210562,6.20177,0.315726,,0.702499,63.7289,14.2974,135.223,0.702499,-3.56,18.134442448616028,-2.199455738067627,3.14687,9.489999771118164,,,,,,,586.9,6.113541666,586.9,6.113541666,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mike Trout","LAA",85,369.33,305.128,78.6183,42.1088,14.1005,1.96815,20.4409,54.6557,55.8804,56.7165,5.00915,98.3412,4.81735,2.33461,0.333347,4.57605,3.60427,1.09514,0.257657,0.153566,0.266269,0.576731,0.37982,0.517743,0.387265,0.897563,0.260086,4.54054,0.308338,,-0.247347,64.2099,20.859,146.712,-0.247347,-2.11,20.02681155502796,-2.7884801626205444,3.09421,178.44000244140625,,,,,,,568.2,6.684705882,568.2,6.684705882,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"José Ramírez","CLE",94,396.569,348.261,94.5875,57.3696,19.6076,1.8318,15.7785,57.6221,53.5737,41.4372,8.062,45.2444,2.69547,3.7564,0.418244,4.29115,21.9737,6.41652,0.271599,0.104489,0.11409,0.915854,0.350171,0.47434,0.353892,0.824511,0.202741,6.09221,0.270826,,1.2789,58.3915,11.8434,126.42,1.2789,2.01,13.591361999511719,2.503508895635605,3.07495,6.28000020980835,,,,,,,560.8,5.965957446,560.8,5.965957446,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Junior Caminero","TBR",98,407.489,366.079,100.914,57.3783,16.3544,0.996826,26.1843,57.4414,73.68,34.9708,1.87526,69.7418,2.73611,3.25944,0.443463,8.80419,2.46707,0.979403,0.275661,0.0858202,0.17115,0.501432,0.340553,0.540361,0.378265,0.880914,0.264699,3.09225,0.273322,,-0.398857,67.9196,20.0896,140.9,-0.398857,-4.52,19.186657458543777,-3.5117695331573486,3.07117,16.479999542236328,,,,,,,611.1,6.235714285,611.1,6.235714285,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
