Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andrew Landry","NYY",0.0461,0.0523,0,4.84713,1,0,0,0,,1,4.476,1.0263,0.577,0.53857,0.150444,0.4724,,0.0542,0.7454,6.7086,4.2516,1.5779,1.354,0.166533,0.105541,0.06099195033311844,0.259862,1.4987,0.286831,0.715562,,,5.14349,-0.00826445,-0.0483863,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andrew Landry","sa3024982",815069
"Odalvi Javier",,0.0428,0.0555,0,4.9815,1,0,0,0,,1,4.517,1.0355,0.5926,0.5535,0.136556,0.5178,,0.0604,0.7666,6.8994,4.6602,1.48049,1.229,0.169714,0.114634,0.05508080869913101,0.262897,1.5533,0.29613,0.705296,,,5.07533,-0.00826698,-0.0486758,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Odalvi Javier","sa877574",660440
"Andry Lara","WSN",0.1685,0.1921,0,4.34173,3.6667,0,0,0.3932,,3.6667,15.88,3.7709,1.9089,1.76887,0.473004,1.2912,,0.1393,2.7874,6.84174,3.16928,2.15877,1.161,0.175529,0.0813098,0.0942191481590271,0.260971,1.38056,0.294742,0.716654,,,4.42572,-0.00828934,0.00489901,999,,,,,,,22.200000000000003,5.550000000000001,23,5.75,,,,,,,,,,,,,,,,,,,"Andry Lara","27967",691251
"Michael Cuevas","HOU",0.0441,0.0542,0,4.8807,1,0,0,0,,1,4.492,1.0412,0.5843,0.5423,0.132,0.5066,,0.0597,0.7104,6.3936,4.5594,1.40229,1.188,0.158148,0.112778,0.04536953568458557,0.265227,1.5478,0.294879,0.706897,,,5.09281,-0.00829507,-0.0470816,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Michael Cuevas","sa3011437",689821
"Jackson Kelley","CHW",0.0427,0.0556,0,4.91112,1,0,0,0,,1,4.496,1.019,0.5847,0.54568,0.147889,0.5028,,0.0689,0.7248,6.5232,4.5252,1.44153,1.331,0.16121,0.111833,0.04937722533941269,0.259664,1.5218,0.285459,0.712756,,,5.28676,-0.00831421,-0.0461895,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jackson Kelley","sa3020755",805958
"Sam Thoresen",,0.0444,0.054,0,4.87476,1,0,0,0,,1,4.579,0.9506,0.5812,0.54164,0.124,0.6794,,0.0536,0.9143,8.2287,6.1146,1.34575,1.116,0.199672,0.148373,0.051299408078193665,0.247166,1.63,0.294405,0.720132,,,5.08111,-0.00833132,-0.0475604,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sam Thoresen","sa3014920",679645
"Thomas Schultz","WSN",0.0436,0.06,0.0131,4.94307,0.8128,0.0398,0,0,,1,4.452,1.0235,0.5855,0.54923,0.153444,0.4714,,0.0373,0.7691,6.9219,4.2426,1.63152,1.381,0.172754,0.105885,0.06686881929636002,0.259554,1.4949,0.288026,0.710426,,,5.08139,-0.00833491,-0.0486758,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Thomas Schultz","sa3022936",686463
"Wander Guante",,0.044,0.0543,0,4.93992,1,0,0,0,,1,4.474,1.0689,0.5889,0.54888,0.14,0.4526,,0.0515,0.6746,6.0714,4.0734,1.4905,1.26,0.150782,0.101162,0.04962003231048584,0.269251,1.5215,0.294394,0.703584,,,5.08181,-0.00833918,-0.0475604,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Wander Guante","sa3009851",685588
"Duque Hebbert","DET",0.0438,0.0545,0,4.932,1,0,0,0,,1,4.435,1.0854,0.5851,0.548,0.151889,0.3645,,0.0547,0.6353,5.7177,3.2805,1.74294,1.367,0.143247,0.0821871,0.06105975806713104,0.270282,1.4499,0.289137,0.698966,,,5.06026,-0.00835635,-0.0470193,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Duque Hebbert","sa3021026",808986
"Jose Atencio","LAA",0.0428,0.067,0.0292,5.11839,0.5951,0.0861,0,0,,1,4.472,1.1274,0.6116,0.56871,0.144556,0.416,,0.0477,0.5684,5.1156,3.744,1.36635,1.301,0.127102,0.0930233,0.03407871723175049,0.281266,1.5434,0.298252,0.694843,,,5.23223,-0.00836149,-0.0450661,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jose Atencio","sa3010304",682719
