Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",8,3,,2.56389,17,17,,,,102,403,80,32,29,8,18,,3,124,10.874,1.5643,6.95134,0.730767,0.307115,0.0441807,0.2629343904554844,0.210093,0.957245,0.287853,0.767685,,,2.35314,3.54415,3.40858,7.019999980926514,,,,,,,633.4000000000001,6.2098039215686285,591,5.794117647058823,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",8,3,,2.96891,19,19,,,,119,484,105,43,39,9,27,,3,122,9.27866,2.01842,4.59699,0.675057,0.252791,0.0549906,0.1978006511926651,0.230489,1.10619,0.296623,0.746744,,,2.76793,3.37915,3.2399,24.75,,,,,,,650.8999999999999,5.469747899159663,632,5.310924369747899,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",9,4,,2.792,20,20,,,,111,446,89,37,34,10,27,,4,128,10.3732,2.2129,4.6876,0.798212,0.286431,0.0611039,0.2253268100321293,0.214557,1.04816,0.285667,0.769445,,,2.80057,3.14607,3.38356,9.649999618530273,,,,,,,630.0000000000001,5.675675675675676,588,5.297297297297297,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",9,5,,3.21548,19,19,,,,117,483,109,45,42,9,26,,4,110,8.44471,2.03849,4.14262,0.665976,0.227107,0.0548221,0.17228513583540916,0.241603,1.16207,0.301244,0.730984,,,2.96161,2.75068,2.65794,57.189998626708984,,,,,,,601.7000000000002,5.142735042735044,598,5.111111111111111,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",8,4,,3.05176,17,17,,,,98,401,83,36,33,10,27,,3,120,11.0703,2.47116,4.4798,0.944364,0.299387,0.0668305,0.23255671560764313,0.225006,1.12932,0.304332,0.774365,,,2.93184,2.65217,2.80341,12.239999771118164,,,,,,,536.4000000000001,5.473469387755103,510,5.204081632653061,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Dylan Cease","TOR",7,4,,3.47389,18,18,,,,102,424,82,43,39,11,40,,3,125,11.0855,3.50705,3.16093,0.969206,0.294806,0.0932656,0.2015407234430313,0.215097,1.19822,0.289662,0.743392,,,3.29246,2.45169,2.09114,74.7699966430664,,,,,,,527.3,5.169607843137254,488,4.784313725490196,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",8,4,,3.32991,17,17,,,,105,434,91,42,39,8,31,,4,94,8.07441,2.63677,3.06223,0.660148,0.217105,0.0708976,0.14620713144540787,0.229016,1.1643,0.281559,0.717905,,,3.24117,2.44912,2.38401,50.04999923706055,,,,,,,525,5,504,4.8,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Yoshinobu Yamamoto","LAD",8,5,,3.50094,17,17,,,,105,422,83,45,41,12,26,,3,112,9.58561,2.22563,4.30691,1.01336,0.265396,0.061621,0.20377544313669205,0.212472,1.04042,0.266332,0.699605,,,3.27302,2.4387,1.95332,26.639999389648438,,,,,,,550.5999999999999,5.243809523809523,506,4.819047619047619,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Bryan Woo","SEA",7,4,,3.33108,17,17,,,,101,403,83,40,37,11,21,,5,102,9.13596,1.83958,4.96632,0.995312,0.253567,0.0510573,0.2025092914700508,0.220557,1.03241,0.272941,0.717999,,,3.25362,2.28205,2.07765,34.77000045776367,,,,,,,522.3000000000002,5.171287128712873,488,4.8316831683168315,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",7,5,,3.77952,18,18,,,,103,431,92,47,43,12,31,,3,116,10.0823,2.67544,3.76845,1.04927,0.26908,0.0714034,0.19767697155475616,0.232191,1.18733,0.297895,0.713658,,,3.36371,2.23823,1.71004,70.58999633789062,,,,,,,505.40000000000003,4.906796116504855,489,4.747572815533981,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Kevin Gausman","TOR",7,5,,3.65486,18,18,,,,104,435,98,46,42,13,27,,1,102,8.83905,2.34443,3.77023,1.08876,0.235223,0.0623896,0.172833364456892,0.24177,1.20391,0.293831,0.737038,,,3.52654,2.14893,1.89727,112.94999694824219,,,,,,,474.90000000000003,4.566346153846154,471,4.528846153846154,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Joe Ryan","MIN",7,5,,3.62275,18,18,,,,97,396,84,43,39,13,22,,6,107,9.91678,2.03134,4.88189,1.15962,0.271251,0.0555627,0.2156883329153061,0.228379,1.08777,0.288215,0.716607,,,3.43238,2.12533,1.82066,78.52999877929688,,,,,,,469.5000000000001,4.840206185567012,446,4.597938144329897,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Ranger Suarez","BOS",7,5,,3.52033,18,17,,,,98,415,95,41,38,8,30,,3,88,8.07592,2.73774,2.94985,0.773891,0.211108,0.0715656,0.1395420879125595,0.249376,1.2814,0.303621,0.737492,,,3.4177,2.11014,2.24005,183.97999572753906,,,,,,,456.80000000000007,4.661224489795919,463,4.724489795918367,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Jacob Misiorowski","MIL",6,4,,3.3389,17,16,,,,84,343,62,34,31,8,32,,7,110,11.8612,3.44784,3.44017,0.91353,0.321356,0.0934127,0.22794292122125626,0.202294,1.11899,0.285976,0.732678,,,3.17238,1.98281,1.76046,114.13999938964844,,,,,,,465.00000000000006,5.5357142857142865,419,4.988095238095238,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Cam Schlittler","NYY",7,5,,3.56868,18,17,,,,89,369,77,38,35,9,27,,3,95,9.5637,2.74664,3.48197,0.936558,0.25607,0.0735418,0.18252838402986526,0.228686,1.17592,0.290311,0.723059,,,3.35286,1.96772,1.73673,116.62999725341797,,,,,,,447.7,5.0303370786516854,428,4.808988764044944,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Hunter Brown","HOU",6,3,,3.03177,15,14,,,,83,341,67,30,28,7,28,,3,92,9.9738,3.07793,3.24043,0.77773,0.268449,0.0828437,0.18560535460710526,0.216163,1.15295,0.283359,0.76242,,,3.13537,1.96327,2.25356,36.189998626708984,,,,,,,444.90000000000003,5.360240963855422,415,5,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Chris Sale","ATL",7,3,,3.18809,14,14,,,,82,338,71,32,29,8,22,,6,99,10.8359,2.3957,4.52305,0.916992,0.292892,0.0647554,0.22813615947961807,0.229641,1.13238,0.309927,0.755095,,,3.03149,1.95962,1.91409,39.36000061035156,,,,,,,437.80000000000007,5.339024390243903,420,5.121951219512195,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"George Kirby","SEA",7,5,,3.70119,17,17,,,,98,402,93,44,40,11,20,,4,91,8.41905,1.80608,4.6615,0.970968,0.227147,0.0487282,0.17841861769557,0.244344,1.14902,0.29616,0.703436,,,3.34156,1.93407,1.42215,64.58000183105469,,,,,,,458.1000000000001,4.674489795918368,457,4.663265306122449,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"MacKenzie Gore","TEX",6,6,,4.07188,19,19,,,,98,418,87,48,44,10,39,,5,110,10.0774,3.57352,2.82002,0.94463,0.263034,0.0932737,0.16976017504930496,0.231872,1.28014,0.301152,0.695701,,,3.56901,1.86399,1.25492,164.82000732421875,,,,,,,464.00000000000006,4.734693877551021,448,4.571428571428571,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Shane McClanahan","TBR",6,3,,3.18734,14,14,,,,76,311,65,29,27,7,22,,1,79,9.37456,2.62401,3.57261,0.865595,0.252904,0.0707896,0.18211433291435242,0.224267,1.14577,0.283789,0.752457,,,3.19489,1.81792,1.94501,182.99000549316406,,,,,,,396.29999999999995,5.2144736842105255,378,4.973684210526316,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Chase Burns","CIN",5,4,,3.88822,17,15,,,,74,309,66,35,32,10,22,,0,89,10.7186,2.6231,4.08624,1.21729,0.286216,0.0700439,0.21617251634597778,0.230325,1.18271,0.297245,0.71789,,,3.34947,1.8121,1.19357,109.72000122070312,,,,,,,365,4.9324324324324325,352,4.756756756756757,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
