Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",8,5,13,2.81909,20,20,0,0,,120,479,95,41,38,10,30,,4,142,10.6445,2.25552,4.71928,0.760714,0.296905,0.0629132,0.23399215936660767,0.212646,1.03654,0.288798,0.758074,,,2.69476,3.57895,3.55268,9.649999618530273,,,,,,,700,5.833333333333333,652,5.433333333333334,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",8,5,13,3.13192,20,20,0,0,,127,520,114,48,44,11,32,,4,127,9.0148,2.26708,3.97639,0.745562,0.244774,0.0615569,0.1832173652946949,0.236161,1.1516,0.299742,0.746747,,,3.01958,3.19975,3.21398,24.75,,,,,,,654.1000000000003,5.150393700787403,638,5.0236220472440944,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Tarik Skubal","DET",7,3,10,2.733,15,15,0,0,,92,362,72,30,28,9,19,,3,110,10.7016,1.80774,5.91989,0.84429,0.302941,0.0511733,0.25176721066236496,0.211536,0.981582,0.285281,0.766259,,,2.64319,2.83974,2.93994,7.019999980926514,,,,,,,536.9000000000001,5.835869565217393,497,5.4021739130434785,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",8,6,11,3.36343,19,19,0,0,,121,501,117,49,45,9,29,,4,113,8.43395,2.15715,3.90977,0.692385,0.225965,0.0577949,0.16816990450024605,0.249909,1.20845,0.311565,0.728813,,,3.03658,2.72837,2.46486,57.189998626708984,,,,,,,607.5,5.020661157024794,615,5.082644628099174,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jesús Luzardo","PHI",8,6,11,3.56492,20,20,0,0,,121,496,104,52,48,14,37,,4,135,10.0688,2.72612,3.69346,1.04067,0.272877,0.0738811,0.19899600744247437,0.227503,1.15991,0.292731,0.730803,,,3.36293,2.63286,2.35585,70.58999633789062,,,,,,,599.8000000000001,4.95702479338843,570,4.710743801652892,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Chris Sale","ATL",9,4,11,3.23102,18,18,0,0,,110,449,91,43,40,12,30,,6,134,10.9615,2.4788,4.42211,0.949653,0.298642,0.0675337,0.2311078980565071,0.221555,1.10502,0.299087,0.746687,,,3.03612,2.62474,2.56201,39.36000061035156,,,,,,,589.8,5.361818181818181,554,5.036363636363636,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Dylan Cease","TOR",7,6,11,3.58978,19,19,0,0,,110,459,90,48,44,12,44,,4,134,10.9423,3.56425,3.07003,0.974185,0.292566,0.0952976,0.1972687989473343,0.219389,1.21388,0.295203,0.73454,,,3.35777,2.55701,2.07768,74.7699966430664,,,,,,,556.4,5.058181818181818,518,4.709090909090909,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Zack Wheeler","PHI",8,5,11,3.31067,18,18,0,0,,111,451,91,44,41,13,31,,5,128,10.3297,2.51453,4.10801,1.0372,0.283053,0.0689026,0.21414988487958908,0.219864,1.09971,0.285681,0.745839,,,3.27291,2.49377,2.57303,110.48999786376953,,,,,,,572.9000000000001,5.161261261261262,534,4.8108108108108105,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jacob deGrom","TEX",7,5,10,3.38171,18,18,0,0,,105,420,86,43,40,14,24,,3,121,10.3544,2.07618,4.98723,1.16672,0.288563,0.0578603,0.23070231080055237,0.21953,1.04921,0.281362,0.738476,,,3.25831,2.48313,2.25505,50.0099983215332,,,,,,,542.1999999999999,5.163809523809523,504,4.8,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Yoshinobu Yamamoto","LAD",7,4,10,3.32888,16,16,0,0,,97,393,80,39,36,10,28,,3,104,9.65261,2.63428,3.66423,0.915319,0.263801,0.0719937,0.19180764257907867,0.220302,1.11706,0.281438,0.733597,,,3.24679,2.28308,2.09239,26.639999389648438,,,,,,,501.80000000000007,5.17319587628866,470,4.845360824742268,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
