Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","LAD",3,1,4,2.71615,6,6,0,0,,34,134,26,11,10,3,6,,1,43,11.2646,1.56739,7.18686,0.923667,0.318542,0.0443228,0.27421897649765015,0.208839,0.950949,0.285019,0.77163,,,2.54483,1.15137,1.08816,7.019999980926514,,,,,,,212.10000000000005,6.238235294117649,196,5.764705882352941,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",3,1,4,3.11645,6,6,0,0,,39,159,35,15,13,3,9,,1,40,9.33029,2.05551,4.53917,0.772828,0.253387,0.0558225,0.19756494089961052,0.232431,1.11892,0.297054,0.743501,,,2.90787,1.08679,1.00898,24.75,,,,,,,210.70000000000005,5.402564102564104,206,5.282051282051282,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",3,1,4,2.87437,6,6,0,0,,33,133,28,11,10,3,8,,2,39,10.8499,2.16261,5.01704,0.762623,0.29646,0.0590906,0.23736899718642235,0.225746,1.08851,0.309463,0.764387,,,2.70264,0.974743,1.02874,39.36000061035156,,,,,,,182.50000000000006,5.530303030303032,174,5.2727272727272725,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",3,2,4,3.27121,6,6,0,0,,39,162,37,16,14,3,9,,1,36,8.17688,2.00178,4.08482,0.67091,0.219493,0.0537338,0.16575894132256508,0.244377,1.17076,0.301562,0.727391,,,3.01286,0.951449,0.823083,57.189998626708984,,,,,,,197.50000000000006,5.064102564102566,198,5.076923076923077,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",2,1,4,3.26523,6,6,0,0,,34,141,26,13,12,3,14,,1,43,11.5845,3.68904,3.14025,0.860267,0.308935,0.0983792,0.21055591851472855,0.207565,1.18483,0.289,0.752112,,,3.05232,0.922646,0.861687,74.7699966430664,,,,,,,188.10000000000002,5.532352941176471,172,5.0588235294117645,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Paul Skenes","PIT",2,1,4,2.90008,6,6,0,0,,32,128,25,11,10,3,9,,1,37,10.5061,2.45037,4.28757,0.835155,0.288258,0.0672311,0.22102715075016022,0.214548,1.07316,0.286356,0.766403,,,2.90679,0.902355,0.975036,9.649999618530273,,,,,,,178.9,5.590625,165,5.15625,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Jesús Luzardo","PHI",2,2,3,3.6573,6,6,0,0,,36,151,31,16,15,4,11,,1,42,10.5189,2.72501,3.86011,1.02151,0.281792,0.073001,0.20879095047712326,0.227872,1.17016,0.298664,0.720347,,,3.24645,0.878061,0.691753,70.58999633789062,,,,,,,184.60000000000005,5.127777777777779,176,4.888888888888889,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",3,1,3,3.44041,6,6,0,0,,34,137,27,14,13,4,9,,1,36,9.43059,2.2458,4.1992,0.948427,0.26108,0.0621736,0.19890597462654114,0.212303,1.04139,0.266425,0.700203,,,3.21024,0.872837,0.740343,26.639999389648438,,,,,,,174.20000000000005,5.123529411764707,160,4.705882352941177,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Zack Wheeler","PHI",2,1,3,3.46776,6,6,0,0,,35,142,29,15,13,4,10,,1,39,10.0167,2.48598,4.02928,1.04955,0.271514,0.0673853,0.20412878692150116,0.224009,1.124,0.28617,0.734007,,,3.31863,0.831137,0.732128,110.48999786376953,,,,,,,179.4,5.1257142857142854,168,4.8,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jacob Misiorowski","MIL",3,1,4,3.19615,6,6,0,0,,31,127,23,12,11,3,11,,2,43,12.2954,3.05229,4.02825,0.967432,0.33763,0.0838154,0.25381432473659515,0.199106,1.06308,0.285089,0.741921,,,2.98123,0.831029,0.756005,114.13999938964844,,,,,,,179.7,5.796774193548386,163,5.258064516129032,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
