Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",30,131.478,117.587,34.2757,20.7005,6.17664,1.82735,5.57116,21.0226,18.1181,11.4594,1.13541,22.2719,1.19487,1.0907,0.144948,1.47352,6.86994,1.70863,0.291491,0.0871584,0.169396,0.514524,0.357337,0.517237,0.373428,0.874574,0.225746,7.59579,0.316007,,0.493198,21.6179,6.07201,138.689,0.493198,2.26,6.3909288346767426,3.6488888263702393,1.49712,3.0999999046325684,,,,,,,201.3,6.71,201.3,6.71,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",28,104.296,88.5804,18.8479,9.59365,3.51086,0.00139648,5.742,13.3369,16.206,13.7868,0.815446,29.3106,1.07882,0.77931,0.0701036,1.06874,0.955982,0.401595,0.212777,0.132189,0.281032,0.470371,0.323468,0.446911,0.334342,0.770379,0.234134,2.87024,0.241329,,-0.10467,13.8567,1.52472,121.179,-0.10467,3.11,2.4563245996832848,4.674495458602905,1.10265,18.729999542236328,,,,,,,132.3,4.725,132.3,4.725,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Yordan Alvarez","HOU",29,118.929,99.0962,29.2261,15.9397,5.9338,0,7.35264,18.035,20.8437,16.8927,2.90764,19.7263,1.86837,0.98322,0.0878382,1.86957,0.404409,0.160642,0.294927,0.14204,0.165866,0.856351,0.403795,0.577397,0.412813,0.981191,0.28247,2.1241,0.299635,,-0.160944,23.3371,9.27501,169.775,-0.160944,-0.03,9.460275039076805,-2.9240329544991255,1.09474,33.38999938964844,,,,,,,203.6,7.020689655,203.6,7.020689655,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Pete Crow-Armstrong","CHC",31,128.131,112.586,27.7117,15.9143,5.66594,0.953766,5.17763,18.6534,15.7592,11.4425,0.798662,32.6965,1.93524,0.936056,1.22966,1.23714,6.92617,1.33682,0.246137,0.0893036,0.255181,0.349962,0.323793,0.451369,0.335275,0.775162,0.205232,7.19399,0.297879,,0.677949,17.1199,1.96975,112.986,0.677949,2.96,2.6828919053077698,3.438395082950592,1.04683,32.939998626708984,,,,,,,163.4,5.270967741,163.4,5.270967741,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shohei Ohtani","LAD",30,134.858,112.819,31.6278,17.3395,6.42305,0.418556,7.44667,22.2838,21.675,19.7351,2.92173,30.2806,1.13702,0.765038,0.11822,2.09778,4.58203,1.36044,0.280341,0.14634,0.224538,0.651741,0.390462,0.542711,0.395504,0.933172,0.262369,5.16325,0.318774,,0.161832,24.5778,8.6323,152.086,0.161832,0,8.625939205288887,-3.0161349773406982,1.01688,1.2699999809265137,,,,,,,219.1,7.303333333,219.1,7.303333333,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",31,128.285,112.102,31.53,20.1049,5.69729,0.854315,4.8735,19.723,16.6197,13.9462,0.73928,23.3951,1.17361,0.854561,0.207682,2.43063,6.34846,1.64182,0.281261,0.108712,0.182368,0.596116,0.364234,0.477746,0.365157,0.84198,0.196485,6.32479,0.314761,,0.403849,20.2361,5.06774,134.927,0.403849,0.97,5.802964687347412,-0.46518516540527344,0.967459,14.010000228881836,,,,,,,188.1,6.067741935,188.1,6.067741935,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Gunnar Henderson","BAL",31,128.426,112.508,29.3793,18.1298,6.31998,0.637423,4.29204,17.3894,15.0816,13.3441,0.618924,27.037,1.45001,1.02952,0.0938347,2.42574,3.22323,0.86158,0.26113,0.103905,0.210525,0.493549,0.344212,0.443081,0.343375,0.787293,0.181951,5.25327,0.305165,,0.111731,17.9994,2.81433,122.296,0.111731,-0.19,3.431551583111286,1.2451851963996887,0.939382,12.510000228881836,,,,,,,155,5,155,5,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Corbin Carroll","ARI",29,126.537,108.671,27.8051,15.7169,6.34055,1.31198,4.4357,19.1989,15.9847,14.8202,0.53821,25.0206,1.7881,0.842012,0.414909,1.83359,5.94002,1.16487,0.255864,0.117121,0.197733,0.592322,0.352147,0.460808,0.353836,0.812956,0.204945,7.34351,0.291909,,0.533224,18.8036,3.84193,122.692,0.533224,2.2,3.993215322494507,0.8768653869628906,0.914012,14.100000381469727,,,,,,,168.1,5.796551724,168.1,5.796551724,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Byron Buxton","MIN",26,111.729,99.7153,26.1287,13.5845,5.19457,1.03966,6.30995,17.0707,17.4169,9.46072,0.435124,27.6368,1.71343,0.714513,0.124435,1.19672,2.42969,0.612351,0.262033,0.0846755,0.247356,0.342323,0.334243,0.524818,0.366817,0.859061,0.262785,6.40794,0.298102,,0.0996402,17.7743,4.56349,136.383,0.0996402,-0.08,4.812679618597031,-0.14850347489118576,0.877956,73.4800033569336,,,,,,,156.2,6.007692307,156.2,6.007692307,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Miguel Vargas","CHW",31,132.679,114.935,29.2685,16.416,6.56721,0.638818,5.64649,17.8957,17.9608,15.0744,0.438745,23.6797,1.45462,1.07444,0.139493,1.6127,2.23805,0.661726,0.254653,0.113616,0.178474,0.636596,0.345542,0.47029,0.353942,0.815832,0.215638,4.69891,0.27251,,-0.00422964,19.7275,4.03966,127.924,-0.00422964,-0.62,4.2913803132250905,-0.42660626769065857,0.871922,303.0899963378906,,,,,,,178.8,5.767741935,178.8,5.767741935,,,,,,,,,,,,,,,,,,,"Miguel Vargas","20178",678246
