Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",23,101,91,27,16,6,1,5,16,15,8,1,17,1,1,0,,6,2,0.298566,0.0830363,0.16675,0.497969,0.360732,0.528458,0.380784,0.88919,0.229893,6.78601,0.321467,0.162641,0.386285,17.1164,5.24029,144.121,0.548927,1.89707,5.6946699023246765,2.9748523235321045,1.24837,3.0999999046325684,,,,,,,163.1,7.091304347,163.1,7.091304347,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",23,98,83,25,14,5,0,6,16,17,13,1,17,1,1,0,,1,0,0.30518,0.130189,0.173621,0.749845,0.402951,0.584627,0.420114,0.987577,0.279447,3.21686,0.318624,-0.0889756,-0.0984626,19.8442,8.23844,174.673,-0.187438,0.0335435,8.323373571038246,-2.269697245210409,0.973154,33.38999938964844,,,,,,,171.8,7.469565217,171.8,7.469565217,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Pete Crow-Armstrong","CHC",24,104,93,24,14,5,1,4,15,14,8,0,26,2,1,0,,5,1,0.259629,0.0767299,0.250515,0.306289,0.325982,0.475839,0.345737,0.801821,0.21621,7.43998,0.310869,0.0897063,0.366169,14.7151,2.47173,120.792,0.455875,2.23549,3.0462394654750824,2.6058630645275116,0.919611,32.939998626708984,,,,,,,135.9,5.6625,135.9,5.6625,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Gunnar Henderson","BAL",24,104,91,25,15,5,1,4,16,14,10,0,22,1,1,0,,3,1,0.268124,0.0999658,0.215773,0.463292,0.346888,0.4738,0.355631,0.820688,0.205676,6.48338,0.312214,0.131839,0.157012,15.5425,3.29913,131.189,0.288851,-0.245194,4.03891658782959,0.8659169375896454,0.875446,12.510000228881836,,,,,,,142.7,5.945833333,142.7,5.945833333,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Shohei Ohtani","LAD",24,102,87,25,13,4,1,7,18,17,13,1,24,1,1,0,,3,1,0.284146,0.12691,0.240167,0.528423,0.378432,0.590465,0.409775,0.968896,0.306318,6.1669,0.315629,0.00687415,0.101537,19.6519,7.66356,162.099,0.108411,0,7.683784261345863,-2.5385801792144775,0.860742,1.2699999809265137,,,,,,,181,7.541666666,181,7.541666666,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",24,105,93,26,16,5,0,5,14,15,10,1,21,1,1,0,,5,1,0.276909,0.0976499,0.196351,0.497323,0.352022,0.488046,0.362972,0.840068,0.211137,5.21768,0.306959,0.0537754,0.29254,16.3246,3.9537,134.224,0.346316,1.35845,4.654473125934601,0.282057523727417,0.850161,14.010000228881836,,,,,,,153.8,6.408333333,153.8,6.408333333,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Julio Rodríguez","SEA",24,105,95,26,17,5,0,4,14,14,8,0,23,1,1,0,,4,1,0.273399,0.0742456,0.219154,0.338782,0.334565,0.465561,0.346416,0.800126,0.192162,5.45199,0.316178,0.0494167,0.282129,14.9258,2.55486,129.463,0.331546,0.15689,3.9109402000904083,0.5311185419559479,0.832128,9.489999771118164,,,,,,,134.5,5.604166666,134.5,5.604166666,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",25,108,97,27,16,5,0,6,15,17,9,1,20,1,1,0,,1,0,0.279555,0.0826586,0.189627,0.435902,0.341449,0.518887,0.368106,0.860336,0.239331,3.95836,0.296486,-0.00650366,-0.0814079,17.2491,4.51594,136.955,-0.0879115,-0.519043,4.533155024051666,-0.2301540970802307,0.829029,16.479999542236328,,,,,,,157,6.28,157,6.28,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Juan Soto","NYM",22,93,76,22,13,4,0,5,15,14,16,1,15,0,1,0,,3,1,0.283841,0.171154,0.164056,1.04326,0.407716,0.541965,0.407885,0.949681,0.258124,4.61455,0.291387,-0.0497466,0.0250866,17.8378,6.86976,162.07,-0.02466,-0.0583062,6.902752535417676,-1.794417217373848,0.82841,4.650000095367432,,,,,,,156.7,7.122727272,156.7,7.122727272,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Elly De La Cruz","CIN",24,105,94,25,14,5,1,4,16,14,10,0,29,1,1,0,,5,1,0.265474,0.0940591,0.273418,0.344012,0.336583,0.483332,0.353397,0.819915,0.217859,7.25603,0.333445,0.170082,0.333593,15.5156,3.1447,121.552,0.503675,0.502042,3.2167221307754517,1.470406174659729,0.824711,8.449999809265137,,,,,,,143.5,5.979166666,143.5,5.979166666,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
