Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",24,104,93,25,14,5,1,5,16,16,8,1,26,2,1,1,,5,1,0.266763,0.0792353,0.2514,0.315176,0.335616,0.508442,0.361819,0.844058,0.241679,7.49277,0.315349,0,0.405779,16.0599,3.81653,131.587,0.405779,2.66804,4.340946525335312,3.038410872220993,1.09587,32.939998626708984,,,,,,,150.9,6.2875,150.9,6.2875,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Bobby Witt Jr.","KCR",23,101,91,26,16,6,1,4,15,13,9,1,17,1,1,0,,6,1,0.287829,0.085888,0.172917,0.496702,0.352413,0.492113,0.362443,0.844526,0.204284,6.81846,0.318703,0,0.428978,15.6288,3.75268,131.366,0.428978,1.95425,4.087110012769699,3.0320316553115845,1.09016,3.0999999046325684,,,,,,,153.9,6.691304347,153.9,6.691304347,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",23,98,83,25,14,5,0,6,14,15,14,3,17,1,1,0,,0,0,0.302328,0.139292,0.175072,0.795625,0.407091,0.571051,0.410573,0.978142,0.268723,2.46632,0.319678,0,-0.134948,19.0879,7.48222,168.038,-0.134948,-0.0218527,7.619646102190018,-2.32509346306324,0.895688,33.38999938964844,,,,,,,172.9,7.517391304,172.9,7.517391304,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Wyatt Langford","TEX",23,100,88,23,14,5,1,4,14,13,11,0,22,1,0,0,,3,1,0.262939,0.107332,0.219363,0.489291,0.347682,0.47614,0.357834,0.823821,0.2132,5.67115,0.302453,0,0.145809,15.2353,3.37446,132.767,0.145809,1.2802,3.962426260113716,0.3735620975494385,0.805682,37.75,,,,,,,137.5,5.978260869,137.5,5.978260869,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Shohei Ohtani","LAD",24,102,86,24,13,4,1,6,18,17,14,3,24,1,1,0,,3,1,0.282921,0.134559,0.240739,0.558943,0.383045,0.571209,0.400122,0.954255,0.288288,6.22996,0.321306,0,0.250015,18.8615,6.87319,155.62,0.250015,0,7.03502494096756,-2.5385801792144775,0.794539,1.2699999809265137,,,,,,,170,7.083333333,170,7.083333333,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Elly De La Cruz","CIN",24,105,93,25,15,5,1,4,16,14,10,1,28,0,1,0,,6,1,0.267604,0.098039,0.269585,0.363666,0.341056,0.471577,0.351428,0.812633,0.203973,7.44193,0.34033,0,0.40166,15.3493,2.97834,120.231,0.40166,0.350032,2.9483426213264465,1.3183957040309906,0.781812,8.449999809265137,,,,,,,143.4,5.975,143.4,5.975,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Juan Soto","NYM",22,93,75,20,12,3,0,5,14,14,17,2,15,0,0,0,,3,1,0.273389,0.185483,0.163822,1.13222,0.40975,0.530639,0.402988,0.94039,0.25725,4.92089,0.278084,0,0.126909,17.4709,6.50289,158.783,0.126909,-0.383829,6.687441751360893,-2.119939863681793,0.77322,4.650000095367432,,,,,,,146.6,6.663636363,146.6,6.663636363,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Junior Caminero","TBR",25,108,97,27,16,4,0,6,15,18,10,1,20,1,1,0,,1,0,0.274327,0.0884989,0.185222,0.477798,0.341402,0.516789,0.367046,0.858191,0.242462,3.19576,0.28505,0,-0.110296,17.1569,4.42377,136.218,-0.110296,-1.01493,4.41860119253397,-0.7260366082191467,0.766737,16.479999542236328,,,,,,,157.1,6.284,157.1,6.284,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Fernando Tatis Jr.","SDP",24,105,92,25,16,5,0,4,15,13,11,1,20,1,1,0,,5,1,0.275489,0.104835,0.193179,0.542683,0.355887,0.462438,0.355516,0.818325,0.186949,5.46861,0.312253,0,0.129757,15.6947,3.32375,129.22,0.129757,1.35409,3.807963192462921,0.2776970863342285,0.763334,14.010000228881836,,,,,,,142.8,5.95,142.8,5.95,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Francisco Lindor","NYM",24,105,93,24,15,4,1,4,15,13,10,0,20,2,0,0,,3,1,0.253191,0.093338,0.186282,0.501057,0.33328,0.443556,0.339936,0.776836,0.190365,5.93379,0.278442,0,0.169742,14.3783,2.00736,116.463,0.169742,0.606589,2.2421284914016724,1.6521138548851013,0.7438,25.350000381469727,,,,,,,135.2,5.633333333,135.2,5.633333333,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Gunnar Henderson","BAL",24,104,92,23,14,5,1,4,15,12,10,0,22,1,1,0,,3,1,0.25254,0.0976244,0.215507,0.452998,0.33289,0.453049,0.341582,0.785939,0.200508,6.24754,0.290878,0,0.0991228,14.3677,2.1243,121.418,0.0991228,-0.222739,2.674362249672413,0.8883725106716156,0.738491,12.510000228881836,,,,,,,130.5,5.4375,130.5,5.4375,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",24,105,95,25,16,4,0,4,14,14,8,1,24,1,1,0,,4,1,0.261485,0.0732675,0.22451,0.326344,0.32337,0.444864,0.333232,0.768233,0.183379,5.25338,0.302697,0,0.263758,13.8119,1.44093,120.294,0.263758,0.33752,2.7292231917381287,0.7117485105991364,0.729971,9.489999771118164,,,,,,,126,5.25,126,5.25,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",22,87,75,16,8,3,0,5,10,14,11,1,25,1,1,0,,1,0,0.2111,0.12585,0.290167,0.433715,0.315161,0.448303,0.330159,0.763464,0.237203,2.49973,0.238778,0,-0.0733433,11.233,0.979176,118.157,-0.0733433,0.937421,1.755033552646637,2.1526986956596375,0.712771,18.729999542236328,,,,,,,108.2,4.918181818,108.2,4.918181818,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Gabriel Moreno","ARI",20,79,69,20,14,4,0,2,10,11,8,0,13,1,1,0,,1,0,0.289249,0.104028,0.162666,0.639516,0.365605,0.439046,0.352905,0.804651,0.149798,3.32088,0.326341,0,-0.139265,11.7266,2.35163,122.793,-0.139265,1.06018,2.0350464433431625,2.2416627407073975,0.698936,181.22000122070312,,,,,,,102.3,5.115,102.3,5.115,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"José Ramírez","CLE",23,100,88,23,14,5,0,4,14,13,11,2,12,1,1,0,,5,1,0.262348,0.107809,0.123588,0.872324,0.343835,0.454643,0.339974,0.798478,0.192295,5.9727,0.266985,0,0.543384,13.7885,1.9277,118.638,0.543384,0.516195,2.7142937779426575,0.5663498044013977,0.697988,6.28000020980835,,,,,,,135.6,5.895652173,135.6,5.895652173,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Kevin McGonigle","DET",23,99,86,22,14,5,1,3,14,12,12,0,13,0,1,0,,2,1,0.262642,0.12214,0.134997,0.904762,0.35508,0.427799,0.345824,0.782878,0.165157,5.15058,0.281742,0,-0.0470104,14.0354,2.36332,121.363,-0.0470104,0.0586532,2.401772305369377,0.8851963952183723,0.692854,999,,,,,,,122.6,5.330434782,122.6,5.330434782,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Pete Alonso","BAL",24,105,92,25,14,5,0,6,14,17,10,1,24,2,1,0,,1,0,0.271713,0.0959534,0.227638,0.421518,0.353031,0.512156,0.371168,0.865187,0.240442,2.7176,0.306445,0,-0.104213,17.0172,4.64623,141.995,-0.104213,-0.0711991,4.997652038931847,-2.019501604139805,0.682742,24.440000534057617,,,,,,,156.8,6.533333333,156.8,6.533333333,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Geraldo Perdomo","ARI",23,97,82,21,15,4,1,2,13,10,13,0,12,1,1,1,,3,1,0.262228,0.130418,0.128176,1.01749,0.365126,0.395804,0.3405,0.76093,0.133576,5.84403,0.287137,0,0.0496382,13.4206,1.91181,114.466,0.0496382,0.620466,1.7437783256173134,1.6649101972579956,0.67011,76.7699966430664,,,,,,,116.6,5.069565217,116.6,5.069565217,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Corbin Carroll","ARI",22,95,83,21,11,4,2,4,15,12,11,0,21,1,1,0,,4,1,0.251601,0.110214,0.219502,0.502106,0.343466,0.485445,0.356954,0.828911,0.233844,8.14258,0.292573,0,0.450086,14.4009,3.13697,125.51,0.450086,1.06123,3.374013662338257,0.05382382869720459,0.665207,14.100000381469727,,,,,,,136,6.181818181,136,6.181818181,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Jeremy Peña","HOU",22,97,89,24,17,4,0,3,14,11,6,0,19,2,1,0,,3,1,0.273675,0.0576652,0.193021,0.298751,0.32756,0.436391,0.334029,0.763951,0.162716,5.46308,0.313149,0,0.151366,12.8777,1.39948,114.805,0.151366,0.159908,1.8202201128005981,1.2015748023986816,0.659857,122.9800033569336,,,,,,,112.1,5.095454545,112.1,5.095454545,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Michael Harris II","ATL",23,100,95,27,17,5,1,4,12,14,4,0,19,1,1,0,,3,1,0.284023,0.0394545,0.194039,0.203333,0.315358,0.469915,0.338727,0.785273,0.185892,5.59423,0.321799,0,0.151532,13.6875,1.82669,113.874,0.151532,1.08117,1.8260228335857391,1.3782426118850708,0.659106,99.06999969482422,,,,,,,131.9,5.734782608,131.9,5.734782608,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Corey Seager","TEX",21,90,78,19,12,4,0,4,12,11,10,1,19,1,1,0,,0,0,0.249393,0.114089,0.206902,0.551413,0.339902,0.450535,0.341241,0.790438,0.201142,2.56116,0.276199,0,-0.0554879,12.3974,1.81197,121.226,-0.0554879,0.430676,2.151096098124981,1.0826826989650726,0.654151,95.08999633789062,,,,,,,110.6,5.266666666,110.6,5.266666666,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Cody Bellinger","NYY",23,98,88,23,15,5,1,3,13,14,9,0,15,0,1,0,,2,1,0.266138,0.0946677,0.150246,0.630084,0.336478,0.443708,0.339835,0.780186,0.17757,4.86991,0.284101,0,-0.0525479,13.4809,1.87521,118.209,-0.0525479,1.77131,2.0228100419044495,0.8338127136230469,0.646908,80.98999786376953,,,,,,,117.2,5.095652173,117.2,5.095652173,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Zach Neto","LAA",24,104,92,23,13,5,0,4,15,13,8,0,28,2,0,0,,4,2,0.245666,0.0802172,0.271941,0.29498,0.323361,0.447998,0.335725,0.771358,0.202331,5.8679,0.306045,0,-0.0885762,13.878,1.63455,116.073,-0.0885762,-0.374167,1.8439747542142868,0.6983636617660522,0.634364,32.29999923706055,,,,,,,120.9,5.0375,120.9,5.0375,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Ceddanne Rafaela","BOS",23,99,93,25,16,5,1,3,13,13,4,0,21,1,1,0,,3,1,0.26993,0.042724,0.21068,0.202791,0.310073,0.434877,0.32393,0.74495,0.164946,6.07119,0.318995,0,0.0172036,12.3545,0.621266,104.375,0.0172036,1.75894,0.5212863255292177,2.113878846168518,0.628214,125.02999877929688,,,,,,,113.3,4.926086956,113.3,4.926086956,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Ronald Acuña Jr.","ATL",23,98,83,22,14,4,0,4,17,12,14,1,21,1,1,0,,5,1,0.270909,0.142541,0.216649,0.657936,0.382115,0.482367,0.377042,0.864482,0.211458,6.08432,0.313563,0,0.243706,16.4301,4.82439,139.591,0.243706,-0.781784,4.919177293777466,-1.9584816098213196,0.627109,5.260000228881836,,,,,,,141.1,6.134782608,141.1,6.134782608,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Dillon Dingler","DET",23,91,82,20,12,4,0,4,11,13,6,0,22,2,1,0,,0,0,0.246193,0.0629623,0.242248,0.259908,0.308783,0.435413,0.324435,0.744196,0.189219,2.9424,0.291415,0,-0.13661,11.3015,0.603374,106.489,-0.13661,1.23265,0.5450942069292068,2.3520925045013428,0.623253,254.6199951171875,,,,,,,103.2,4.486956521,103.2,4.486956521,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"Mookie Betts","LAD",23,100,89,23,15,4,0,4,14,13,10,1,12,1,0,0,,1,0,0.260933,0.101881,0.116733,0.872774,0.339405,0.435854,0.338901,0.77526,0.174922,3.88262,0.264953,0,-0.0872083,13.7015,1.84074,114.529,-0.0872083,0.111749,1.666287638247013,1.14955722540617,0.61947,60.58000183105469,,,,,,,123.9,5.386956521,123.9,5.386956521,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Willson Contreras","BOS",23,100,86,23,13,5,0,4,12,15,10,0,25,4,1,0,,1,0,0.263171,0.100672,0.250675,0.401605,0.365208,0.475522,0.367627,0.84073,0.212351,3.65483,0.322689,0,-0.162418,16.0286,4.16777,134.764,-0.162418,0.380775,3.8868933469057083,-1.4440702199935913,0.612492,168.1999969482422,,,,,,,138.8,6.034782608,138.8,6.034782608,,,,,,,,,,,,,,,,,,,"Willson Contreras","11609",575929
"Jackson Merrill","SDP",24,102,93,24,15,5,1,4,13,14,7,0,22,0,1,1,,2,1,0.26005,0.0649087,0.215314,0.301461,0.310503,0.451098,0.328757,0.761602,0.191048,5.87793,0.298778,0,0.148517,13.0183,1.02995,111.259,0.148517,0.811318,1.5219579935073853,1.1431078016757965,0.607654,70.79000091552734,,,,,,,121.2,5.05,121.2,5.05,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
