Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
DET,Tigers,14.9635,7.3238,29.362,29.362,0,0.0,,188.109,738.601,141.708,58.49,54.55,15.7419,233.447,36.9556,0.487228,7.27817,2.60992,0.949785,11.1692,1.76812,6.31696,0.753165,0.316066,0.0500346,0.26603176444768906,,0.204082,0.282955,0.767269,2.44645,1159.2,6.165957446808511,1066,5.670212765957447,6.80765,6.39166,14.9482,7.019999980926514,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,13.3621,8.63071,29.889,29.889,0,0.0,,185.012,747.02,150.114,67.98,63.73,17.1678,220.617,47.5954,0.459724,5.11213,3.10018,1.06863,10.732,2.3153,4.63526,0.835137,0.29533,0.0637138,0.2316162884235382,,0.216206,0.291212,0.746969,2.81121,1052.9,5.691351351351352,987,5.335135135135135,5.81206,4.95502,14.454,9.649999618530273,27,NL,Paul Skenes,694973,33677,33677
SFG,Giants,13.6195,9.12861,30.186,30.186,0,0.0,,195.373,800.584,178.801,76.1,70.77,15.1879,192.596,47.8429,0.827177,5.6686,3.26007,1.16005,8.87206,2.20392,4.02558,0.69964,0.240569,0.05976,0.180808886885643,,0.239335,0.303386,0.732998,2.99584,1017.1,5.215897435897436,1004,5.148717948717949,5.22253,4.73114,16.163,57.189998626708984,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,14.4156,7.70014,29.348,29.348,0,0.0,,187.877,761.559,165.411,69.38,64.3,14.092,191.686,44.4474,0.474213,6.01665,3.08021,1.117,9.18249,2.12919,4.31266,0.675061,0.251703,0.0583637,0.193339005112648,,0.232615,0.299454,0.738856,2.87548,1024.0,5.446808510638298,992,5.276595744680851,5.21298,5.05706,15.238,24.75,26,NL,Cristopher Sánchez,650911,20778,20778
BOS,Red Sox,13.1454,8.46631,29.213,29.213,0,0.0,,183.03,738.598,151.837,71.49,66.5,21.0078,217.583,42.1348,0.530771,6.22707,3.26996,1.05978,10.6991,2.07186,5.16397,1.033,0.294589,0.057047,0.2375423088669777,,0.219978,0.289672,0.744294,3.04237,992.7,5.424590163934426,934,5.103825136612022,5.14735,4.47315,14.6182,12.239999771118164,3,AL,Garrett Crochet,676979,27463,27463
ATL,Braves,10.8796,7.73985,25.58,25.58,0,0.0,,156.965,647.06,129.975,66.59,62.09,16.9864,204.118,42.1598,0.411271,12.049,3.56009,1.09665,11.7036,2.41734,4.84153,0.97396,0.315455,0.065156,0.25029873847961426,,0.219238,0.303941,0.711441,2.97722,860.7,5.482165605095542,810,5.159235668789809,4.4895,3.15161,12.4099,39.36000061035156,16,NL,Chris Sale,519242,10603,10603
SEA,Mariners,13.2125,8.43275,29.289,29.289,0,0.0,,183.483,735.932,151.309,73.98,69.32,24.4536,189.396,37.0532,0.488577,7.47068,3.40021,1.02659,9.29003,1.81749,5.11146,1.19947,0.257355,0.0503486,0.20700640976428986,,0.218841,0.265633,0.742128,3.53123,912.4,4.9857923497267755,849,4.639344262295082,4.33086,4.13224,14.7409,34.77000045776367,11,AL,Bryan Woo,693433,30279,30279
NYY,Yankees,13.6019,7.7031,28.697,28.697,0,0.0,,180.199,742.025,151.831,69.93,65.07,14.6585,173.788,55.6071,0.472054,9.42812,3.24991,1.15116,8.67981,2.77729,3.12528,0.732114,0.234208,0.0749397,0.15926815569400787,,0.224274,0.280779,0.735667,3.34651,905.3,5.029444444444445,858,4.766666666666667,4.24252,4.37896,14.4151,50.04999923706055,9,AL,Max Fried,608331,13743,13743
TOR,Blue Jays,12.2675,8.26938,29.086,29.086,0,0.0,,168.955,693.655,130.27,67.63,63.26,18.5141,200.015,62.5497,0.580462,4.41513,3.36977,1.14125,10.6545,3.33193,3.1977,0.986223,0.288349,0.090174,0.19817498326301575,,0.20787,0.273803,0.750088,3.38105,877.9000000000001,5.194674556213018,797,4.715976331360947,4.15386,3.84737,12.3585,74.7699966430664,14,AL,Dylan Cease,656302,18525,18525
PHI,Phillies,12.1402,8.90795,29.343,29.343,0,0.0,,176.054,729.384,153.433,77.75,71.99,20.855,195.129,51.8971,0.490542,7.0671,3.68018,1.16629,9.97512,2.65302,3.75992,1.06612,0.267525,0.071152,0.19637349992990494,,0.228861,0.291742,0.724339,3.46316,859.3000000000002,4.882386363636365,820,4.659090909090909,4.06213,3.2181,13.6352,70.58999633789062,26,NL,Jesús Luzardo,666200,19959,19959
