Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
TOR,Blue Jays,143.41,550.188,636.234,163.27,100.738,31.2547,0.5807,30.6969,92.495,97.1018,74.8847,10.1797,86.2695,5.7261,4.6497,0.7851,,4.6973,1.6676,0.296753,0.383793,0.523051,0.906844,0.384411,0.1177,0.135594,0.868032,0.226299,3.02375,0.302767,-0.484,,112.036,36.8598,-1.328,-0.87345,-1.35745,4.55608,36.10178565979004,-13.47599971294403,149.954,996.7,6.969930069,996.7,6.969930069,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489.0,19611,19611
CIN,Reds,139.84,545.417,618.0,141.648,84.3468,28.7591,5.2475,23.2946,82.4237,81.071,62.9742,6.18,157.025,4.326,4.5078,0.7749,,36.6461,10.3964,0.259706,0.338528,0.459806,0.798334,0.341389,0.1019,0.254087,0.401044,0.2001,6.84336,0.320216,2.039,,87.2383,14.2169,1.534,2.11139,4.15039,4.46669,14.820597171783447,8.283000111579895,114.568,822.3,5.873571428,822.3,5.873571428,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829.0,26668,26668
LAD,Dodgers,133.31,522.432,596.644,141.856,88.8892,28.0123,2.8804,22.0741,83.7882,79.0315,64.4972,2.3866,70.3715,4.1765,4.2256,1.3128,,7.768,2.1782,0.27153,0.353635,0.462934,0.816569,0.352493,0.1081,0.117946,0.916524,0.191404,4.55705,0.275861,-0.268,,89.6024,19.1043,-1.765,-0.362834,-0.630834,4.46121,18.860365509986877,4.899999976158142,127.563,791.9,5.954135338,791.9,5.954135338,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141.0,13611,13611
HOU,Astros,122.42,459.338,543.408,137.059,79.1583,27.0671,1.4986,29.3346,83.7314,86.6172,71.7841,14.1286,91.7757,7.6077,3.965,0.7129,,4.7109,1.504,0.298383,0.398844,0.555423,0.954267,0.399646,0.1321,0.168889,0.782169,0.25704,3.70189,0.314805,-0.918,,102.411,38.2036,-0.777,-0.627158,-1.54516,4.44595,37.15233671665192,-12.407000124454498,160.421,908.7,7.448360655,908.7,7.448360655,33.38999938964844,0.66666667,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541.0,19556,19556
CLE,Guardians,137.11,539.473,606.638,148.218,87.7385,31.5027,2.181,26.7954,83.2634,87.8587,57.9339,16.3792,73.2605,4.2465,4.475,0.5094,,30.3536,7.5884,0.274745,0.347118,0.490235,0.837352,0.350505,0.0954999,0.120765,0.790793,0.21549,5.62347,0.27354,-0.085,,90.1242,18.4452,-0.386,2.08155,1.99655,4.36935,21.428685903549194,0.39100000262260437,127.178,868.4,6.338686131,868.4,6.338686131,6.28000020980835,0.16463415,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070.0,13510,13510
ARI,Diamondbacks,132.44,529.207,608.868,146.534,88.6759,30.6128,1.909,25.3362,91.4151,73.7954,66.184,5.4798,99.6497,6.6975,3.8177,2.9618,,6.4543,1.7364,0.276893,0.362128,0.485582,0.84771,0.363128,0.1087,0.163664,0.664167,0.208688,4.2557,0.297025,-0.104,,96.6954,24.753,-1.212,-0.450599,-0.554599,4.36122,23.515520453453064,-1.1390000134706497,133.355,855.3,6.479545454,855.3,6.479545454,32.63999938964844,0.1640625,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466.0,13613,13613
MIL,Brewers,131.66,510.556,590.497,136.939,88.2491,28.0218,0.8256,19.8424,78.4608,70.2974,70.033,4.1335,110.076,4.1335,4.0873,1.6881,,6.0748,1.982,0.268216,0.358529,0.442928,0.801457,0.347615,0.1186,0.186412,0.636225,0.174712,3.40856,0.304364,-0.59,,86.3407,16.5689,-1.39,-0.64163,-1.23163,4.22185,15.891977429389954,5.412000060081482,124.467,758.9,5.749242424,758.9,5.749242424,56.560001373291016,0.1474359,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388.0,20503,20503
ARI,Diamondbacks,135.47,532.81,612.603,136.761,76.2963,24.9733,10.1223,25.3691,93.5794,78.5851,65.3647,2.4504,126.17,7.9638,4.1338,2.3303,,31.9899,7.6016,0.256678,0.344255,0.484387,0.828641,0.354661,0.1067,0.205956,0.518071,0.227708,7.92484,0.289025,2.671,,93.0776,20.6939,2.435,2.3134,4.9844,4.21787,24.991195678710938,-4.139999866485596,127.555,856.1,6.341481481,856.1,6.341481481,14.100000381469727,0.02040816,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998.0,25878,25878
TBR,Rays,133.62,527.14,577.71,141.717,80.7153,24.7821,0.9447,35.2753,78.4236,97.4858,42.0573,1.1554,112.544,4.044,3.9284,0.5408,,5.0136,1.7251,0.268842,0.325414,0.520194,0.845607,0.359053,0.0728,0.194811,0.373696,0.251352,3.45909,0.277737,-0.081,,89.8361,21.5752,-0.85,-0.533313,-0.614313,4.21504,20.493418157100677,0.8140000104904175,131.0,817.3,6.099253731,817.3,6.099253731,16.479999542236328,0.03797468,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406.0,28163,28163
TEX,Rangers,115.55,449.992,514.252,124.276,75.1649,23.4389,0.5233,25.1492,71.6427,74.9916,55.0764,9.2565,94.3182,4.6283,3.7262,0.8298,,2.421,0.7899,0.276175,0.358342,0.498252,0.856595,0.362509,0.1071,0.183408,0.583942,0.222077,2.78027,0.296566,-1.039,,81.4109,20.6481,-2.084,-0.668535,-1.70753,4.05623,19.910993814468384,2.0289998054504395,135.668,732.8,6.317241379,732.8,6.317241379,95.08999633789062,0.04761905,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369.0,13624,13624
