Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
ARI,Diamondbacks,145,544,625,140,76,27,10,26,100,79,66,3,132,8,5,2,,33,7,0.257067,0.343865,0.491366,0.835231,0.356532,0.105598,0.21121,0.499965,0.2343,8.158,0.290632,4.90522,,95.9417,22.0691,3.16821,2.72285,7.62807,4.75294,28.995938301086426,-3.334104537963867,128.837,884.8,6.102068965,884.8,6.102068965,14.100000381469727,0.02040816,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
ARI,Diamondbacks,145,544,625,150,88,30,2,29,90,87,69,5,102,7,5,1,,5,2,0.275407,0.360931,0.498827,0.859758,0.366902,0.109849,0.162403,0.6764,0.22342,4.13093,0.289062,-0.585774,,101.206,27.3332,0.137703,-0.636323,-1.2221,4.74878,25.40987455844879,0.2113136500120163,135.941,898.9,6.199310344,898.9,6.199310344,32.63999938964844,0.1640625,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
TEX,Rangers,129,485,557,132,79,25,0,28,75,80,63,10,103,5,4,0,,3,1,0.273227,0.359756,0.499556,0.859313,0.363822,0.112994,0.185603,0.608797,0.22633,2.67998,0.292566,-1.52748,,88.6927,22.9379,0.250432,-0.630536,-2.15802,4.65374,21.830124139785767,4.495339035987854,136.573,796.8,6.176744186,796.8,6.176744186,95.08999633789062,0.04761905,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
PHI,Phillies,146,582,632,164,113,29,4,18,90,72,40,1,114,5,3,1,,28,5,0.282702,0.333218,0.439999,0.773217,0.334798,0.0639431,0.180748,0.35377,0.157297,6.53355,0.323247,3.78157,,85.8424,11.158,0.569678,2.41567,6.19724,4.55708,16.177152633666992,7.341899812221527,113.322,786.7,5.388356164,786.7,5.388356164,26.780000686645508,0.00699301,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
CIN,Reds,153,589,660,152,92,31,6,24,95,80,63,6,176,4,3,1,,42,10,0.258431,0.332538,0.450102,0.78264,0.33583,0.0958649,0.266237,0.360073,0.191671,7.27703,0.327726,4.28954,,90.1277,12.1961,-0.621109,3.04115,7.33069,4.48923,15.741626262664795,6.200187683105469,110.76,864.7,5.651633986,864.7,5.651633986,8.449999809265137,0.02424242,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
LAD,Dodgers,148,560,639,150,95,31,3,22,91,83,68,2,74,4,6,1,,9,3,0.268274,0.349195,0.448577,0.797772,0.345432,0.106913,0.115897,0.922486,0.180303,4.52246,0.273461,-0.599228,,92.292,16.7958,-1.93623,-0.28683,-0.886058,4.34664,16.324052095413208,4.909598469734192,122.726,818.5,5.530405405,818.5,5.530405405,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
TOR,Blue Jays,154,580,666,171,109,32,0,29,94,96,75,8,91,6,5,0,,5,2,0.294217,0.378687,0.500837,0.879524,0.375724,0.113076,0.136673,0.827349,0.20662,2.9723,0.305076,-1.33667,,112.652,33.9088,-0.941021,-1.10074,-2.43741,4.29776,32.099257946014404,-13.037781238555908,143.97,989.9,6.427922077,989.9,6.427922077,18.049999237060547,0.15,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
LAA,Angels,150,580,649,146,86,31,1,27,88,77,45,3,159,17,4,3,,27,8,0.251259,0.321747,0.450565,0.772312,0.332507,0.0700428,0.245155,0.285708,0.199306,5.60418,0.298054,1.63068,,86.8781,10.2433,0.428549,1.12103,2.75171,4.29221,12.244057178497314,7.377622842788696,112.418,801.9,5.346,801.9,5.346,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
MIL,Brewers,149,522,599,139,91,27,1,19,76,76,69,3,115,4,4,0,,6,2,0.266035,0.353134,0.432137,0.785271,0.341743,0.114494,0.192687,0.594197,0.166102,3.26913,0.3056,-1.23927,,84.6863,13.9448,1.58895,-0.744802,-1.98407,4.23924,12.523152589797974,8.99913477897644,120.445,743.8,4.991946308,743.8,4.991946308,56.560001373291016,0.1474359,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
TBR,Rays,151,599,653,161,95,28,1,38,86,106,44,2,128,4,5,0,,6,2,0.269451,0.321798,0.507527,0.829325,0.352347,0.0679309,0.195356,0.347729,0.238075,3.57824,0.282093,-0.560567,,97.9412,20.8214,-2.53637,-0.384442,-0.945009,4.19745,19.348340928554535,-0.794241189956665,126.38,896.5,5.937086092,896.5,5.937086092,16.479999542236328,0.03797468,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
